; Candidate 3994
; ADRP+ADD at VM 0xfffffff00878021c (fileoff 0x177c21c): page=0x1fe9b1000 add_imm=0xd90

0xfffffff00878019c: ffc30191  add	sp, sp, #0x70
0xfffffff0087801a0: ff0f5fd6  retab	
0xfffffff0087801a4: 2a77d797  bl	#0xfffffff007d5de4c
0xfffffff0087801a8: 5f2403d5  bti	c
0xfffffff0087801ac: c0035fd6  ret	
0xfffffff0087801b0: 5f2403d5  bti	c
0xfffffff0087801b4: c0035fd6  ret	
0xfffffff0087801b8: 5f2403d5  bti	c
0xfffffff0087801bc: 080a8052  mov	w8, #0x50
0xfffffff0087801c0: 2800a89b  umaddl	x8, w1, w8, x0
0xfffffff0087801c4: 00411791  add	x0, x8, #0x5d0
0xfffffff0087801c8: c0035fd6  ret	
0xfffffff0087801cc: 5f2403d5  bti	c
0xfffffff0087801d0: 20008052  mov	w0, #1
0xfffffff0087801d4: c0035fd6  ret	
0xfffffff0087801d8: 7f2303d5  pacibsp	
0xfffffff0087801dc: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087801e0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087801e4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087801e8: fd830091  add	x29, sp, #0x20
0xfffffff0087801ec: f30300aa  mov	x19, x0
0xfffffff0087801f0: 2dcaff97  bl	#0xfffffff008772aa4
0xfffffff0087801f4: 1094ffb0  adrp	x16, #0xfffffff007a01000
0xfffffff0087801f8: 10e20491  add	x16, x16, #0x138
0xfffffff0087801fc: 10420091  add	x16, x16, #0x10
0xfffffff008780200: f10300aa  mov	x17, x0
0xfffffff008780204: d1b3e2f2  movk	x17, #0x159e, lsl #48
0xfffffff008780208: 300ac1da  pacda	x16, x17
0xfffffff00878020c: 100000f9  str	x16, [x0]
0xfffffff008780210: c84effd0  adrp	x8, #0xfffffff00715a000
0xfffffff008780214: 08cd0e91  add	x8, x8, #0x3b3
0xfffffff008780218: e80300f9  str	x8, [sp]
0xfffffff00878021c: 804dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008780220: 00403691  add	x0, x0, #0xd90
0xfffffff008780224: e193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008780228: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878022c: 234effb0  adrp	x3, #0xfffffff007145000
0xfffffff008780230: 63080791  add	x3, x3, #0x1c2
0xfffffff008780234: 02008052  mov	w2, #0
0xfffffff008780238: becbee97  bl	#0xfffffff008333130
0xfffffff00878023c: e00313aa  mov	x0, x19
0xfffffff008780240: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008780244: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008780248: ffc30091  add	sp, sp, #0x30
0xfffffff00878024c: ff0f5fd6  retab	
0xfffffff008780250: 5f2403d5  bti	c
0xfffffff008780254: e1ffff17  b	#0xfffffff0087801d8
0xfffffff008780258: 7f2303d5  pacibsp	
0xfffffff00878025c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008780260: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008780264: fd430091  add	x29, sp, #0x10
0xfffffff008780268: f30301aa  mov	x19, x1
0xfffffff00878026c: 17caff97  bl	#0xfffffff008772ac8
0xfffffff008780270: 7f020071  cmp	w19, #0
0xfffffff008780274: 0821a052  mov	w8, #0x1080000
0xfffffff008780278: 0801931a  csel	w8, w8, w19, eq
0xfffffff00878027c: 000d044e  dup	v0.4s, w8
0xfffffff008780280: 694fffd0  adrp	x9, #0xfffffff00716e000
0xfffffff008780284: 2119c33d  ldr	q1, [x9, #0xc60]
0xfffffff008780288: 694fffd0  adrp	x9, #0xfffffff00716e000
0xfffffff00878028c: 221dc33d  ldr	q2, [x9, #0xc70]
0xfffffff008780290: 1094ffb0  adrp	x16, #0xfffffff007a01000
0xfffffff008780294: 10e20491  add	x16, x16, #0x138
0xfffffff008780298: 10420091  add	x16, x16, #0x10
