; Candidate 8213
; ADRP+ADD at VM 0xfffffff00889ca38 (fileoff 0x1898a38): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889c9b8: e00315aa  mov	x0, x21
0xfffffff00889c9bc: 1d4bfe97  bl	#0xfffffff00882f630
0xfffffff00889c9c0: f88303a9  stp	x24, x0, [sp, #0x38]
0xfffffff00889c9c4: e85d8052  mov	w8, #0x2ef
0xfffffff00889c9c8: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c9cc: 29bd3791  add	x9, x9, #0xdef
0xfffffff00889c9d0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00889c9d4: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c9d8: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889c9dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889c9e0: a80f8052  mov	w8, #0x7d
0xfffffff00889c9e4: a04cff90  adrp	x0, #0xfffffff007230000
0xfffffff00889c9e8: 00f43791  add	x0, x0, #0xdfd
0xfffffff00889c9ec: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00889c9f0: f60300f9  str	x22, [sp]
0xfffffff00889c9f4: 9b6ad497  bl	#0xfffffff007db7460
0xfffffff00889c9f8: 15008052  mov	w21, #0
0xfffffff00889c9fc: 70000014  b	#0xfffffff00889cbbc
0xfffffff00889ca00: eb5d0094  bl	#0xfffffff0088b41ac
0xfffffff00889ca04: f50300aa  mov	x21, x0
0xfffffff00889ca08: 00018052  mov	w0, #8
0xfffffff00889ca0c: 917bff97  bl	#0xfffffff00887b850
0xfffffff00889ca10: 680240b9  ldr	w8, [x19]
0xfffffff00889ca14: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889ca18: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889ca1c: 08bd3791  add	x8, x8, #0xdef
0xfffffff00889ca20: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889ca24: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889ca28: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889ca2c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889ca30: a80f8052  mov	w8, #0x7d
0xfffffff00889ca34: f52300a9  stp	x21, x8, [sp]
0xfffffff00889ca38: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889ca3c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889ca40: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889ca44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889ca48: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889ca4c: 63ac3591  add	x3, x3, #0xd6b
0xfffffff00889ca50: 02008052  mov	w2, #0
0xfffffff00889ca54: b759ea97  bl	#0xfffffff008333130
0xfffffff00889ca58: d4f8ffb5  cbnz	x20, #0xfffffff00889c970
0xfffffff00889ca5c: a00f8052  mov	w0, #0x7d
0xfffffff00889ca60: 81008052  mov	w1, #4
0xfffffff00889ca64: 5b7bff97  bl	#0xfffffff00887b7d0
0xfffffff00889ca68: 800a0034  cbz	w0, #0xfffffff00889cbb8
0xfffffff00889ca6c: a00f8052  mov	w0, #0x7d
0xfffffff00889ca70: 6a7bff97  bl	#0xfffffff00887b818
0xfffffff00889ca74: f60300aa  mov	x22, x0
0xfffffff00889ca78: cd5d0094  bl	#0xfffffff0088b41ac
0xfffffff00889ca7c: f50300aa  mov	x21, x0
0xfffffff00889ca80: 80008052  mov	w0, #4
0xfffffff00889ca84: 737bff97  bl	#0xfffffff00887b850
0xfffffff00889ca88: 56060034  cbz	w22, #0xfffffff00889cb50
0xfffffff00889ca8c: 680240b9  ldr	w8, [x19]
0xfffffff00889ca90: 694cffb0  adrp	x9, #0xfffffff007229000
0xfffffff00889ca94: 29f93591  add	x9, x9, #0xd7e
0xfffffff00889ca98: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889ca9c: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889caa0: 485d8052  mov	w8, #0x2ea
0xfffffff00889caa4: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889caa8: 29bd3791  add	x9, x9, #0xdef
0xfffffff00889caac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889cab0: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889cab4: 08e93191  add	x8, x8, #0xc7a
