; Candidate 11285
; ADRP+ADD at VM 0xfffffff008edf234 (fileoff 0x1edb234): page=0x1fe524000 add_imm=0xdc7

0xfffffff008edf1b4: 2c000000  udf	#0x2c
0xfffffff008edf1b8: 40000000  udf	#0x40
0xfffffff008edf1bc: 7f2303d5  pacibsp	
0xfffffff008edf1c0: ffc300d1  sub	sp, sp, #0x30
0xfffffff008edf1c4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008edf1c8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008edf1cc: fd830091  add	x29, sp, #0x20
0xfffffff008edf1d0: f30302aa  mov	x19, x2
0xfffffff008edf1d4: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff008edf1d8: e2030091  mov	x2, sp
0xfffffff008edf1dc: e156cc97  bl	#0xfffffff0081f4d60
0xfffffff008edf1e0: f40300aa  mov	x20, x0
0xfffffff008edf1e4: c0000035  cbnz	w0, #0xfffffff008edf1fc
0xfffffff008edf1e8: 530000b4  cbz	x19, #0xfffffff008edf1f0
0xfffffff008edf1ec: 7f0200f9  str	xzr, [x19]
0xfffffff008edf1f0: e0030091  mov	x0, sp
0xfffffff008edf1f4: e10313aa  mov	x1, x19
0xfffffff008edf1f8: 33430094  bl	#0xfffffff008eefec4
0xfffffff008edf1fc: 9f020071  cmp	w20, #0
0xfffffff008edf200: e0179f1a  cset	w0, eq
0xfffffff008edf204: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008edf208: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008edf20c: ffc30091  add	sp, sp, #0x30
0xfffffff008edf210: ff0f5fd6  retab	
0xfffffff008edf214: 7f2303d5  pacibsp	
0xfffffff008edf218: ffc300d1  sub	sp, sp, #0x30
0xfffffff008edf21c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008edf220: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008edf224: fd830091  add	x29, sp, #0x20
0xfffffff008edf228: 8861ffd0  adrp	x8, #0xfffffff007b11000
0xfffffff008edf22c: 088d43f9  ldr	x8, [x8, #0x718]
0xfffffff008edf230: 010140f9  ldr	x1, [x8]
0xfffffff008edf234: 2029ff90  adrp	x0, #0xfffffff007403000
0xfffffff008edf238: 001c3791  add	x0, x0, #0xdc7
0xfffffff008edf23c: 020080d2  mov	x2, #0
0xfffffff008edf240: 030080d2  mov	x3, #0
0xfffffff008edf244: 040080d2  mov	x4, #0
0xfffffff008edf248: 8fffd197  bl	#0xfffffff00835f084
0xfffffff008edf24c: a00600b4  cbz	x0, #0xfffffff008edf320
0xfffffff008edf250: f30300aa  mov	x19, x0
0xfffffff008edf254: 100040f9  ldr	x16, [x0]
0xfffffff008edf258: f10300aa  mov	x17, x0
0xfffffff008edf25c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008edf260: 301ac1da  autda	x16, x17
0xfffffff008edf264: 112380d2  mov	x17, #0x118
0xfffffff008edf268: 1002118b  add	x16, x16, x17
0xfffffff008edf26c: 080240f9  ldr	x8, [x16]
0xfffffff008edf270: e90310aa  mov	x9, x16
0xfffffff008edf274: 2129ffb0  adrp	x1, #0xfffffff007404000
0xfffffff008edf278: 21581691  add	x1, x1, #0x596
0xfffffff008edf27c: f10309aa  mov	x17, x9
0xfffffff008edf280: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008edf284: 11093fd7  blraa	x8, x17
0xfffffff008edf288: 8861ffd0  adrp	x8, #0xfffffff007b11000
0xfffffff008edf28c: 081543f9  ldr	x8, [x8, #0x628]
0xfffffff008edf290: 010140f9  ldr	x1, [x8]
0xfffffff008edf294: 9812d097  bl	#0xfffffff0082e3cf4
0xfffffff008edf298: e00500b4  cbz	x0, #0xfffffff008edf354
0xfffffff008edf29c: f40300aa  mov	x20, x0
0xfffffff008edf2a0: 100040f9  ldr	x16, [x0]
0xfffffff008edf2a4: f10300aa  mov	x17, x0
0xfffffff008edf2a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008edf2ac: 301ac1da  autda	x16, x17
0xfffffff008edf2b0: 080e4af8  ldr	x8, [x16, #0xa0]!
