; Candidate 16467
; ADRP+ADD at VM 0xfffffff009eb4f8c (fileoff 0x2eb0f8c): page=0x1fd98a000 add_imm=0xd48

0xfffffff009eb4f0c: e20314aa  mov	x2, x20
0xfffffff009eb4f10: 54220294  bl	#0xfffffff009f3d860
0xfffffff009eb4f14: f50300aa  mov	x21, x0
0xfffffff009eb4f18: e00316aa  mov	x0, x22
0xfffffff009eb4f1c: 49080294  bl	#0xfffffff009f37040
0xfffffff009eb4f20: 75aeff34  cbz	w21, #0xfffffff009eb44ec
0xfffffff009eb4f24: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff009eb4f28: 680000b4  cbz	x8, #0xfffffff009eb4f34
0xfffffff009eb4f2c: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff009eb4f30: e8adff35  cbnz	w8, #0xfffffff009eb44ec
0xfffffff009eb4f34: 68ccfe90  adrp	x8, #0xfffffff007840000
0xfffffff009eb4f38: 08510491  add	x8, x8, #0x114
0xfffffff009eb4f3c: 6a264ca9  ldp	x10, x9, [x19, #0xc0]
0xfffffff009eb4f40: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009eb4f44: 6bccfe90  adrp	x11, #0xfffffff007840000
0xfffffff009eb4f48: 6b390491  add	x11, x11, #0x10e
0xfffffff009eb4f4c: 9f0a0071  cmp	w20, #2
0xfffffff009eb4f50: 6cccfe90  adrp	x12, #0xfffffff007840000
0xfffffff009eb4f54: 8c210491  add	x12, x12, #0x108
0xfffffff009eb4f58: 6801889a  csel	x8, x11, x8, eq
0xfffffff009eb4f5c: 9f060071  cmp	w20, #1
0xfffffff009eb4f60: 8801889a  csel	x8, x12, x8, eq
0xfffffff009eb4f64: 4ba142f9  ldr	x11, [x10, #0x540]
0xfffffff009eb4f68: ec0315aa  mov	x12, x21
0xfffffff009eb4f6c: 4ab140b9  ldr	w10, [x10, #0xb0]
0xfffffff009eb4f70: ed1f8052  mov	w13, #0xff
0xfffffff009eb4f74: ed3303a9  stp	x13, x12, [sp, #0x30]
0xfffffff009eb4f78: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff009eb4f7c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009eb4f80: 48ccfed0  adrp	x8, #0xfffffff00783e000
0xfffffff009eb4f84: 08f52c91  add	x8, x8, #0xb3d
0xfffffff009eb4f88: 94758052  mov	w20, #0x3ac
0xfffffff009eb4f8c: 40ccfed0  adrp	x0, #0xfffffff00783e000
0xfffffff009eb4f90: 00203591  add	x0, x0, #0xd48
0xfffffff009eb4f94: e85300a9  stp	x8, x20, [sp]
0xfffffff009eb4f98: 4b2aff97  bl	#0xfffffff009e7f8c4
0xfffffff009eb4f9c: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff009eb4fa0: 68aaffb4  cbz	x8, #0xfffffff009eb44ec
0xfffffff009eb4fa4: 4efdff17  b	#0xfffffff009eb44dc
0xfffffff009eb4fa8: 7f2303d5  pacibsp	
0xfffffff009eb4fac: ff0301d1  sub	sp, sp, #0x40
0xfffffff009eb4fb0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009eb4fb4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009eb4fb8: fdc30091  add	x29, sp, #0x30
0xfffffff009eb4fbc: f40300aa  mov	x20, x0
0xfffffff009eb4fc0: 007840f9  ldr	x0, [x0, #0xf0]
0xfffffff009eb4fc4: 200000f9  str	x0, [x1]
0xfffffff009eb4fc8: a00000b4  cbz	x0, #0xfffffff009eb4fdc
0xfffffff009eb4fcc: 01008052  mov	w1, #0
0xfffffff009eb4fd0: 67120294  bl	#0xfffffff009f3996c
0xfffffff009eb4fd4: 00008052  mov	w0, #0
0xfffffff009eb4fd8: 10000014  b	#0xfffffff009eb5018
0xfffffff009eb4fdc: f30301aa  mov	x19, x1
0xfffffff009eb4fe0: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009eb4fe4: 025540f9  ldr	x2, [x8, #0xa8]
0xfffffff009eb4fe8: 806a40f9  ldr	x0, [x20, #0xd0]
0xfffffff009eb4fec: 052540b9  ldr	w5, [x8, #0x24]
0xfffffff009eb4ff0: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009eb4ff4: e10b00f9  str	x1, [sp, #0x10]
0xfffffff009eb4ff8: 03f4fe90  adrp	x3, #0xfffffff007d34000
0xfffffff009eb4ffc: 63e02e91  add	x3, x3, #0xbb8
0xfffffff009eb5000: 0100b052  mov	w1, #-0xffffffff80000000
0xfffffff009eb5004: 040080d2  mov	x4, #0
0xfffffff009eb5008: 060080d2  mov	x6, #0
