; Candidate 2175
; ADRP+ADD at VM 0xfffffff00859baf4 (fileoff 0x1597af4): page=0x1feb51000 add_imm=0xd28

0xfffffff00859ba74: e10314aa  mov	x1, x20
0xfffffff00859ba78: 2e4c4d94  bl	#0xfffffff0098eeb30
0xfffffff00859ba7c: 90a0ffb0  adrp	x16, #0xfffffff0079ac000
0xfffffff00859ba80: 10823591  add	x16, x16, #0xd60
0xfffffff00859ba84: 10420091  add	x16, x16, #0x10
0xfffffff00859ba88: f10300aa  mov	x17, x0
0xfffffff00859ba8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00859ba90: 300ac1da  pacda	x16, x17
0xfffffff00859ba94: 100000f9  str	x16, [x0]
0xfffffff00859ba98: e00314aa  mov	x0, x20
0xfffffff00859ba9c: a625f597  bl	#0xfffffff0082e5134
0xfffffff00859baa0: e00313aa  mov	x0, x19
0xfffffff00859baa4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00859baa8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00859baac: ff0f5fd6  retab	
0xfffffff00859bab0: 7f2303d5  pacibsp	
0xfffffff00859bab4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00859bab8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00859babc: fd430091  add	x29, sp, #0x10
0xfffffff00859bac0: f30300aa  mov	x19, x0
0xfffffff00859bac4: 68a0fff0  adrp	x8, #0xfffffff0079aa000
0xfffffff00859bac8: 08f940f9  ldr	x8, [x8, #0x1f0]
0xfffffff00859bacc: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00859bad0: f10308aa  mov	x17, x8
0xfffffff00859bad4: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00859bad8: 31093fd7  blraa	x9, x17
0xfffffff00859badc: c00c0034  cbz	w0, #0xfffffff00859bc74
0xfffffff00859bae0: 00038052  mov	w0, #0x18
0xfffffff00859bae4: 89f4ff97  bl	#0xfffffff008598d08
0xfffffff00859bae8: f40300aa  mov	x20, x0
0xfffffff00859baec: 8cf4ff97  bl	#0xfffffff008598d1c
0xfffffff00859baf0: 600b00b4  cbz	x0, #0xfffffff00859bc5c
0xfffffff00859baf4: 805affb0  adrp	x0, #0xfffffff0070ec000
0xfffffff00859baf8: 00a03491  add	x0, x0, #0xd28
0xfffffff00859bafc: 815affd0  adrp	x1, #0xfffffff0070ed000
0xfffffff00859bb00: 216c2091  add	x1, x1, #0x81b
0xfffffff00859bb04: 875df697  bl	#0xfffffff008333120
0xfffffff00859bb08: 800a00f9  str	x0, [x20, #0x10]
0xfffffff00859bb0c: 400900b4  cbz	x0, #0xfffffff00859bc34
0xfffffff00859bb10: 74b200f9  str	x20, [x19, #0x160]
0xfffffff00859bb14: e00313aa  mov	x0, x19
0xfffffff00859bb18: 010080d2  mov	x1, #0
0xfffffff00859bb1c: 1f71f897  bl	#0xfffffff0083b7f98
0xfffffff00859bb20: 606600f9  str	x0, [x19, #0xc8]
0xfffffff00859bb24: 800a00b4  cbz	x0, #0xfffffff00859bc74
0xfffffff00859bb28: 80a0ffd0  adrp	x0, #0xfffffff0079ad000
0xfffffff00859bb2c: 00202e91  add	x0, x0, #0xb88
0xfffffff00859bb30: 71eaf697  bl	#0xfffffff0083564f4
0xfffffff00859bb34: 1f000039  strb	wzr, [x0]
0xfffffff00859bb38: 1f0400b9  str	wzr, [x0, #4]
0xfffffff00859bb3c: 1f0400f9  str	xzr, [x0, #8]
0xfffffff00859bb40: 60ae00f9  str	x0, [x19, #0x158]
0xfffffff00859bb44: 34008052  mov	w20, #1
0xfffffff00859bb48: 746a01b9  str	w20, [x19, #0x168]
0xfffffff00859bb4c: 08608052  mov	w8, #0x300
0xfffffff00859bb50: 68da0279  strh	w8, [x19, #0x16c]
0xfffffff00859bb54: 7f7201b9  str	wzr, [x19, #0x170]
0xfffffff00859bb58: 7f7e00f9  str	xzr, [x19, #0xf8]
0xfffffff00859bb5c: 7ffe13a9  stp	xzr, xzr, [x19, #0x138]
0xfffffff00859bb60: 7fa600f9  str	xzr, [x19, #0x148]
0xfffffff00859bb64: 7f5201b9  str	wzr, [x19, #0x150]
0xfffffff00859bb68: 700240f9  ldr	x16, [x19]
0xfffffff00859bb6c: f10313aa  mov	x17, x19
0xfffffff00859bb70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
