; Candidate 14293
; ADRP+ADD at VM 0xfffffff00975f540 (fileoff 0x275b540): page=0xc2c000 add_imm=0xea8

0xfffffff00975f4c0: a125fff0  adrp	x1, #0xfffffff007c16000
0xfffffff00975f4c4: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00975f4c8: 02008052  mov	w2, #0
0xfffffff00975f4cc: 43f2fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff00975f4d0: 63640b91  add	x3, x3, #0x2d9
0xfffffff00975f4d4: 174faf97  bl	#0xfffffff008333130
0xfffffff00975f4d8: 19008052  mov	w25, #0
0xfffffff00975f4dc: 796a3a38  strb	w25, [x19, x26]
0xfffffff00975f4e0: 5a070091  add	x26, x26, #1
0xfffffff00975f4e4: 5f3305f1  cmp	x26, #0x14c
0xfffffff00975f4e8: 61c0ff54  b.ne	#0xfffffff00975ecf4
0xfffffff00975f4ec: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00975f4f0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00975f4f4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00975f4f8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00975f4fc: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00975f500: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff00975f504: ff830291  add	sp, sp, #0xa0
0xfffffff00975f508: ff0f5fd6  retab	
0xfffffff00975f50c: 5f2403d5  bti	c
0xfffffff00975f510: 00f040b9  ldr	w0, [x0, #0xf0]
0xfffffff00975f514: 72e5ff17  b	#0xfffffff009758adc
0xfffffff00975f518: 7f2303d5  pacibsp	
0xfffffff00975f51c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00975f520: e923066d  stp	d9, d8, [sp, #0x60]
0xfffffff00975f524: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00975f528: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00975f52c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00975f530: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff00975f534: fd830291  add	x29, sp, #0xa0
0xfffffff00975f538: f40302aa  mov	x20, x2
0xfffffff00975f53c: f30300aa  mov	x19, x0
0xfffffff00975f540: 60610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975f544: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975f548: 0415ae97  bl	#0xfffffff0082e4958
0xfffffff00975f54c: e00313aa  mov	x0, x19
0xfffffff00975f550: 4325fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f554: c00100b5  cbnz	x0, #0xfffffff00975f58c
0xfffffff00975f558: 700240f9  ldr	x16, [x19]
0xfffffff00975f55c: f10313aa  mov	x17, x19
0xfffffff00975f560: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975f564: 301ac1da  autda	x16, x17
0xfffffff00975f568: 113d80d2  mov	x17, #0x1e8
0xfffffff00975f56c: 1002118b  add	x16, x16, x17
0xfffffff00975f570: 080240f9  ldr	x8, [x16]
0xfffffff00975f574: e90310aa  mov	x9, x16
0xfffffff00975f578: e00313aa  mov	x0, x19
0xfffffff00975f57c: 010080d2  mov	x1, #0
0xfffffff00975f580: f10309aa  mov	x17, x9
0xfffffff00975f584: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975f588: 11093fd7  blraa	x8, x17
0xfffffff00975f58c: e00313aa  mov	x0, x19
0xfffffff00975f590: 3325fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f594: e00313aa  mov	x0, x19
0xfffffff00975f598: 3125fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f59c: c00100b5  cbnz	x0, #0xfffffff00975f5d4
0xfffffff00975f5a0: 700240f9  ldr	x16, [x19]
0xfffffff00975f5a4: f10313aa  mov	x17, x19
0xfffffff00975f5a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975f5ac: 301ac1da  autda	x16, x17
0xfffffff00975f5b0: 114380d2  mov	x17, #0x218
0xfffffff00975f5b4: 1002118b  add	x16, x16, x17
0xfffffff00975f5b8: 080240f9  ldr	x8, [x16]
0xfffffff00975f5bc: e90310aa  mov	x9, x16
