; Candidate 9491
; ADRP+ADD at VM 0xfffffff008a5ee5c (fileoff 0x1a5ae5c): page=0x1ff004000 add_imm=0xd70

0xfffffff008a5eddc: 07d73a14  b	#0xfffffff0099149f8
0xfffffff008a5ede0: 5f2403d5  bti	c
0xfffffff008a5ede4: 200020d4  brk	#1
0xfffffff008a5ede8: 5f2403d5  bti	c
0xfffffff008a5edec: 200020d4  brk	#1
0xfffffff008a5edf0: 5f2403d5  bti	c
0xfffffff008a5edf4: 00c400b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a5edf8: 00e02691  add	x0, x0, #0x9b8
0xfffffff008a5edfc: c0035fd6  ret	
0xfffffff008a5ee00: 7f2303d5  pacibsp	
0xfffffff008a5ee04: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a5ee08: fd030091  mov	x29, sp
0xfffffff008a5ee0c: 6142fff0  adrp	x1, #0xfffffff0072ad000
0xfffffff008a5ee10: 21bc2391  add	x1, x1, #0x8ef
0xfffffff008a5ee14: 0280ff90  adrp	x2, #0xfffffff007a5e000
0xfffffff008a5ee18: 42ac40f9  ldr	x2, [x2, #0x158]
0xfffffff008a5ee1c: 03318052  mov	w3, #0x188
0xfffffff008a5ee20: 4613e297  bl	#0xfffffff0082e3b38
0xfffffff008a5ee24: 1080ffd0  adrp	x16, #0xfffffff007a60000
0xfffffff008a5ee28: 10a20b91  add	x16, x16, #0x2e8
0xfffffff008a5ee2c: 10420091  add	x16, x16, #0x10
0xfffffff008a5ee30: f10300aa  mov	x17, x0
0xfffffff008a5ee34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5ee38: 300ac1da  pacda	x16, x17
0xfffffff008a5ee3c: 100000f9  str	x16, [x0]
0xfffffff008a5ee40: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a5ee44: ff0f5fd6  retab	
0xfffffff008a5ee48: 5f2403d5  bti	c
0xfffffff008a5ee4c: 000080d2  mov	x0, #0
0xfffffff008a5ee50: c0035fd6  ret	
0xfffffff008a5ee54: 5f2403d5  bti	c
0xfffffff008a5ee58: e10300aa  mov	x1, x0
0xfffffff008a5ee5c: 2080ff90  adrp	x0, #0xfffffff007a62000
0xfffffff008a5ee60: 00c03591  add	x0, x0, #0xd70
0xfffffff008a5ee64: f521e217  b	#0xfffffff0082e7638
0xfffffff008a5ee68: 5f2403d5  bti	c
0xfffffff008a5ee6c: e20301aa  mov	x2, x1
0xfffffff008a5ee70: e10300aa  mov	x1, x0
0xfffffff008a5ee74: 2080ff90  adrp	x0, #0xfffffff007a62000
0xfffffff008a5ee78: 00c03591  add	x0, x0, #0xd70
0xfffffff008a5ee7c: 0822e217  b	#0xfffffff0082e769c
0xfffffff008a5ee80: 7f2303d5  pacibsp	
0xfffffff008a5ee84: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008a5ee88: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008a5ee8c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008a5ee90: fd830091  add	x29, sp, #0x20
0xfffffff008a5ee94: f40301aa  mov	x20, x1
0xfffffff008a5ee98: f30300aa  mov	x19, x0
0xfffffff008a5ee9c: f50300aa  mov	x21, x0
0xfffffff008a5eea0: bf4e0e38  strb	wzr, [x21, #0xe4]!
0xfffffff008a5eea4: bfc21fb8  stur	wzr, [x21, #-4]
0xfffffff008a5eea8: bf720239  strb	wzr, [x21, #0x9c]
0xfffffff008a5eeac: 6042fff0  adrp	x0, #0xfffffff0072ad000
0xfffffff008a5eeb0: 00782591  add	x0, x0, #0x95e
0xfffffff008a5eeb4: 36008052  mov	w22, #1
0xfffffff008a5eeb8: e10315aa  mov	x1, x21
0xfffffff008a5eebc: 22008052  mov	w2, #1
0xfffffff008a5eec0: 3e38e897  bl	#0xfffffff00846cfb8
0xfffffff008a5eec4: 40000034  cbz	w0, #0xfffffff008a5eecc
0xfffffff008a5eec8: b6020039  strb	w22, [x21]
0xfffffff008a5eecc: 0880ff90  adrp	x8, #0xfffffff007a5e000
0xfffffff008a5eed0: 08c540f9  ldr	x8, [x8, #0x188]
0xfffffff008a5eed4: 09411591  add	x9, x8, #0x550
0xfffffff008a5eed8: 08a942f9  ldr	x8, [x8, #0x550]
