; Candidate 16506
; ADRP+ADD at VM 0xfffffff009ec9120 (fileoff 0x2ec5120): page=0x1fd97b000 add_imm=0xe1a

0xfffffff009ec90a0: 15af0094  bl	#0xfffffff009ef4cf4
0xfffffff009ec90a4: 60010034  cbz	w0, #0xfffffff009ec90d0
0xfffffff009ec90a8: 083e8452  mov	w8, #0x21f0
0xfffffff009ec90ac: 6802088b  add	x8, x19, x8
0xfffffff009ec90b0: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ec90b4: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ec90b8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec90bc: 283c8052  mov	w8, #0x1e1
0xfffffff009ec90c0: fc2300a9  stp	x28, x8, [sp]
0xfffffff009ec90c4: c0cbfef0  adrp	x0, #0xfffffff007844000
0xfffffff009ec90c8: 00743791  add	x0, x0, #0xddd
0xfffffff009ec90cc: fed9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec90d0: 88924279  ldrh	w8, [x20, #0x148]
0xfffffff009ec90d4: a80100b4  cbz	x8, #0xfffffff009ec9108
0xfffffff009ec90d8: 09008052  mov	w9, #0
0xfffffff009ec90dc: 8aaa40f9  ldr	x10, [x20, #0x150]
0xfffffff009ec90e0: 4a090091  add	x10, x10, #2
0xfffffff009ec90e4: 4be15f38  ldurb	w11, [x10, #-2]
0xfffffff009ec90e8: 7f110071  cmp	w11, #4
0xfffffff009ec90ec: 00020054  b.eq	#0xfffffff009ec912c
0xfffffff009ec90f0: 4b454078  ldrh	w11, [x10], #4
0xfffffff009ec90f4: 6b1d0011  add	w11, w11, #7
0xfffffff009ec90f8: 6b351d12  and	w11, w11, #0x1fff8
0xfffffff009ec90fc: 6901090b  add	w9, w11, w9
0xfffffff009ec9100: 080500f1  subs	x8, x8, #1
0xfffffff009ec9104: 01ffff54  b.ne	#0xfffffff009ec90e4
0xfffffff009ec9108: ea3d8052  mov	w10, #0x1ef
0xfffffff009ec910c: c8cbfef0  adrp	x8, #0xfffffff007844000
0xfffffff009ec9110: 08353691  add	x8, x8, #0xd8d
0xfffffff009ec9114: 49008052  mov	w9, #2
0xfffffff009ec9118: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009ec911c: e90300f9  str	x9, [sp]
0xfffffff009ec9120: c0cbfef0  adrp	x0, #0xfffffff007844000
0xfffffff009ec9124: 00683891  add	x0, x0, #0xe1a
0xfffffff009ec9128: f92c9797  bl	#0xfffffff00849450c
0xfffffff009ec912c: 88ae40f9  ldr	x8, [x20, #0x158]
0xfffffff009ec9130: 1941298b  add	x25, x8, w9, uxtw
0xfffffff009ec9134: 5a014079  ldrh	w26, [x10]
0xfffffff009ec9138: f8820291  add	x24, x23, #0xa0
0xfffffff009ec913c: e00318aa  mov	x0, x24
0xfffffff009ec9140: 1c927b97  bl	#0xfffffff007dad9b0
0xfffffff009ec9144: e00313aa  mov	x0, x19
0xfffffff009ec9148: e10317aa  mov	x1, x23
0xfffffff009ec914c: e20319aa  mov	x2, x25
0xfffffff009ec9150: e3031aaa  mov	x3, x26
0xfffffff009ec9154: 040080d2  mov	x4, #0
0xfffffff009ec9158: 68ba0094  bl	#0xfffffff009ef7af8
0xfffffff009ec915c: 600100b4  cbz	x0, #0xfffffff009ec9188
0xfffffff009ec9160: f90300aa  mov	x25, x0
0xfffffff009ec9164: e00313aa  mov	x0, x19
0xfffffff009ec9168: e10317aa  mov	x1, x23
0xfffffff009ec916c: e20314aa  mov	x2, x20
0xfffffff009ec9170: e30319aa  mov	x3, x25
0xfffffff009ec9174: e40316aa  mov	x4, x22
0xfffffff009ec9178: a2a80094  bl	#0xfffffff009ef3400
0xfffffff009ec917c: e00319aa  mov	x0, x25
0xfffffff009ec9180: c7630094  bl	#0xfffffff009ee209c
0xfffffff009ec9184: 0a000014  b	#0xfffffff009ec91ac
0xfffffff009ec9188: 083e8452  mov	w8, #0x21f0
0xfffffff009ec918c: 6802088b  add	x8, x19, x8
0xfffffff009ec9190: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ec9194: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ec9198: 283f8052  mov	w8, #0x1f9
0xfffffff009ec919c: fc2300a9  stp	x28, x8, [sp]
