; Candidate 560
; ADRP+ADD at VM 0xfffffff007f849cc (fileoff 0xf809cc): page=0x1ff0df000 add_imm=0xe32

0xfffffff007f8494c: 29008052  mov	w9, #1
0xfffffff007f84950: a98e00b9  str	w9, [x21, #0x8c]
0xfffffff007f84954: c8031836  tbz	w8, #3, #0xfffffff007f849cc
0xfffffff007f84958: 08791c12  and	w8, w8, #0xfffffff7
0xfffffff007f8495c: a87a00b9  str	w8, [x21, #0x78]
0xfffffff007f84960: 36008052  mov	w22, #1
0xfffffff007f84964: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007f84968: a9c20191  add	x9, x21, #0x70
0xfffffff007f8496c: e20308aa  mov	x2, x8
0xfffffff007f84970: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f84974: 5f00086b  cmp	w2, w8
0xfffffff007f84978: 21020054  b.ne	#0xfffffff007f849bc
0xfffffff007f8497c: e00316aa  mov	x0, x22
0xfffffff007f84980: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f84984: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f84988: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007f8498c: ff0f5fd6  retab	
0xfffffff007f84990: e00313aa  mov	x0, x19
0xfffffff007f84994: e10314aa  mov	x1, x20
0xfffffff007f84998: 22008052  mov	w2, #1
0xfffffff007f8499c: 579cf897  bl	#0xfffffff007dabaf8
0xfffffff007f849a0: e1ffff17  b	#0xfffffff007f84924
0xfffffff007f849a4: e086ffd0  adrp	x0, #0xfffffff007062000
0xfffffff007f849a8: 00b02091  add	x0, x0, #0x82c
0xfffffff007f849ac: e186ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f849b0: 21300991  add	x1, x1, #0x24c
0xfffffff007f849b4: a21e8452  mov	w2, #0x20f5
0xfffffff007f849b8: 976b1494  bl	#0xfffffff00849f814
0xfffffff007f849bc: e00313aa  mov	x0, x19
0xfffffff007f849c0: e10314aa  mov	x1, x20
0xfffffff007f849c4: 689ff897  bl	#0xfffffff007dac764
0xfffffff007f849c8: edffff17  b	#0xfffffff007f8497c
0xfffffff007f849cc: e086fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f849d0: 00c83891  add	x0, x0, #0xe32
0xfffffff007f849d4: e186ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f849d8: 21300991  add	x1, x1, #0x24c
0xfffffff007f849dc: 621c8452  mov	w2, #0x20e3
0xfffffff007f849e0: 8d6b1494  bl	#0xfffffff00849f814
0xfffffff007f849e4: 7f2303d5  pacibsp	
0xfffffff007f849e8: ff4301d1  sub	sp, sp, #0x50
0xfffffff007f849ec: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007f849f0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007f849f4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007f849f8: fd030191  add	x29, sp, #0x40
0xfffffff007f849fc: 800400b4  cbz	x0, #0xfffffff007f84a8c
0xfffffff007f84a00: f30300aa  mov	x19, x0
0xfffffff007f84a04: 080080d2  mov	x8, #0
0xfffffff007f84a08: 14602291  add	x20, x0, #0x898
0xfffffff007f84a0c: 95d038d5  mrs	x21, tpidr_el1
0xfffffff007f84a10: a91a44b9  ldr	w9, [x21, #0x418]
0xfffffff007f84a14: aa4a41b9  ldr	w10, [x21, #0x148]
0xfffffff007f84a18: 4a050011  add	w10, w10, #1
0xfffffff007f84a1c: aa4a01b9  str	w10, [x21, #0x148]
0xfffffff007f84a20: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007f84a24: 0a802291  add	x10, x0, #0x8a0
0xfffffff007f84a28: 497de8c8  casa	x8, x9, [x10]
0xfffffff007f84a2c: 1f0100f1  cmp	x8, #0
0xfffffff007f84a30: a1030054  b.ne	#0xfffffff007f84aa4
0xfffffff007f84a34: 68be48b9  ldr	w8, [x19, #0x8bc]
0xfffffff007f84a38: 08050031  adds	w8, w8, #1
0xfffffff007f84a3c: 68be08b9  str	w8, [x19, #0x8bc]
0xfffffff007f84a40: c2030054  b.hs	#0xfffffff007f84ab8
0xfffffff007f84a44: 686244f9  ldr	x8, [x19, #0x8c0]
0xfffffff007f84a48: a80000b4  cbz	x8, #0xfffffff007f84a5c
