; Candidate 2411
; ADRP+ADD at VM 0xfffffff00865889c (fileoff 0x165489c): page=0x1c80000 add_imm=0xd78

0xfffffff00865881c: 489cff90  adrp	x8, #0xfffffff0079e0000
0xfffffff008658820: 08411491  add	x8, x8, #0x510
0xfffffff008658824: 09610a91  add	x9, x8, #0x298
0xfffffff008658828: 084d41f9  ldr	x8, [x8, #0x298]
0xfffffff00865882c: f10309aa  mov	x17, x9
0xfffffff008658830: 3109f6f2  movk	x17, #0xb049, lsl #48
0xfffffff008658834: 11093fd7  blraa	x8, x17
0xfffffff008658838: e0aa40f9  ldr	x0, [x23, #0x150]
0xfffffff00865883c: e10316aa  mov	x1, x22
0xfffffff008658840: e20315aa  mov	x2, x21
0xfffffff008658844: e30314aa  mov	x3, x20
0xfffffff008658848: e40313aa  mov	x4, x19
0xfffffff00865884c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008658850: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008658854: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008658858: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00865885c: ff2303d5  autibsp	
0xfffffff008658860: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008658864: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00865886c
0xfffffff008658868: 208e38d4  brk	#0xc471
0xfffffff00865886c: 79e1f617  b	#0xfffffff008410e50
0xfffffff008658870: 5f2403d5  bti	c
0xfffffff008658874: 000080d2  mov	x0, #0
0xfffffff008658878: c0035fd6  ret	
0xfffffff00865887c: 5f2403d5  bti	c
0xfffffff008658880: 9d2ff217  b	#0xfffffff0082e46f4
0xfffffff008658884: 5f2403d5  bti	c
0xfffffff008658888: 00008052  mov	w0, #0
0xfffffff00865888c: c0035fd6  ret	
0xfffffff008658890: 7f2303d5  pacibsp	
0xfffffff008658894: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008658898: fd030091  mov	x29, sp
0xfffffff00865889c: 00e40090  adrp	x0, #0xfffffff00a2d8000
0xfffffff0086588a0: 00e03591  add	x0, x0, #0xd78
0xfffffff0086588a4: 0156fff0  adrp	x1, #0xfffffff00711b000
0xfffffff0086588a8: 21300091  add	x1, x1, #0xc
0xfffffff0086588ac: 02e40090  adrp	x2, #0xfffffff00a2d8000
0xfffffff0086588b0: 42803691  add	x2, x2, #0xda0
0xfffffff0086588b4: 03478052  mov	w3, #0x238
0xfffffff0086588b8: a02cf297  bl	#0xfffffff0082e3b38
0xfffffff0086588bc: 509cff90  adrp	x16, #0xfffffff0079e0000
0xfffffff0086588c0: 10e21191  add	x16, x16, #0x478
0xfffffff0086588c4: 10420091  add	x16, x16, #0x10
0xfffffff0086588c8: f10300aa  mov	x17, x0
0xfffffff0086588cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086588d0: 300ac1da  pacda	x16, x17
0xfffffff0086588d4: 100000f9  str	x16, [x0]
0xfffffff0086588d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086588dc: ff0f5fd6  retab	
0xfffffff0086588e0: 5f2403d5  bti	c
0xfffffff0086588e4: 00e40090  adrp	x0, #0xfffffff00a2d8000
0xfffffff0086588e8: 00e03591  add	x0, x0, #0xd78
0xfffffff0086588ec: 822ff217  b	#0xfffffff0082e46f4
0xfffffff0086588f0: 7f2303d5  pacibsp	
0xfffffff0086588f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086588f8: fd030091  mov	x29, sp
0xfffffff0086588fc: 0156fff0  adrp	x1, #0xfffffff00711b000
0xfffffff008658900: 21203591  add	x1, x1, #0xd48
0xfffffff008658904: 229cfff0  adrp	x2, #0xfffffff0079df000
0xfffffff008658908: 42a845f9  ldr	x2, [x2, #0xb50]
0xfffffff00865890c: 03388052  mov	w3, #0x1c0
0xfffffff008658910: 8a2cf297  bl	#0xfffffff0082e3b38
0xfffffff008658914: 509cff90  adrp	x16, #0xfffffff0079e0000
0xfffffff008658918: 10423191  add	x16, x16, #0xc50
