; Candidate 4605
; ADRP+ADD at VM 0xfffffff0087bd754 (fileoff 0x17b9754): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd6d4: 086945b9  ldr	w8, [x8, #0x568]
0xfffffff0087bd6d8: 2823c81a  lsl	w8, w25, w8
0xfffffff0087bd6dc: 1fc328eb  cmp	x24, w8, sxtw
0xfffffff0087bd6e0: 2bfaff54  b.lt	#0xfffffff0087bd624
0xfffffff0087bd6e4: 30000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd6e8: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd6ec: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd6f0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd6f4: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd6f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd6fc: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd700: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd704: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd708: 63902891  add	x3, x3, #0xa24
0xfffffff0087bd70c: 02008052  mov	w2, #0
0xfffffff0087bd710: 88d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd714: 24000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd718: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd71c: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd720: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd724: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd728: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd72c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd730: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd734: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd738: 63282991  add	x3, x3, #0xa4a
0xfffffff0087bd73c: 02008052  mov	w2, #0
0xfffffff0087bd740: 7cd6ed97  bl	#0xfffffff008333130
0xfffffff0087bd744: 18000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd748: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd74c: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd750: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd754: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd758: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd75c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd760: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd764: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd768: 63c02991  add	x3, x3, #0xa70
0xfffffff0087bd76c: 02008052  mov	w2, #0
0xfffffff0087bd770: 70d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd774: 0c000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd778: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd77c: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd780: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd784: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd788: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd78c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd790: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd794: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd798: 63582a91  add	x3, x3, #0xa96
0xfffffff0087bd79c: 02008052  mov	w2, #0
0xfffffff0087bd7a0: 64d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd7a4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087bd7a8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087bd7ac: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087bd7b0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0087bd7b4: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0087bd7b8: ff830191  add	sp, sp, #0x60
0xfffffff0087bd7bc: ff0f5fd6  retab	
0xfffffff0087bd7c0: 7f2303d5  pacibsp	
0xfffffff0087bd7c4: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087bd7c8: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff0087bd7cc: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0087bd7d0: f85f03a9  stp	x24, x23, [sp, #0x30]
