; Candidate 13796
; ADRP+ADD at VM 0xfffffff00958c8e4 (fileoff 0x25888e4): page=0x1fe660000 add_imm=0xea8

0xfffffff00958c864: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00958c868: ff830091  add	sp, sp, #0x20
0xfffffff00958c86c: ff0f5fd6  retab	
0xfffffff00958c870: 7f2303d5  pacibsp	
0xfffffff00958c874: ff8305d1  sub	sp, sp, #0x160
0xfffffff00958c878: fc6f11a9  stp	x28, x27, [sp, #0x110]
0xfffffff00958c87c: f85f12a9  stp	x24, x23, [sp, #0x120]
0xfffffff00958c880: f65713a9  stp	x22, x21, [sp, #0x130]
0xfffffff00958c884: f44f14a9  stp	x20, x19, [sp, #0x140]
0xfffffff00958c888: fd7b15a9  stp	x29, x30, [sp, #0x150]
0xfffffff00958c88c: fd430591  add	x29, sp, #0x150
0xfffffff00958c890: f30303aa  mov	x19, x3
0xfffffff00958c894: f50302aa  mov	x21, x2
0xfffffff00958c898: f70301aa  mov	x23, x1
0xfffffff00958c89c: f60300aa  mov	x22, x0
0xfffffff00958c8a0: e832ffb0  adrp	x8, #0xfffffff007be9000
0xfffffff00958c8a4: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff00958c8a8: 080140f9  ldr	x8, [x8]
0xfffffff00958c8ac: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff00958c8b0: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff00958c8b4: ff8300f9  str	xzr, [sp, #0x100]
0xfffffff00958c8b8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958c8bc: e00307ad  stp	q0, q0, [sp, #0xe0]
0xfffffff00958c8c0: e00306ad  stp	q0, q0, [sp, #0xc0]
0xfffffff00958c8c4: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff00958c8c8: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00958c8cc: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00958c8d0: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff00958c8d4: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00958c8d8: e007803d  str	q0, [sp, #0x10]
0xfffffff00958c8dc: 084841f9  ldr	x8, [x0, #0x290]
0xfffffff00958c8e0: 189540f9  ldr	x24, [x8, #0x128]
0xfffffff00958c8e4: 0033ff90  adrp	x0, #0xfffffff007bec000
0xfffffff00958c8e8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00958c8ec: 0227b797  bl	#0xfffffff0083564f4
0xfffffff00958c8f0: f40300aa  mov	x20, x0
0xfffffff00958c8f4: a00000b4  cbz	x0, #0xfffffff00958c908
0xfffffff00958c8f8: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c8fc: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c900: 00458052  mov	w0, #0x228
0xfffffff00958c904: 735ab597  bl	#0xfffffff0082e32d0
0xfffffff00958c908: 82720091  add	x2, x20, #0x1c
0xfffffff00958c90c: e00316aa  mov	x0, x22
0xfffffff00958c910: e10317aa  mov	x1, x23
0xfffffff00958c914: f1fcff97  bl	#0xfffffff00958bcd8
0xfffffff00958c918: f70300aa  mov	x23, x0
0xfffffff00958c91c: 60020035  cbnz	w0, #0xfffffff00958c968
0xfffffff00958c920: e8430091  add	x8, sp, #0x10
0xfffffff00958c924: e80300f9  str	x8, [sp]
0xfffffff00958c928: 68fefe90  adrp	x8, #0xfffffff007558000
0xfffffff00958c92c: 009940fd  ldr	d0, [x8, #0x130]
0xfffffff00958c930: e00700fd  str	d0, [sp, #8]
0xfffffff00958c934: e2030091  mov	x2, sp
0xfffffff00958c938: e00318aa  mov	x0, x24
0xfffffff00958c93c: e10314aa  mov	x1, x20
0xfffffff00958c940: 030080d2  mov	x3, #0
0xfffffff00958c944: 040080d2  mov	x4, #0
0xfffffff00958c948: 1c7cff97  bl	#0xfffffff00956b9b8
0xfffffff00958c94c: f70300aa  mov	x23, x0
0xfffffff00958c950: c0000035  cbnz	w0, #0xfffffff00958c968
0xfffffff00958c954: e8274079  ldrh	w8, [sp, #0x12]
0xfffffff00958c958: 88032837  tbnz	w8, #5, #0xfffffff00958c9c8
0xfffffff00958c95c: 17008052  mov	w23, #0
0xfffffff00958c960: bf0200b9  str	wzr, [x21]
