; Candidate 16702
; ADRP+ADD at VM 0xfffffff009f30ac0 (fileoff 0x2f2cac0): page=0x1fd92b000 add_imm=0xea7

0xfffffff009f30a40: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009f30a44: 884d8052  mov	w8, #0x26c
0xfffffff009f30a48: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f30a4c: f40300f9  str	x20, [sp]
0xfffffff009f30a50: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30a54: 00803891  add	x0, x0, #0xe20
0xfffffff009f30a58: 853bfd97  bl	#0xfffffff009e7f86c
0xfffffff009f30a5c: 282341f9  ldr	x8, [x25, #0x240]
0xfffffff009f30a60: 680300b4  cbz	x8, #0xfffffff009f30acc
0xfffffff009f30a64: 29008052  mov	w9, #1
0xfffffff009f30a68: 09811c39  strb	w9, [x8, #0x720]
0xfffffff009f30a6c: 18000014  b	#0xfffffff009f30acc
0xfffffff009f30a70: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f30a74: 294e8052  mov	w9, #0x271
0xfffffff009f30a78: 48c9fef0  adrp	x8, #0xfffffff00785b000
0xfffffff009f30a7c: 08052d91  add	x8, x8, #0xb41
0xfffffff009f30a80: e82700a9  stp	x8, x9, [sp]
0xfffffff009f30a84: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30a88: 00443991  add	x0, x0, #0xe51
0xfffffff009f30a8c: 783bfd97  bl	#0xfffffff009e7f86c
0xfffffff009f30a90: e00319aa  mov	x0, x25
0xfffffff009f30a94: a6b20094  bl	#0xfffffff009f5d52c
0xfffffff009f30a98: a0010034  cbz	w0, #0xfffffff009f30acc
0xfffffff009f30a9c: 286740f9  ldr	x8, [x25, #0xc8]
0xfffffff009f30aa0: 0a8942f9  ldr	x10, [x8, #0x510]
0xfffffff009f30aa4: e90a40f9  ldr	x9, [x23, #0x10]
0xfffffff009f30aa8: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009f30aac: c84e8052  mov	w8, #0x276
0xfffffff009f30ab0: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009f30ab4: 48c9fef0  adrp	x8, #0xfffffff00785b000
0xfffffff009f30ab8: 08052d91  add	x8, x8, #0xb41
0xfffffff009f30abc: e80300f9  str	x8, [sp]
0xfffffff009f30ac0: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30ac4: 009c3a91  add	x0, x0, #0xea7
0xfffffff009f30ac8: 36000014  b	#0xfffffff009f30ba0
0xfffffff009f30acc: a16303d1  sub	x1, x29, #0xd8
0xfffffff009f30ad0: e00319aa  mov	x0, x25
0xfffffff009f30ad4: 045b0094  bl	#0xfffffff009f476e4
0xfffffff009f30ad8: a0010034  cbz	w0, #0xfffffff009f30b0c
0xfffffff009f30adc: 286740f9  ldr	x8, [x25, #0xc8]
0xfffffff009f30ae0: 0a8942f9  ldr	x10, [x8, #0x510]
0xfffffff009f30ae4: e90a40f9  ldr	x9, [x23, #0x10]
0xfffffff009f30ae8: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009f30aec: 68508052  mov	w8, #0x283
0xfffffff009f30af0: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009f30af4: 48c9fef0  adrp	x8, #0xfffffff00785b000
0xfffffff009f30af8: 08052d91  add	x8, x8, #0xb41
0xfffffff009f30afc: e80300f9  str	x8, [sp]
0xfffffff009f30b00: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30b04: 00c83b91  add	x0, x0, #0xef2
0xfffffff009f30b08: 26000014  b	#0xfffffff009f30ba0
0xfffffff009f30b0c: b48352f8  ldur	x20, [x29, #-0xd8]
0xfffffff009f30b10: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009f30b14: 015540f9  ldr	x1, [x8, #0xa8]
0xfffffff009f30b18: 08a540b9  ldr	w8, [x8, #0xa4]
0xfffffff009f30b1c: 02794092  and	x2, x8, #0x7fffffff
0xfffffff009f30b20: 037d5fd3  ubfx	x3, x8, #0x1f, #1
0xfffffff009f30b24: e00319aa  mov	x0, x25
0xfffffff009f30b28: 04008052  mov	w4, #0
0xfffffff009f30b2c: 7a18fe97  bl	#0xfffffff009eb6d14
0xfffffff009f30b30: a0000034  cbz	w0, #0xfffffff009f30b44
0xfffffff009f30b34: f80300aa  mov	x24, x0
0xfffffff009f30b38: e00314aa  mov	x0, x20
0xfffffff009f30b3c: 41190094  bl	#0xfffffff009f37040
