; Candidate 1985
; ADRP+ADD at VM 0xfffffff0085431a4 (fileoff 0x153f1a4): page=0x1feb9e000 add_imm=0xe02

0xfffffff008543124: 0980891a  csel	w9, w0, w9, hi
0xfffffff008543128: 1f01096b  cmp	w8, w9
0xfffffff00854312c: 0881891a  csel	w8, w8, w9, hi
0xfffffff008543130: 1f01146b  cmp	w8, w20
0xfffffff008543134: 0881941a  csel	w8, w8, w20, hi
0xfffffff008543138: 08050071  subs	w8, w8, #1
0xfffffff00854313c: 0811c05a  clz	w8, w8
0xfffffff008543140: e803084b  neg	w8, w8
0xfffffff008543144: 0823c81a  lsl	w8, w24, w8
0xfffffff008543148: 08859f1a  csinc	w8, w8, wzr, hi
0xfffffff00854314c: 681600b9  str	w8, [x19, #0x14]
0xfffffff008543150: e00315aa  mov	x0, x21
0xfffffff008543154: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008543158: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00854315c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008543160: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008543164: ff0f5fd6  retab	
0xfffffff008543168: 5f2403d5  bti	c
0xfffffff00854316c: 000080d2  mov	x0, #0
0xfffffff008543170: c0035fd6  ret	
0xfffffff008543174: 5f2403d5  bti	c
0xfffffff008543178: 5f85f617  b	#0xfffffff0082e46f4
0xfffffff00854317c: 5f2403d5  bti	c
0xfffffff008543180: 5d85f617  b	#0xfffffff0082e46f4
0xfffffff008543184: 7f2303d5  pacibsp	
0xfffffff008543188: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00854318c: fd030091  mov	x29, sp
0xfffffff008543190: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008543194: 00603791  add	x0, x0, #0xdd8
0xfffffff008543198: 2898f797  bl	#0xfffffff008329238
0xfffffff00854319c: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085431a0: 00b107f9  str	x0, [x8, #0xf60]
0xfffffff0085431a4: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085431a8: 00083891  add	x0, x0, #0xe02
0xfffffff0085431ac: 2398f797  bl	#0xfffffff008329238
0xfffffff0085431b0: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085431b4: 00b507f9  str	x0, [x8, #0xf68]
0xfffffff0085431b8: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085431bc: 00883891  add	x0, x0, #0xe22
0xfffffff0085431c0: 1e98f797  bl	#0xfffffff008329238
0xfffffff0085431c4: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085431c8: 00b907f9  str	x0, [x8, #0xf70]
0xfffffff0085431cc: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085431d0: 00e43891  add	x0, x0, #0xe39
0xfffffff0085431d4: 1998f797  bl	#0xfffffff008329238
0xfffffff0085431d8: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085431dc: 00bd07f9  str	x0, [x8, #0xf78]
0xfffffff0085431e0: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085431e4: 004c3991  add	x0, x0, #0xe53
0xfffffff0085431e8: 1498f797  bl	#0xfffffff008329238
0xfffffff0085431ec: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085431f0: 00c107f9  str	x0, [x8, #0xf80]
0xfffffff0085431f4: e05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085431f8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085431fc: 0f98f797  bl	#0xfffffff008329238
0xfffffff008543200: 88ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008543204: 00c507f9  str	x0, [x8, #0xf88]
0xfffffff008543208: 80ec00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00854320c: 00403e91  add	x0, x0, #0xf90
0xfffffff008543210: e15cff90  adrp	x1, #0xfffffff0070df000
0xfffffff008543214: 219c2091  add	x1, x1, #0x827
0xfffffff008543218: 82a2ffd0  adrp	x2, #0xfffffff007995000
0xfffffff00854321c: 42fc44f9  ldr	x2, [x2, #0x9f8]
0xfffffff008543220: 030c8052  mov	w3, #0x60
