; Candidate 13158
; ADRP+ADD at VM 0xfffffff0091fe3f4 (fileoff 0x21fa3f4): page=0x1fe2a4000 add_imm=0xe1a

0xfffffff0091fe374: 547100b9  str	w20, [x10, #0x70]
0xfffffff0091fe378: 548900b9  str	w20, [x10, #0x88]
0xfffffff0091fe37c: 475900fd  str	d7, [x10, #0xb0]
0xfffffff0091fe380: 54b900b9  str	w20, [x10, #0xb8]
0xfffffff0091fe384: 5f7d0ca9  stp	xzr, xzr, [x10, #0xc0]
0xfffffff0091fe388: 5f6900f9  str	xzr, [x10, #0xd0]
0xfffffff0091fe38c: 4cc900b9  str	w12, [x10, #0xc8]
0xfffffff0091fe390: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe394: 00601591  add	x0, x0, #0x558
0xfffffff0091fe398: a8abc497  bl	#0xfffffff008329238
0xfffffff0091fe39c: d78800d0  adrp	x23, #0xfffffff00a318000
0xfffffff0091fe3a0: e06207f9  str	x0, [x23, #0xec0]
0xfffffff0091fe3a4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3a8: 00983791  add	x0, x0, #0xde6
0xfffffff0091fe3ac: a3abc497  bl	#0xfffffff008329238
0xfffffff0091fe3b0: d88800d0  adrp	x24, #0xfffffff00a318000
0xfffffff0091fe3b4: 006707f9  str	x0, [x24, #0xec8]
0xfffffff0091fe3b8: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3bc: 00b03791  add	x0, x0, #0xdec
0xfffffff0091fe3c0: 9eabc497  bl	#0xfffffff008329238
0xfffffff0091fe3c4: d98800d0  adrp	x25, #0xfffffff00a318000
0xfffffff0091fe3c8: 206b07f9  str	x0, [x25, #0xed0]
0xfffffff0091fe3cc: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3d0: 00003891  add	x0, x0, #0xe00
0xfffffff0091fe3d4: 99abc497  bl	#0xfffffff008329238
0xfffffff0091fe3d8: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe3dc: 006d07f9  str	x0, [x8, #0xed8]
0xfffffff0091fe3e0: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3e4: 00343891  add	x0, x0, #0xe0d
0xfffffff0091fe3e8: 94abc497  bl	#0xfffffff008329238
0xfffffff0091fe3ec: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe3f0: 007107f9  str	x0, [x8, #0xee0]
0xfffffff0091fe3f4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3f8: 00683891  add	x0, x0, #0xe1a
0xfffffff0091fe3fc: 8fabc497  bl	#0xfffffff008329238
0xfffffff0091fe400: d38800d0  adrp	x19, #0xfffffff00a318000
0xfffffff0091fe404: 607607f9  str	x0, [x19, #0xee8]
0xfffffff0091fe408: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe40c: 00a01091  add	x0, x0, #0x428
0xfffffff0091fe410: 8aabc497  bl	#0xfffffff008329238
0xfffffff0091fe414: dc8800d0  adrp	x28, #0xfffffff00a318000
0xfffffff0091fe418: 807b07f9  str	x0, [x28, #0xef0]
0xfffffff0091fe41c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe420: 003c0791  add	x0, x0, #0x1cf
0xfffffff0091fe424: 85abc497  bl	#0xfffffff008329238
0xfffffff0091fe428: d68800d0  adrp	x22, #0xfffffff00a318000
0xfffffff0091fe42c: c07e07f9  str	x0, [x22, #0xef8]
0xfffffff0091fe430: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe434: 009c0491  add	x0, x0, #0x127
0xfffffff0091fe438: 80abc497  bl	#0xfffffff008329238
0xfffffff0091fe43c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe440: 008107f9  str	x0, [x8, #0xf00]
0xfffffff0091fe444: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe448: 00e00491  add	x0, x0, #0x138
0xfffffff0091fe44c: 7babc497  bl	#0xfffffff008329238
0xfffffff0091fe450: db8800d0  adrp	x27, #0xfffffff00a318000
0xfffffff0091fe454: 608707f9  str	x0, [x27, #0xf08]
0xfffffff0091fe458: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe45c: 00ec0791  add	x0, x0, #0x1fb
0xfffffff0091fe460: 76abc497  bl	#0xfffffff008329238
0xfffffff0091fe464: da8800d0  adrp	x26, #0xfffffff00a318000
0xfffffff0091fe468: 408b07f9  str	x0, [x26, #0xf10]
0xfffffff0091fe46c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe470: 00440891  add	x0, x0, #0x211
