; Candidate 16071
; ADRP+ADD at VM 0xfffffff009e11428 (fileoff 0x2e0d428): page=0x1fda0e000 add_imm=0xd1a

0xfffffff009e113a8: 762d00d0  adrp	x22, #0xfffffff00a3bf000
0xfffffff009e113ac: d6421591  add	x22, x22, #0x550
0xfffffff009e113b0: c002148b  add	x0, x22, x20
0xfffffff009e113b4: e10313aa  mov	x1, x19
0xfffffff009e113b8: 020080d2  mov	x2, #0
0xfffffff009e113bc: 62697e97  bl	#0xfffffff007dab944
0xfffffff009e113c0: 94420091  add	x20, x20, #0x10
0xfffffff009e113c4: 9f4203f1  cmp	x20, #0xd0
0xfffffff009e113c8: 41ffff54  b.ne	#0xfffffff009e113b0
0xfffffff009e113cc: b3d241f9  ldr	x19, [x21, #0x3a0]
0xfffffff009e113d0: 602d00d0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e113d4: 00001d91  add	x0, x0, #0x740
0xfffffff009e113d8: e10313aa  mov	x1, x19
0xfffffff009e113dc: 020080d2  mov	x2, #0
0xfffffff009e113e0: 316f7e97  bl	#0xfffffff007dad0a4
0xfffffff009e113e4: 942d00d0  adrp	x20, #0xfffffff00a3c3000
0xfffffff009e113e8: 94622091  add	x20, x20, #0x818
0xfffffff009e113ec: b6008052  mov	w22, #5
0xfffffff009e113f0: 17fc8752  mov	w23, #0x3fe0
0xfffffff009e113f4: e00314aa  mov	x0, x20
0xfffffff009e113f8: e10313aa  mov	x1, x19
0xfffffff009e113fc: 020080d2  mov	x2, #0
0xfffffff009e11400: 296f7e97  bl	#0xfffffff007dad0a4
0xfffffff009e11404: 9402178b  add	x20, x20, x23
0xfffffff009e11408: d60600f1  subs	x22, x22, #1
0xfffffff009e1140c: 41ffff54  b.ne	#0xfffffff009e113f4
0xfffffff009e11410: 60d0fed0  adrp	x0, #0xfffffff00781f000
0xfffffff009e11414: 00403491  add	x0, x0, #0xd10
0xfffffff009e11418: 622d00d0  adrp	x2, #0xfffffff00a3bf000
0xfffffff009e1141c: 42e01c91  add	x2, x2, #0x738
0xfffffff009e11420: 01008052  mov	w1, #0
0xfffffff009e11424: 91800094  bl	#0xfffffff009e31668
0xfffffff009e11428: 60d0fed0  adrp	x0, #0xfffffff00781f000
0xfffffff009e1142c: 00683491  add	x0, x0, #0xd1a
0xfffffff009e11430: 622d00d0  adrp	x2, #0xfffffff00a3bf000
0xfffffff009e11434: 42e41c91  add	x2, x2, #0x739
0xfffffff009e11438: 21008052  mov	w1, #1
0xfffffff009e1143c: 8b800094  bl	#0xfffffff009e31668
0xfffffff009e11440: 60d0feb0  adrp	x0, #0xfffffff00781e000
0xfffffff009e11444: 00b43d91  add	x0, x0, #0xf6d
0xfffffff009e11448: 01058052  mov	w1, #0x28
0xfffffff009e1144c: 0250a052  mov	w2, #0x2800000
0xfffffff009e11450: 43008052  mov	w3, #2
0xfffffff009e11454: 93ed7f97  bl	#0xfffffff007e0caa0
0xfffffff009e11458: c8f8fef0  adrp	x8, #0xfffffff007d2c000
0xfffffff009e1145c: 00211579  strh	w0, [x8, #0xa90]
0xfffffff009e11460: c0f8fef0  adrp	x0, #0xfffffff007d2c000
0xfffffff009e11464: 00e02791  add	x0, x0, #0x9f8
0xfffffff009e11468: 61d0feb0  adrp	x1, #0xfffffff00781e000
0xfffffff009e1146c: 21103e91  add	x1, x1, #0xf84
0xfffffff009e11470: 62ccfe90  adrp	x2, #0xfffffff00779d000
0xfffffff009e11474: 42801a91  add	x2, x2, #0x6a0
0xfffffff009e11478: d00000f0  adrp	x16, #0xfffffff009e2c000
0xfffffff009e1147c: 10d21091  add	x16, x16, #0x434
0xfffffff009e11480: d15785d2  mov	x17, #0x2abe
0xfffffff009e11484: 3002c1da  pacia	x16, x17
0xfffffff009e11488: e40310aa  mov	x4, x16
0xfffffff009e1148c: 23369852  mov	w3, #0xc1b1
0xfffffff009e11490: e300a072  movk	w3, #7, lsl #16
0xfffffff009e11494: 222a0094  bl	#0xfffffff009e1bd1c
0xfffffff009e11498: 202b0035  cbnz	w0, #0xfffffff009e119fc
0xfffffff009e1149c: a0d241f9  ldr	x0, [x21, #0x3a0]
0xfffffff009e114a0: e2c5ff97  bl	#0xfffffff009e02c28
0xfffffff009e114a4: c0f8fe90  adrp	x0, #0xfffffff007d29000
