; Candidate 3632
; ADRP+ADD at VM 0xfffffff00874900c (fileoff 0x174500c): page=0x1fe9e8000 add_imm=0xd90

0xfffffff008748f8c: 0a1c4079  ldrh	w10, [x0, #0xe]
0xfffffff008748f90: 6a1e0079  strh	w10, [x19, #0xe]
0xfffffff008748f94: 0a1040b9  ldr	w10, [x0, #0x10]
0xfffffff008748f98: 6a1200b9  str	w10, [x19, #0x10]
0xfffffff008748f9c: 0a1440b9  ldr	w10, [x0, #0x14]
0xfffffff008748fa0: 6a1600b9  str	w10, [x19, #0x14]
0xfffffff008748fa4: 0a1840b9  ldr	w10, [x0, #0x18]
0xfffffff008748fa8: 6a1a00b9  str	w10, [x19, #0x18]
0xfffffff008748fac: 8a688952  mov	w10, #0x4b44
0xfffffff008748fb0: 2ac9a872  movk	w10, #0x4649, lsl #16
0xfffffff008748fb4: 3f010a6b  cmp	w9, w10
0xfffffff008748fb8: e1030054  b.ne	#0xfffffff008749034
0xfffffff008748fbc: 88010034  cbz	w8, #0xfffffff008748fec
0xfffffff008748fc0: 8950ff90  adrp	x9, #0xfffffff007158000
0xfffffff008748fc4: 296d0b91  add	x9, x9, #0x2db
0xfffffff008748fc8: e92300a9  stp	x9, x8, [sp]
0xfffffff008748fcc: 404fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008748fd0: 00403691  add	x0, x0, #0xd90
0xfffffff008748fd4: a195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008748fd8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008748fdc: a34ffff0  adrp	x3, #0xfffffff00713f000
0xfffffff008748fe0: 63942e91  add	x3, x3, #0xba5
0xfffffff008748fe4: 02008052  mov	w2, #0
0xfffffff008748fe8: 52a8ef97  bl	#0xfffffff008333130
0xfffffff008748fec: 680e4079  ldrh	w8, [x19, #6]
0xfffffff008748ff0: 1f810071  cmp	w8, #0x20
0xfffffff008748ff4: c0010054  b.eq	#0xfffffff00874902c
0xfffffff008748ff8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008748ffc: 08048052  mov	w8, #0x20
0xfffffff008749000: 6950fff0  adrp	x9, #0xfffffff007158000
0xfffffff008749004: 296d0b91  add	x9, x9, #0x2db
0xfffffff008749008: e92300a9  stp	x9, x8, [sp]
0xfffffff00874900c: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff008749010: 00403691  add	x0, x0, #0xd90
0xfffffff008749014: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749018: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874901c: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff008749020: 63302f91  add	x3, x3, #0xbcc
0xfffffff008749024: 02008052  mov	w2, #0
0xfffffff008749028: 42a8ef97  bl	#0xfffffff008333130
0xfffffff00874902c: 20008052  mov	w0, #1
0xfffffff008749030: c9ffff17  b	#0xfffffff008748f54
0xfffffff008749034: 00008052  mov	w0, #0
0xfffffff008749038: c7ffff17  b	#0xfffffff008748f54
0xfffffff00874903c: 7f2303d5  pacibsp	
0xfffffff008749040: ff0301d1  sub	sp, sp, #0x40
0xfffffff008749044: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008749048: fdc30091  add	x29, sp, #0x30
0xfffffff00874904c: 3f3000f1  cmp	x1, #0xc
0xfffffff008749050: 63010054  b.lo	#0xfffffff00874907c
0xfffffff008749054: 400100b4  cbz	x0, #0xfffffff00874907c
0xfffffff008749058: 220100b4  cbz	x2, #0xfffffff00874907c
0xfffffff00874905c: 080040b9  ldr	w8, [x0]
0xfffffff008749060: 480000b9  str	w8, [x2]
0xfffffff008749064: 080440b9  ldr	w8, [x0, #4]
0xfffffff008749068: 480400b9  str	w8, [x2, #4]
0xfffffff00874906c: 080840b9  ldr	w8, [x0, #8]
0xfffffff008749070: 480800b9  str	w8, [x2, #8]
0xfffffff008749074: 20008052  mov	w0, #1
0xfffffff008749078: 10000014  b	#0xfffffff0087490b8
0xfffffff00874907c: 88018052  mov	w8, #0xc
0xfffffff008749080: e1a301a9  stp	x1, x8, [sp, #0x18]
0xfffffff008749084: e08b00a9  stp	x0, x2, [sp, #8]
0xfffffff008749088: 6850fff0  adrp	x8, #0xfffffff007158000
