; Candidate 7650
; ADRP+ADD at VM 0xfffffff008876704 (fileoff 0x1872704): page=0x1fe973000 add_imm=0xe80

0xfffffff008876684: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008876688: 28188052  mov	w8, #0xc1
0xfffffff00887668c: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff008876690: 297d2f91  add	x9, x9, #0xbdf
0xfffffff008876694: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008876698: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887669c: 08250691  add	x8, x8, #0x189
0xfffffff0088766a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088766a4: 680b8052  mov	w8, #0x5b
0xfffffff0088766a8: a04dff90  adrp	x0, #0xfffffff00722a000
0xfffffff0088766ac: 00e83b91  add	x0, x0, #0xefa
0xfffffff0088766b0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088766b4: 6b03d597  bl	#0xfffffff007db7460
0xfffffff0088766b8: 1b000014  b	#0xfffffff008876724
0xfffffff0088766bc: bcf60094  bl	#0xfffffff0088b41ac
0xfffffff0088766c0: f50300aa  mov	x21, x0
0xfffffff0088766c4: 80008052  mov	w0, #4
0xfffffff0088766c8: 62140094  bl	#0xfffffff00887b850
0xfffffff0088766cc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088766d0: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088766d4: a84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff0088766d8: 08293f91  add	x8, x8, #0xfca
0xfffffff0088766dc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088766e0: 28188052  mov	w8, #0xc1
0xfffffff0088766e4: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff0088766e8: 297d2f91  add	x9, x9, #0xbdf
0xfffffff0088766ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088766f0: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff0088766f4: 08250691  add	x8, x8, #0x189
0xfffffff0088766f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088766fc: 680b8052  mov	w8, #0x5b
0xfffffff008876700: f52300a9  stp	x21, x8, [sp]
0xfffffff008876704: 804bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008876708: 00003a91  add	x0, x0, #0xe80
0xfffffff00887670c: 818cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008876710: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008876714: 034ffff0  adrp	x3, #0xfffffff007259000
0xfffffff008876718: 63f42e91  add	x3, x3, #0xbbd
0xfffffff00887671c: 02008052  mov	w2, #0
0xfffffff008876720: 84f2ea97  bl	#0xfffffff008333130
0xfffffff008876724: 347d8012  mov	w20, #-0x3ea
0xfffffff008876728: 600b8052  mov	w0, #0x5b
0xfffffff00887672c: c1008052  mov	w1, #6
0xfffffff008876730: 28140094  bl	#0xfffffff00887b7d0
0xfffffff008876734: c0050034  cbz	w0, #0xfffffff0088767ec
0xfffffff008876738: 600b8052  mov	w0, #0x5b
0xfffffff00887673c: 37140094  bl	#0xfffffff00887b818
0xfffffff008876740: f60300aa  mov	x22, x0
0xfffffff008876744: 9af60094  bl	#0xfffffff0088b41ac
0xfffffff008876748: f50300aa  mov	x21, x0
0xfffffff00887674c: c0008052  mov	w0, #6
0xfffffff008876750: 40140094  bl	#0xfffffff00887b850
0xfffffff008876754: f6010034  cbz	w22, #0xfffffff008876790
0xfffffff008876758: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887675c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008876760: e84cff90  adrp	x8, #0xfffffff007212000
0xfffffff008876764: 087d2f91  add	x8, x8, #0xbdf
0xfffffff008876768: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887676c: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff008876770: 08250691  add	x8, x8, #0x189
0xfffffff008876774: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008876778: 680b8052  mov	w8, #0x5b
0xfffffff00887677c: c04cfff0  adrp	x0, #0xfffffff007211000
0xfffffff008876780: 00801c91  add	x0, x0, #0x720
