; Candidate 4629
; ADRP+ADD at VM 0xfffffff0087bea88 (fileoff 0x17baa88): page=0x1fe973000 add_imm=0xd90

0xfffffff0087bea08: 00008052  mov	w0, #0
0xfffffff0087bea0c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087bea10: 200113ad  stp	q0, q0, [x9, #0x260]
0xfffffff0087bea14: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087bea18: 00bd05fd  str	d0, [x8, #0xb78]
0xfffffff0087bea1c: 3e000014  b	#0xfffffff0087beb14
0xfffffff0087bea20: 094540b9  ldr	w9, [x8, #0x44]
0xfffffff0087bea24: 3f050071  cmp	w9, #1
0xfffffff0087bea28: 21040054  b.ne	#0xfffffff0087beaac
0xfffffff0087bea2c: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bea30: 21c03b91  add	x1, x1, #0xef0
0xfffffff0087bea34: e00313aa  mov	x0, x19
0xfffffff0087bea38: 22008052  mov	w2, #1
0xfffffff0087bea3c: 21f2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bea40: 69a245a9  ldp	x9, x8, [x19, #0x58]
0xfffffff0087bea44: 000109b9  str	w0, [x8, #0x900]
0xfffffff0087bea48: 294d40b9  ldr	w9, [x9, #0x4c]
0xfffffff0087bea4c: 09810bb9  str	w9, [x8, #0xb80]
0xfffffff0087bea50: 80030035  cbnz	w0, #0xfffffff0087beac0
0xfffffff0087bea54: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bea58: 21f43b91  add	x1, x1, #0xefd
0xfffffff0087bea5c: e00313aa  mov	x0, x19
0xfffffff0087bea60: 62008052  mov	w2, #3
0xfffffff0087bea64: 17f2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bea68: e80300aa  mov	x8, x0
0xfffffff0087bea6c: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bea70: 200509b9  str	w0, [x9, #0x904]
0xfffffff0087bea74: 1f1c0071  cmp	w0, #7
0xfffffff0087bea78: a90d0054  b.ls	#0xfffffff0087bec2c
0xfffffff0087bea7c: 094dff90  adrp	x9, #0xfffffff00715e000
0xfffffff0087bea80: 29793b91  add	x9, x9, #0xede
0xfffffff0087bea84: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bea88: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bea8c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bea90: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bea94: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bea98: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bea9c: 63ec2d91  add	x3, x3, #0xb7b
0xfffffff0087beaa0: 02008052  mov	w2, #0
0xfffffff0087beaa4: a3d1ed97  bl	#0xfffffff008333130
0xfffffff0087beaa8: 1a000014  b	#0xfffffff0087beb10
0xfffffff0087beaac: 29008052  mov	w9, #1
0xfffffff0087beab0: 090109b9  str	w9, [x8, #0x900]
0xfffffff0087beab4: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087beab8: 294d40b9  ldr	w9, [x9, #0x4c]
0xfffffff0087beabc: 09810bb9  str	w9, [x8, #0xb80]
0xfffffff0087beac0: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087beac4: 215c3c91  add	x1, x1, #0xf17
0xfffffff0087beac8: e00313aa  mov	x0, x19
0xfffffff0087beacc: 82008052  mov	w2, #4
0xfffffff0087bead0: fcf1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bead4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bead8: 000909b9  str	w0, [x8, #0x908]
0xfffffff0087beadc: 1f380071  cmp	w0, #0xe
0xfffffff0087beae0: 89020054  b.ls	#0xfffffff0087beb30
0xfffffff0087beae4: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087beae8: 08793b91  add	x8, x8, #0xede
0xfffffff0087beaec: e80300a9  stp	x8, x0, [sp]
0xfffffff0087beaf0: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087beaf4: 00403691  add	x0, x0, #0xd90
0xfffffff0087beaf8: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087beafc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087beb00: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087beb04: 63842e91  add	x3, x3, #0xba1
