; Candidate 10123
; ADRP+ADD at VM 0xfffffff008caa310 (fileoff 0x1ca6310): page=0x1fe6ac000 add_imm=0xd25

0xfffffff008caa290: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008caa294: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008caa298: ff030191  add	sp, sp, #0x40
0xfffffff008caa29c: ff2303d5  autibsp	
0xfffffff008caa2a0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008caa2a4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008caa2ac
0xfffffff008caa2a8: 208e38d4  brk	#0xc471
0xfffffff008caa2ac: f10302aa  mov	x17, x2
0xfffffff008caa2b0: 511cf6f2  movk	x17, #0xb0e2, lsl #48
0xfffffff008caa2b4: 110a1fd7  braa	x16, x17
0xfffffff008caa2b8: 0c000000  udf	#0xc
0xfffffff008caa2bc: e0000000  udf	#0xe0
0xfffffff008caa2c0: 0c010000  udf	#0x10c
0xfffffff008caa2c4: 3c010000  udf	#0x13c
0xfffffff008caa2c8: 94010000  udf	#0x194
0xfffffff008caa2cc: 7f2303d5  pacibsp	
0xfffffff008caa2d0: ff8301d1  sub	sp, sp, #0x60
0xfffffff008caa2d4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008caa2d8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008caa2dc: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008caa2e0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008caa2e4: fd430191  add	x29, sp, #0x50
0xfffffff008caa2e8: f40302aa  mov	x20, x2
0xfffffff008caa2ec: f50301aa  mov	x21, x1
0xfffffff008caa2f0: f30300aa  mov	x19, x0
0xfffffff008caa2f4: 08f07d39  ldrb	w8, [x0, #0xf7c]
0xfffffff008caa2f8: 28013036  tbz	w8, #6, #0xfffffff008caa31c
0xfffffff008caa2fc: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008caa300: ea03142a  mov	w10, w20
0xfffffff008caa304: e903152a  mov	w9, w21
0xfffffff008caa308: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff008caa30c: e80300f9  str	x8, [sp]
0xfffffff008caa310: 6035ff90  adrp	x0, #0xfffffff007356000
0xfffffff008caa314: 00943491  add	x0, x0, #0xd25
0xfffffff008caa318: 42b3da97  bl	#0xfffffff008357020
0xfffffff008caa31c: 684e47f9  ldr	x8, [x19, #0xe98]
0xfffffff008caa320: a80000b4  cbz	x8, #0xfffffff008caa334
0xfffffff008caa324: 685247f9  ldr	x8, [x19, #0xea0]
0xfffffff008caa328: a80100b4  cbz	x8, #0xfffffff008caa35c
0xfffffff008caa32c: 17008052  mov	w23, #0
0xfffffff008caa330: 1c000014  b	#0xfffffff008caa3a0
0xfffffff008caa334: 602647f9  ldr	x0, [x19, #0xe48]
0xfffffff008caa338: 600200b4  cbz	x0, #0xfffffff008caa384
0xfffffff008caa33c: 2135ffd0  adrp	x1, #0xfffffff007350000
0xfffffff008caa340: 21c41391  add	x1, x1, #0x4f1
0xfffffff008caa344: 4b6ae797  bl	#0xfffffff008684c70
0xfffffff008caa348: 604e07f9  str	x0, [x19, #0xe98]
0xfffffff008caa34c: c0feffb5  cbnz	x0, #0xfffffff008caa324
0xfffffff008caa350: 6035ff90  adrp	x0, #0xfffffff007356000
0xfffffff008caa354: 00842691  add	x0, x0, #0x9a1
0xfffffff008caa358: 0d000014  b	#0xfffffff008caa38c
0xfffffff008caa35c: 602647f9  ldr	x0, [x19, #0xe48]
0xfffffff008caa360: 200100b4  cbz	x0, #0xfffffff008caa384
0xfffffff008caa364: 2135ffd0  adrp	x1, #0xfffffff007350000
0xfffffff008caa368: 21b01691  add	x1, x1, #0x5ac
0xfffffff008caa36c: 416ae797  bl	#0xfffffff008684c70
0xfffffff008caa370: 605207f9  str	x0, [x19, #0xea0]
0xfffffff008caa374: c0fdffb5  cbnz	x0, #0xfffffff008caa32c
0xfffffff008caa378: 6035ff90  adrp	x0, #0xfffffff007356000
0xfffffff008caa37c: 00142991  add	x0, x0, #0xa45
0xfffffff008caa380: 03000014  b	#0xfffffff008caa38c
0xfffffff008caa384: 6035ff90  adrp	x0, #0xfffffff007356000
0xfffffff008caa388: 00c82791  add	x0, x0, #0x9f2
0xfffffff008caa38c: 97578052  mov	w23, #0x2bc
