; Candidate 685
; ADRP+ADD at VM 0xfffffff0080299d4 (fileoff 0x10259d4): page=0x1ff042000 add_imm=0xe3b

0xfffffff008029954: ea0308aa  mov	x10, x8
0xfffffff008029958: 48510051  sub	w8, w10, #0x14
0xfffffff00802995c: 09fb9f52  mov	w9, #0xffd8
0xfffffff008029960: 0801090b  add	w8, w8, w9
0xfffffff008029964: 89a641b9  ldr	w9, [x20, #0x1a4]
0xfffffff008029968: 083d0012  and	w8, w8, #0xffff
0xfffffff00802996c: 3f01086b  cmp	w9, w8
0xfffffff008029970: 3581881a  csel	w21, w9, w8, hi
0xfffffff008029974: 01008052  mov	w1, #0
0xfffffff008029978: acd8fd97  bl	#0xfffffff007f9fc28
0xfffffff00802997c: a83e0012  and	w8, w21, #0xffff
0xfffffff008029980: 1f01136b  cmp	w8, w19
0xfffffff008029984: 0831931a  csel	w8, w8, w19, lo
0xfffffff008029988: 1f010171  cmp	w8, #0x40
0xfffffff00802998c: 09088052  mov	w9, #0x40
0xfffffff008029990: 0081891a  csel	w0, w8, w9, hi
0xfffffff008029994: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008029998: e90c01d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff00802999c: 29010091  add	x9, x9, #0
0xfffffff0080299a0: 290140f9  ldr	x9, [x9]
0xfffffff0080299a4: 3f0108eb  cmp	x9, x8
0xfffffff0080299a8: c1000054  b.ne	#0xfffffff0080299c0
0xfffffff0080299ac: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0080299b0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0080299b4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0080299b8: ffc30191  add	sp, sp, #0x70
0xfffffff0080299bc: ff0f5fd6  retab	
0xfffffff0080299c0: 23d1f497  bl	#0xfffffff007d5de4c
0xfffffff0080299c4: 0882ffd0  adrp	x8, #0xfffffff00706b000
0xfffffff0080299c8: 08e92791  add	x8, x8, #0x9fa
0xfffffff0080299cc: 29238252  mov	w9, #0x1119
0xfffffff0080299d0: e82700a9  stp	x8, x9, [sp]
0xfffffff0080299d4: 0082ffd0  adrp	x0, #0xfffffff00706b000
0xfffffff0080299d8: 00ec3891  add	x0, x0, #0xe3b
0xfffffff0080299dc: ccaa1194  bl	#0xfffffff00849450c
0xfffffff0080299e0: 5f2403d5  bti	c
0xfffffff0080299e4: 086840f9  ldr	x8, [x0, #0xd0]
0xfffffff0080299e8: 082d40f9  ldr	x8, [x8, #0x58]
0xfffffff0080299ec: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff0080299f0: 490100b4  cbz	x9, #0xfffffff008029a18
0xfffffff0080299f4: 2a6940f9  ldr	x10, [x9, #0xd0]
0xfffffff0080299f8: 4a2d40f9  ldr	x10, [x10, #0x58]
0xfffffff0080299fc: 2bd14439  ldrb	w11, [x9, #0x134]
0xfffffff008029a00: 7f650071  cmp	w11, #0x19
0xfffffff008029a04: 68000054  b.hi	#0xfffffff008029a10
0xfffffff008029a08: 6b038052  mov	w11, #0x1b
0xfffffff008029a0c: 2bd10439  strb	w11, [x9, #0x134]
0xfffffff008029a10: 5f0d00f9  str	xzr, [x10, #0x18]
0xfffffff008029a14: 1f0d00f9  str	xzr, [x8, #0x18]
0xfffffff008029a18: c0035fd6  ret	
0xfffffff008029a1c: 7f2303d5  pacibsp	
0xfffffff008029a20: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008029a24: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008029a28: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008029a2c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008029a30: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008029a34: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008029a38: fd430191  add	x29, sp, #0x50
0xfffffff008029a3c: ff8306d1  sub	sp, sp, #0x1a0
0xfffffff008029a40: fb0304aa  mov	x27, x4
0xfffffff008029a44: f40303aa  mov	x20, x3
0xfffffff008029a48: f80302aa  mov	x24, x2
0xfffffff008029a4c: f60300aa  mov	x22, x0
0xfffffff008029a50: e80c01d0  adrp	x8, #0xfffffff00a1c7000
