; Candidate 16079
; ADRP+ADD at VM 0xfffffff009e127f0 (fileoff 0x2e0e7f0): page=0x1fd891000 add_imm=0xe00

0xfffffff009e12770: 82000054  b.hs	#0xfffffff009e12780
0xfffffff009e12774: 691a00f9  str	x9, [x19, #0x30]
0xfffffff009e12778: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff009e1277c: ceffff17  b	#0xfffffff009e126b4
0xfffffff009e12780: 40048052  mov	w0, #0x22
0xfffffff009e12784: e03f00b9  str	w0, [sp, #0x3c]
0xfffffff009e12788: e00300f9  str	x0, [sp]
0xfffffff009e1278c: 80c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e12790: 00003891  add	x0, x0, #0xe00
0xfffffff009e12794: a1f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e12798: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1279c: 63d0fed0  adrp	x3, #0xfffffff007820000
0xfffffff009e127a0: 63343591  add	x3, x3, #0xd4d
0xfffffff009e127a4: 02028052  mov	w2, #0x10
0xfffffff009e127a8: 62829497  bl	#0xfffffff008333130
0xfffffff009e127ac: 602d00b0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e127b0: 00201b91  add	x0, x0, #0x6c8
0xfffffff009e127b4: e2677e97  bl	#0xfffffff007dac73c
0xfffffff009e127b8: e00313aa  mov	x0, x19
0xfffffff009e127bc: 4e600094  bl	#0xfffffff009e2a8f4
0xfffffff009e127c0: 6dffff17  b	#0xfffffff009e12574
0xfffffff009e127c4: e03f40b9  ldr	w0, [sp, #0x3c]
0xfffffff009e127c8: 00feff35  cbnz	w0, #0xfffffff009e12788
0xfffffff009e127cc: f8ffff17  b	#0xfffffff009e127ac
0xfffffff009e127d0: c0028052  mov	w0, #0x16
0xfffffff009e127d4: ecffff17  b	#0xfffffff009e12784
0xfffffff009e127d8: f90300aa  mov	x25, x0
0xfffffff009e127dc: e00314aa  mov	x0, x20
0xfffffff009e127e0: 7e7f8397  bl	#0xfffffff007ef25d8
0xfffffff009e127e4: f60300aa  mov	x22, x0
0xfffffff009e127e8: f76701a9  stp	x23, x25, [sp, #0x10]
0xfffffff009e127ec: f80300a9  stp	x24, x0, [sp]
0xfffffff009e127f0: 80c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e127f4: 00003891  add	x0, x0, #0xe00
0xfffffff009e127f8: a1f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e127fc: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e12800: 63d0fed0  adrp	x3, #0xfffffff007820000
0xfffffff009e12804: 63ac3a91  add	x3, x3, #0xeab
0xfffffff009e12808: 02028052  mov	w2, #0x10
0xfffffff009e1280c: 49829497  bl	#0xfffffff008333130
0xfffffff009e12810: e00316aa  mov	x0, x22
0xfffffff009e12814: ca7f8397  bl	#0xfffffff007ef273c
0xfffffff009e12818: e00315aa  mov	x0, x21
0xfffffff009e1281c: 59090094  bl	#0xfffffff009e14d80
0xfffffff009e12820: 4cffff17  b	#0xfffffff009e12550
0xfffffff009e12824: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff009e12828: 4b0b8052  mov	w11, #0x5a
0xfffffff009e1282c: 69d0fe90  adrp	x9, #0xfffffff00781e000
0xfffffff009e12830: 29b93691  add	x9, x9, #0xdae
0xfffffff009e12834: 6ad0fe90  adrp	x10, #0xfffffff00781e000
0xfffffff009e12838: 4a913691  add	x10, x10, #0xda4
0xfffffff009e1283c: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff009e12840: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff009e12844: ea0300f9  str	x10, [sp]
0xfffffff009e12848: 60d0fe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e1284c: 00d43591  add	x0, x0, #0xd75
0xfffffff009e12850: 2f079a97  bl	#0xfffffff00849450c
0xfffffff009e12854: 7f2303d5  pacibsp	
0xfffffff009e12858: ff4307d1  sub	sp, sp, #0x1d0
0xfffffff009e1285c: f6571aa9  stp	x22, x21, [sp, #0x1a0]
0xfffffff009e12860: f44f1ba9  stp	x20, x19, [sp, #0x1b0]
0xfffffff009e12864: fd7b1ca9  stp	x29, x30, [sp, #0x1c0]
0xfffffff009e12868: fd030791  add	x29, sp, #0x1c0
0xfffffff009e1286c: f40301aa  mov	x20, x1
