; Candidate 3683
; ADRP+ADD at VM 0xfffffff00874def4 (fileoff 0x1749ef4): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874de74: 632240b9  ldr	w3, [x19, #0x20]
0xfffffff00874de78: 900240f9  ldr	x16, [x20]
0xfffffff00874de7c: f10314aa  mov	x17, x20
0xfffffff00874de80: d1d6eff2  movk	x17, #0x7eb6, lsl #48
0xfffffff00874de84: 301ac1da  autda	x16, x17
0xfffffff00874de88: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff00874de8c: e90310aa  mov	x9, x16
0xfffffff00874de90: e00314aa  mov	x0, x20
0xfffffff00874de94: f10309aa  mov	x17, x9
0xfffffff00874de98: d10eeef2  movk	x17, #0x7076, lsl #48
0xfffffff00874de9c: 11093fd7  blraa	x8, x17
0xfffffff00874dea0: c0030034  cbz	w0, #0xfffffff00874df18
0xfffffff00874dea4: bf060071  cmp	w21, #1
0xfffffff00874dea8: c0030054  b.eq	#0xfffffff00874df20
0xfffffff00874deac: 882641f9  ldr	x8, [x20, #0x248]
0xfffffff00874deb0: 09494a39  ldrb	w9, [x8, #0x292]
0xfffffff00874deb4: 69030034  cbz	w9, #0xfffffff00874df20
0xfffffff00874deb8: 09a941b9  ldr	w9, [x8, #0x1a8]
0xfffffff00874debc: 3f090071  cmp	w9, #2
0xfffffff00874dec0: 01030054  b.ne	#0xfffffff00874df20
0xfffffff00874dec4: 085140f9  ldr	x8, [x8, #0xa0]
0xfffffff00874dec8: 690a40b9  ldr	w9, [x19, #8]
0xfffffff00874decc: 007969f8  ldr	x0, [x8, x9, lsl #3]
0xfffffff00874ded0: 612240b9  ldr	w1, [x19, #0x20]
0xfffffff00874ded4: bb260194  bl	#0xfffffff0087979c0
0xfffffff00874ded8: 40020034  cbz	w0, #0xfffffff00874df20
0xfffffff00874dedc: 680a40b9  ldr	w8, [x19, #8]
0xfffffff00874dee0: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00874dee4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00874dee8: 4950fff0  adrp	x9, #0xfffffff007158000
0xfffffff00874deec: 29cd2b91  add	x9, x9, #0xaf3
0xfffffff00874def0: e90300f9  str	x9, [sp]
0xfffffff00874def4: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874def8: 00403691  add	x0, x0, #0xd90
0xfffffff00874defc: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874df00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874df04: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874df08: 63bc2991  add	x3, x3, #0xa6f
0xfffffff00874df0c: 02008052  mov	w2, #0
0xfffffff00874df10: 8894ef97  bl	#0xfffffff008333130
0xfffffff00874df14: 30000014  b	#0xfffffff00874dfd4
0xfffffff00874df18: 40008052  mov	w0, #2
0xfffffff00874df1c: 2f000014  b	#0xfffffff00874dfd8
0xfffffff00874df20: 800640f9  ldr	x0, [x20, #8]
0xfffffff00874df24: 610a40f9  ldr	x1, [x19, #0x10]
0xfffffff00874df28: 620e4329  ldp	w2, w3, [x19, #0x18]
0xfffffff00874df2c: 640a40b9  ldr	w4, [x19, #8]
0xfffffff00874df30: 65a24039  ldrb	w5, [x19, #0x28]
0xfffffff00874df34: 8fa5ff97  bl	#0xfffffff008737570
0xfffffff00874df38: 600a00f9  str	x0, [x19, #0x10]
0xfffffff00874df3c: e00314aa  mov	x0, x20
0xfffffff00874df40: e10313aa  mov	x1, x19
0xfffffff00874df44: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00874df48: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00874df4c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00874df50: ff430191  add	sp, sp, #0x50
0xfffffff00874df54: ff2303d5  autibsp	
0xfffffff00874df58: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00874df5c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00874df64
0xfffffff00874df60: 208e38d4  brk	#0xc471
0xfffffff00874df64: 02030014  b	#0xfffffff00874eb6c
0xfffffff00874df68: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff00874df6c: e2a300a9  stp	x2, x8, [sp, #8]
0xfffffff00874df70: f60300f9  str	x22, [sp]
