; Candidate 11332
; ADRP+ADD at VM 0xfffffff008ef34e4 (fileoff 0x1eef4e4): page=0x1fe517000 add_imm=0xe32

0xfffffff008ef3464: 000109ab  adds	x0, x8, x9
0xfffffff008ef3468: e9379f1a  cset	w9, hs
0xfffffff008ef346c: 28014093  sbfx	x8, x9, #0, #1
0xfffffff008ef3470: 090109ca  eor	x9, x8, x9
0xfffffff008ef3474: a90100b5  cbnz	x9, #0xfffffff008ef34a8
0xfffffff008ef3478: 8801f8b7  tbnz	x8, #0x3f, #0xfffffff008ef34a8
0xfffffff008ef347c: a1620091  add	x1, x21, #0x18
0xfffffff008ef3480: c7000094  bl	#0xfffffff008ef379c
0xfffffff008ef3484: a04302d1  sub	x0, x29, #0x90
0xfffffff008ef3488: a7000094  bl	#0xfffffff008ef3724
0xfffffff008ef348c: 281740f9  ldr	x8, [x25, #0x28]
0xfffffff008ef3490: 080540f9  ldr	x8, [x8, #8]
0xfffffff008ef3494: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff008ef3498: 00ffff17  b	#0xfffffff008ef3098
0xfffffff008ef349c: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef34a0: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef34a4: 9cf8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef34a8: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef34ac: 00343a91  add	x0, x0, #0xe8d
0xfffffff008ef34b0: 99f8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef34b4: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef34b8: 00b03b91  add	x0, x0, #0xeec
0xfffffff008ef34bc: 96f8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef34c0: 9f2403d5  bti	j
0xfffffff008ef34c4: c0008052  mov	w0, #6
0xfffffff008ef34c8: 8bffff17  b	#0xfffffff008ef32f4
0xfffffff008ef34cc: 9f2403d5  bti	j
0xfffffff008ef34d0: 80008052  mov	w0, #4
0xfffffff008ef34d4: 88ffff17  b	#0xfffffff008ef32f4
0xfffffff008ef34d8: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef34dc: 00742d91  add	x0, x0, #0xb5d
0xfffffff008ef34e0: 8df8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef34e4: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef34e8: 00c83891  add	x0, x0, #0xe32
0xfffffff008ef34ec: 8af8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef34f0: 57aab997  bl	#0xfffffff007d5de4c
0xfffffff008ef34f4: 8028ffb0  adrp	x0, #0xfffffff007404000
0xfffffff008ef34f8: 00000891  add	x0, x0, #0x200
0xfffffff008ef34fc: 86f8ff97  bl	#0xfffffff008ef1714
0xfffffff008ef3500: d8030000  udf	#0x3d8
0xfffffff008ef3504: 0c000000  udf	#0xc
0xfffffff008ef3508: d0030000  udf	#0x3d0
0xfffffff008ef350c: a4050000  udf	#0x5a4
0xfffffff008ef3510: d0030000  udf	#0x3d0
0xfffffff008ef3514: d0030000  udf	#0x3d0
0xfffffff008ef3518: d0030000  udf	#0x3d0
0xfffffff008ef351c: d0030000  udf	#0x3d0
0xfffffff008ef3520: d0030000  udf	#0x3d0
0xfffffff008ef3524: d0030000  udf	#0x3d0
0xfffffff008ef3528: d0030000  udf	#0x3d0
0xfffffff008ef352c: b0050000  udf	#0x5b0
0xfffffff008ef3530: 7f2303d5  pacibsp	
0xfffffff008ef3534: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008ef3538: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008ef353c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008ef3540: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008ef3544: fd430291  add	x29, sp, #0x90
0xfffffff008ef3548: f30300aa  mov	x19, x0
0xfffffff008ef354c: e860ffd0  adrp	x8, #0xfffffff007b11000
0xfffffff008ef3550: 084143f9  ldr	x8, [x8, #0x680]
0xfffffff008ef3554: 080140f9  ldr	x8, [x8]
0xfffffff008ef3558: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff008ef355c: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008ef3560: 00e4006f  movi	v0.2d, #0000000000000000
