; Candidate 5238
; ADRP+ADD at VM 0xfffffff0087e170c (fileoff 0x17dd70c): page=0x1fea31000 add_imm=0xd76

0xfffffff0087e168c: 00b1891a  csel	w0, w8, w9, lt
0xfffffff0087e1690: c0035fd6  ret	
0xfffffff0087e1694: 7f2303d5  pacibsp	
0xfffffff0087e1698: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0087e169c: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff0087e16a0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0087e16a4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0087e16a8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0087e16ac: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0087e16b0: fd430291  add	x29, sp, #0x90
0xfffffff0087e16b4: f50302aa  mov	x21, x2
0xfffffff0087e16b8: f40301aa  mov	x20, x1
0xfffffff0087e16bc: f30300aa  mov	x19, x0
0xfffffff0087e16c0: 600e8052  mov	w0, #0x73
0xfffffff0087e16c4: c1008052  mov	w1, #6
0xfffffff0087e16c8: 42680294  bl	#0xfffffff00887b7d0
0xfffffff0087e16cc: 60050034  cbz	w0, #0xfffffff0087e1778
0xfffffff0087e16d0: 600e8052  mov	w0, #0x73
0xfffffff0087e16d4: 51680294  bl	#0xfffffff00887b818
0xfffffff0087e16d8: f70300aa  mov	x23, x0
0xfffffff0087e16dc: b44a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e16e0: f60300aa  mov	x22, x0
0xfffffff0087e16e4: c0008052  mov	w0, #6
0xfffffff0087e16e8: 5a680294  bl	#0xfffffff00887b850
0xfffffff0087e16ec: b7010034  cbz	w23, #0xfffffff0087e1720
0xfffffff0087e16f0: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087e16f4: 28258052  mov	w8, #0x129
0xfffffff0087e16f8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e16fc: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1700: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e1704: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1708: 680e8052  mov	w8, #0x73
0xfffffff0087e170c: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e1710: 00d83591  add	x0, x0, #0xd76
0xfffffff0087e1714: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e1718: 5257d797  bl	#0xfffffff007db7460
0xfffffff0087e171c: 17000014  b	#0xfffffff0087e1778
0xfffffff0087e1720: a34a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e1724: f60300aa  mov	x22, x0
0xfffffff0087e1728: c0008052  mov	w0, #6
0xfffffff0087e172c: 49680294  bl	#0xfffffff00887b850
0xfffffff0087e1730: e80315aa  mov	x8, x21
0xfffffff0087e1734: e90314aa  mov	x9, x20
0xfffffff0087e1738: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0087e173c: 28258052  mov	w8, #0x129
0xfffffff0087e1740: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1744: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1748: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e174c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1750: 680e8052  mov	w8, #0x73
0xfffffff0087e1754: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e1758: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e175c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1760: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1764: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1768: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e176c: 63401891  add	x3, x3, #0x610
0xfffffff0087e1770: 02008052  mov	w2, #0
0xfffffff0087e1774: 6f46ed97  bl	#0xfffffff008333130
0xfffffff0087e1778: 4091fff0  adrp	x0, #0xfffffff007a0c000
0xfffffff0087e177c: 00603191  add	x0, x0, #0xc58
0xfffffff0087e1780: 5dd3ed97  bl	#0xfffffff0083564f4
0xfffffff0087e1784: c00200b4  cbz	x0, #0xfffffff0087e17dc
0xfffffff0087e1788: f60300aa  mov	x22, x0
