; Candidate 15531
; ADRP+ADD at VM 0xfffffff009c0b24c (fileoff 0x2c0724c): page=0x1fda37000 add_imm=0xe1a

0xfffffff009c0b1cc: 340b8b97  bl	#0xfffffff007ecde9c
0xfffffff009c0b1d0: 1f040071  cmp	w0, #1
0xfffffff009c0b1d4: 41040054  b.ne	#0xfffffff009c0b25c
0xfffffff009c0b1d8: 700240f9  ldr	x16, [x19]
0xfffffff009c0b1dc: f10313aa  mov	x17, x19
0xfffffff009c0b1e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b1e4: 301ac1da  autda	x16, x17
0xfffffff009c0b1e8: 113d80d2  mov	x17, #0x1e8
0xfffffff009c0b1ec: 1002118b  add	x16, x16, x17
0xfffffff009c0b1f0: 080240f9  ldr	x8, [x16]
0xfffffff009c0b1f4: e90310aa  mov	x9, x16
0xfffffff009c0b1f8: e00313aa  mov	x0, x19
0xfffffff009c0b1fc: 010080d2  mov	x1, #0
0xfffffff009c0b200: f10309aa  mov	x17, x9
0xfffffff009c0b204: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c0b208: 11093fd7  blraa	x8, x17
0xfffffff009c0b20c: f80300aa  mov	x24, x0
0xfffffff009c0b210: 700240f9  ldr	x16, [x19]
0xfffffff009c0b214: f10313aa  mov	x17, x19
0xfffffff009c0b218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b21c: 301ac1da  autda	x16, x17
0xfffffff009c0b220: 114380d2  mov	x17, #0x218
0xfffffff009c0b224: 1002118b  add	x16, x16, x17
0xfffffff009c0b228: 080240f9  ldr	x8, [x16]
0xfffffff009c0b22c: e90310aa  mov	x9, x16
0xfffffff009c0b230: e00313aa  mov	x0, x19
0xfffffff009c0b234: 010080d2  mov	x1, #0
0xfffffff009c0b238: f10309aa  mov	x17, x9
0xfffffff009c0b23c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009c0b240: 11093fd7  blraa	x8, x17
0xfffffff009c0b244: fb7301a9  stp	x27, x28, [sp, #0x10]
0xfffffff009c0b248: f80300a9  stp	x24, x0, [sp]
0xfffffff009c0b24c: a0d1fef0  adrp	x0, #0xfffffff007642000
0xfffffff009c0b250: 00683891  add	x0, x0, #0xe1a
0xfffffff009c0b254: 732f9d97  bl	#0xfffffff008357020
0xfffffff009c0b258: 47000014  b	#0xfffffff009c0b374
0xfffffff009c0b25c: 08037c92  and	x8, x24, #0x10
0xfffffff009c0b260: 08fd43d3  lsr	x8, x8, #3
0xfffffff009c0b264: 18011f52  eor	w24, w8, #2
0xfffffff009c0b268: 700240f9  ldr	x16, [x19]
0xfffffff009c0b26c: f10313aa  mov	x17, x19
0xfffffff009c0b270: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b274: 301ac1da  autda	x16, x17
0xfffffff009c0b278: 113d80d2  mov	x17, #0x1e8
0xfffffff009c0b27c: 1002118b  add	x16, x16, x17
0xfffffff009c0b280: 080240f9  ldr	x8, [x16]
0xfffffff009c0b284: e90310aa  mov	x9, x16
0xfffffff009c0b288: e00313aa  mov	x0, x19
0xfffffff009c0b28c: 010080d2  mov	x1, #0
0xfffffff009c0b290: f10309aa  mov	x17, x9
0xfffffff009c0b294: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c0b298: 11093fd7  blraa	x8, x17
0xfffffff009c0b29c: 700240f9  ldr	x16, [x19]
0xfffffff009c0b2a0: f10313aa  mov	x17, x19
0xfffffff009c0b2a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b2a8: 301ac1da  autda	x16, x17
0xfffffff009c0b2ac: 114380d2  mov	x17, #0x218
0xfffffff009c0b2b0: 1002118b  add	x16, x16, x17
0xfffffff009c0b2b4: 080240f9  ldr	x8, [x16]
0xfffffff009c0b2b8: e90310aa  mov	x9, x16
0xfffffff009c0b2bc: e00313aa  mov	x0, x19
0xfffffff009c0b2c0: 010080d2  mov	x1, #0
0xfffffff009c0b2c4: f10309aa  mov	x17, x9
0xfffffff009c0b2c8: 11a8e6f2  movk	x17, #0x3540, lsl #48
