; Candidate 12496
; ADRP+ADD at VM 0xfffffff0090a8d3c (fileoff 0x20a4d3c): page=0x1fe3b1000 add_imm=0xe24

0xfffffff0090a8cbc: b71dffb0  adrp	x23, #0xfffffff00745d000
0xfffffff0090a8cc0: f7423c91  add	x23, x23, #0xf10
0xfffffff0090a8cc4: 1f290071  cmp	w8, #0xa
0xfffffff0090a8cc8: a8000054  b.hi	#0xfffffff0090a8cdc
0xfffffff0090a8ccc: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a8cd0: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8cd4: 00583191  add	x0, x0, #0xc56
0xfffffff0090a8cd8: d2b8ca97  bl	#0xfffffff008357020
0xfffffff0090a8cdc: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0090a8ce0: 340400b4  cbz	x20, #0xfffffff0090a8d64
0xfffffff0090a8ce4: e6a30091  add	x6, sp, #0x28
0xfffffff0090a8ce8: 00008092  mov	x0, #-1
0xfffffff0090a8cec: e10315aa  mov	x1, x21
0xfffffff0090a8cf0: e20313aa  mov	x2, x19
0xfffffff0090a8cf4: 03008052  mov	w3, #0
0xfffffff0090a8cf8: 040080d2  mov	x4, #0
0xfffffff0090a8cfc: 050080d2  mov	x5, #0
0xfffffff0090a8d00: fef9ff97  bl	#0xfffffff0090a74f8
0xfffffff0090a8d04: f30300aa  mov	x19, x0
0xfffffff0090a8d08: e0040035  cbnz	w0, #0xfffffff0090a8da4
0xfffffff0090a8d0c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090a8d10: 1f0100f1  cmp	x8, #0
0xfffffff0090a8d14: e8079f1a  cset	w8, ne
0xfffffff0090a8d18: 88020039  strb	w8, [x20]
0xfffffff0090a8d1c: 48018052  mov	w8, #0xa
0xfffffff0090a8d20: 09034039  ldrb	w9, [x24]
0xfffffff0090a8d24: 1f01096b  cmp	w8, w9
0xfffffff0090a8d28: 03010054  b.lo	#0xfffffff0090a8d48
0xfffffff0090a8d2c: e80313aa  mov	x8, x19
0xfffffff0090a8d30: 087d4093  sxtw	x8, w8
0xfffffff0090a8d34: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a8d38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a8d3c: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8d40: 00903891  add	x0, x0, #0xe24
0xfffffff0090a8d44: b7b8ca97  bl	#0xfffffff008357020
0xfffffff0090a8d48: e00313aa  mov	x0, x19
0xfffffff0090a8d4c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090a8d50: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090a8d54: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090a8d58: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090a8d5c: ffc30191  add	sp, sp, #0x70
0xfffffff0090a8d60: ff0f5fd6  retab	
0xfffffff0090a8d64: a8558052  mov	w8, #0x2ad
0xfffffff0090a8d68: c91dfff0  adrp	x9, #0xfffffff007463000
0xfffffff0090a8d6c: 29193d91  add	x9, x9, #0xf46
0xfffffff0090a8d70: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a8d74: 881dffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090a8d78: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a8d7c: ea1dff90  adrp	x10, #0xfffffff007464000
0xfffffff0090a8d80: 4a210891  add	x10, x10, #0x208
0xfffffff0090a8d84: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a8d88: ea0300f9  str	x10, [sp]
0xfffffff0090a8d8c: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8d90: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a8d94: a3b8ca97  bl	#0xfffffff008357020
0xfffffff0090a8d98: c8088052  mov	w8, #0x46
0xfffffff0090a8d9c: 53008012  mov	w19, #-3
0xfffffff0090a8da0: e0ffff17  b	#0xfffffff0090a8d20
0xfffffff0090a8da4: 687e4093  sxtw	x8, w19
0xfffffff0090a8da8: 09568052  mov	w9, #0x2b0
0xfffffff0090a8dac: ca1dfff0  adrp	x10, #0xfffffff007463000
0xfffffff0090a8db0: 4a193d91  add	x10, x10, #0xf46
0xfffffff0090a8db4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a8db8: 891dffb0  adrp	x9, #0xfffffff007459000
