; Candidate 16009
; ADRP+ADD at VM 0xfffffff009df9070 (fileoff 0x2df5070): page=0x1fdf2f000 add_imm=0xeb8

0xfffffff009df8ff0: 57b99317  b	#0xfffffff0082e754c
0xfffffff009df8ff4: 5f2403d5  bti	c
0xfffffff009df8ff8: 200020d4  brk	#1
0xfffffff009df8ffc: 5f2403d5  bti	c
0xfffffff009df9000: 200020d4  brk	#1
0xfffffff009df9004: 5f2403d5  bti	c
0xfffffff009df9008: 202e00d0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009df900c: 00000091  add	x0, x0, #0
0xfffffff009df9010: c0035fd6  ret	
0xfffffff009df9014: 7f2303d5  pacibsp	
0xfffffff009df9018: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df901c: fd030091  mov	x29, sp
0xfffffff009df9020: 41c5fed0  adrp	x1, #0xfffffff0076a3000
0xfffffff009df9024: 21382991  add	x1, x1, #0xa4e
0xfffffff009df9028: 22f9fe90  adrp	x2, #0xfffffff007d1d000
0xfffffff009df902c: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009df9030: 03038052  mov	w3, #0x18
0xfffffff009df9034: c1aa9397  bl	#0xfffffff0082e3b38
0xfffffff009df9038: 70f9fed0  adrp	x16, #0xfffffff007d27000
0xfffffff009df903c: 10621691  add	x16, x16, #0x598
0xfffffff009df9040: 10420091  add	x16, x16, #0x10
0xfffffff009df9044: f10300aa  mov	x17, x0
0xfffffff009df9048: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df904c: 300ac1da  pacda	x16, x17
0xfffffff009df9050: 100000f9  str	x16, [x0]
0xfffffff009df9054: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df9058: ff0f5fd6  retab	
0xfffffff009df905c: 5f2403d5  bti	c
0xfffffff009df9060: 000080d2  mov	x0, #0
0xfffffff009df9064: c0035fd6  ret	
0xfffffff009df9068: 5f2403d5  bti	c
0xfffffff009df906c: e10300aa  mov	x1, x0
0xfffffff009df9070: 60f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009df9074: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009df9078: 70b99317  b	#0xfffffff0082e7638
0xfffffff009df907c: 5f2403d5  bti	c
0xfffffff009df9080: e20301aa  mov	x2, x1
0xfffffff009df9084: e10300aa  mov	x1, x0
0xfffffff009df9088: 60f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009df908c: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009df9090: 83b99317  b	#0xfffffff0082e769c
0xfffffff009df9094: 7f2303d5  pacibsp	
0xfffffff009df9098: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df909c: fd030091  mov	x29, sp
0xfffffff009df90a0: 41c5fed0  adrp	x1, #0xfffffff0076a3000
0xfffffff009df90a4: 210c2a91  add	x1, x1, #0xa83
0xfffffff009df90a8: 222e00d0  adrp	x2, #0xfffffff00a3bf000
0xfffffff009df90ac: 42000091  add	x2, x2, #0
0xfffffff009df90b0: 03048052  mov	w3, #0x20
0xfffffff009df90b4: a1aa9397  bl	#0xfffffff0082e3b38
0xfffffff009df90b8: 70f9fed0  adrp	x16, #0xfffffff007d27000
0xfffffff009df90bc: 10021c91  add	x16, x16, #0x700
0xfffffff009df90c0: 10420091  add	x16, x16, #0x10
0xfffffff009df90c4: f10300aa  mov	x17, x0
0xfffffff009df90c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df90cc: 300ac1da  pacda	x16, x17
0xfffffff009df90d0: 100000f9  str	x16, [x0]
0xfffffff009df90d4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df90d8: ff0f5fd6  retab	
0xfffffff009df90dc: 5f2403d5  bti	c
0xfffffff009df90e0: 85ad9317  b	#0xfffffff0082e46f4
0xfffffff009df90e4: 7f2303d5  pacibsp	
0xfffffff009df90e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df90ec: fd030091  mov	x29, sp
