; Candidate 6083
; ADRP+ADD at VM 0xfffffff008813788 (fileoff 0x180f788): page=0x1fe9d6000 add_imm=0xe80

0xfffffff008813708: 297f8052  mov	w9, #0x3f9
0xfffffff00881370c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008813710: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813714: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813718: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881371c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008813720: 880e8052  mov	w8, #0x74
0xfffffff008813724: 4050ffd0  adrp	x0, #0xfffffff00721d000
0xfffffff008813728: 007c3291  add	x0, x0, #0xc9f
0xfffffff00881372c: 06ffff17  b	#0xfffffff008813344
0xfffffff008813730: 9f820294  bl	#0xfffffff0088b41ac
0xfffffff008813734: f50300aa  mov	x21, x0
0xfffffff008813738: 80008052  mov	w0, #4
0xfffffff00881373c: 45a00194  bl	#0xfffffff00887b850
0xfffffff008813740: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813744: e90240b9  ldr	w9, [x23]
0xfffffff008813748: 0a048052  mov	w10, #0x20
0xfffffff00881374c: ff2b05a9  stp	xzr, x10, [sp, #0x50]
0xfffffff008813750: ea03142a  mov	w10, w20
0xfffffff008813754: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff008813758: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881375c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813760: 08cd3691  add	x8, x8, #0xdb3
0xfffffff008813764: c9808052  mov	w9, #0x406
0xfffffff008813768: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881376c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813770: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813774: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813778: 880e8052  mov	w8, #0x74
0xfffffff00881377c: a351ff90  adrp	x3, #0xfffffff007247000
0xfffffff008813780: 636c3f91  add	x3, x3, #0xfdb
0xfffffff008813784: f52300a9  stp	x21, x8, [sp]
0xfffffff008813788: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881378c: 00003a91  add	x0, x0, #0xe80
0xfffffff008813790: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008813794: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008813798: 02008052  mov	w2, #0
0xfffffff00881379c: 657eec97  bl	#0xfffffff008333130
0xfffffff0088137a0: a6ffff17  b	#0xfffffff008813638
0xfffffff0088137a4: 800e8052  mov	w0, #0x74
0xfffffff0088137a8: 81008052  mov	w1, #4
0xfffffff0088137ac: 09a00194  bl	#0xfffffff00887b7d0
0xfffffff0088137b0: 40f4ff34  cbz	w0, #0xfffffff008813638
0xfffffff0088137b4: 800e8052  mov	w0, #0x74
0xfffffff0088137b8: 18a00194  bl	#0xfffffff00887b818
0xfffffff0088137bc: f70300aa  mov	x23, x0
0xfffffff0088137c0: 7b820294  bl	#0xfffffff0088b41ac
0xfffffff0088137c4: f60300aa  mov	x22, x0
0xfffffff0088137c8: 80008052  mov	w0, #4
0xfffffff0088137cc: 21a00194  bl	#0xfffffff00887b850
0xfffffff0088137d0: 97150034  cbz	w23, #0xfffffff008813a80
0xfffffff0088137d4: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff0088137d8: a92e40b9  ldr	w9, [x21, #0x2c]
0xfffffff0088137dc: ea03142a  mov	w10, w20
0xfffffff0088137e0: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff0088137e4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088137e8: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088137ec: 08093f91  add	x8, x8, #0xfc2
0xfffffff0088137f0: e9838052  mov	w9, #0x41f
0xfffffff0088137f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088137f8: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088137fc: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813800: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813804: 880e8052  mov	w8, #0x74
