; Candidate 5147
; ADRP+ADD at VM 0xfffffff0087dbc88 (fileoff 0x17d7c88): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087dbc08: 18020034  cbz	w24, #0xfffffff0087dbc48
0xfffffff0087dbc0c: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dbc10: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dbc14: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dbc18: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbc1c: 08952f91  add	x8, x8, #0xbe5
0xfffffff0087dbc20: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dbc24: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbc28: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbc2c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dbc30: 280a8052  mov	w8, #0x51
0xfffffff0087dbc34: a051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087dbc38: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dbc3c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dbc40: 086ed797  bl	#0xfffffff007db7460
0xfffffff0087dbc44: 19000014  b	#0xfffffff0087dbca8
0xfffffff0087dbc48: 59610394  bl	#0xfffffff0088b41ac
0xfffffff0087dbc4c: f70300aa  mov	x23, x0
0xfffffff0087dbc50: c0008052  mov	w0, #6
0xfffffff0087dbc54: ff7e0294  bl	#0xfffffff00887b850
0xfffffff0087dbc58: e80316aa  mov	x8, x22
0xfffffff0087dbc5c: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dbc60: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dbc64: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dbc68: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbc6c: 08952f91  add	x8, x8, #0xbe5
0xfffffff0087dbc70: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dbc74: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbc78: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbc7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dbc80: 280a8052  mov	w8, #0x51
0xfffffff0087dbc84: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dbc88: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dbc8c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dbc90: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dbc94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dbc98: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087dbc9c: 632c3491  add	x3, x3, #0xd0b
0xfffffff0087dbca0: 02008052  mov	w2, #0
0xfffffff0087dbca4: 235ded97  bl	#0xfffffff008333130
0xfffffff0087dbca8: e00316aa  mov	x0, x22
0xfffffff0087dbcac: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dbcb0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dbcb4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dbcb8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dbcbc: ff830291  add	sp, sp, #0xa0
0xfffffff0087dbcc0: ff0f5fd6  retab	
0xfffffff0087dbcc4: 7f2303d5  pacibsp	
0xfffffff0087dbcc8: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087dbccc: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087dbcd0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087dbcd4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087dbcd8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087dbcdc: fd030291  add	x29, sp, #0x80
0xfffffff0087dbce0: f50302aa  mov	x21, x2
0xfffffff0087dbce4: f40301aa  mov	x20, x1
0xfffffff0087dbce8: f30300aa  mov	x19, x0
0xfffffff0087dbcec: 200a8052  mov	w0, #0x51
0xfffffff0087dbcf0: 01018052  mov	w1, #8
0xfffffff0087dbcf4: b77e0294  bl	#0xfffffff00887b7d0
0xfffffff0087dbcf8: 60050034  cbz	w0, #0xfffffff0087dbda4
0xfffffff0087dbcfc: 200a8052  mov	w0, #0x51
0xfffffff0087dbd00: c67e0294  bl	#0xfffffff00887b818
0xfffffff0087dbd04: f70300aa  mov	x23, x0
