; Candidate 6360
; ADRP+ADD at VM 0xfffffff008826e40 (fileoff 0x1822e40): page=0x1fe9c3000 add_imm=0xe80

0xfffffff008826dc0: fb0304a9  stp	x27, x0, [sp, #0x40]
0xfffffff008826dc4: f96b03a9  stp	x25, x26, [sp, #0x30]
0xfffffff008826dc8: f36302a9  stp	x19, x24, [sp, #0x20]
0xfffffff008826dcc: e8830191  add	x8, sp, #0x60
0xfffffff008826dd0: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008826dd4: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826dd8: 63041791  add	x3, x3, #0x5c1
0xfffffff008826ddc: f75300a9  stp	x23, x20, [sp]
0xfffffff008826de0: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826de4: 00003a91  add	x0, x0, #0xe80
0xfffffff008826de8: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826dec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826df0: 02008052  mov	w2, #0
0xfffffff008826df4: cf30ec97  bl	#0xfffffff008333130
0xfffffff008826df8: 1a000014  b	#0xfffffff008826e60
0xfffffff008826dfc: 74a21991  add	x20, x19, #0x668
0xfffffff008826e00: e00314aa  mov	x0, x20
0xfffffff008826e04: 0b220094  bl	#0xfffffff00882f630
0xfffffff008826e08: 751240b9  ldr	w21, [x19, #0x10]
0xfffffff008826e0c: 765a46b9  ldr	w22, [x19, #0x658]
0xfffffff008826e10: 775e46b9  ldr	w23, [x19, #0x65c]
0xfffffff008826e14: 786246b9  ldr	w24, [x19, #0x660]
0xfffffff008826e18: e00314aa  mov	x0, x20
0xfffffff008826e1c: 05220094  bl	#0xfffffff00882f630
0xfffffff008826e20: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff008826e24: 697a46b9  ldr	w9, [x19, #0x678]
0xfffffff008826e28: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff008826e2c: f88302a9  stp	x24, x0, [sp, #0x28]
0xfffffff008826e30: f6df01a9  stp	x22, x23, [sp, #0x18]
0xfffffff008826e34: f3d700a9  stp	x19, x21, [sp, #8]
0xfffffff008826e38: e8830191  add	x8, sp, #0x60
0xfffffff008826e3c: e80300f9  str	x8, [sp]
0xfffffff008826e40: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826e44: 00003a91  add	x0, x0, #0xe80
0xfffffff008826e48: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826e4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826e50: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826e54: 63201591  add	x3, x3, #0x548
0xfffffff008826e58: 02008052  mov	w2, #0
0xfffffff008826e5c: b530ec97  bl	#0xfffffff008333130
0xfffffff008826e60: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008826e64: 098fffd0  adrp	x9, #0xfffffff007a08000
0xfffffff008826e68: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008826e6c: 290140f9  ldr	x9, [x9]
0xfffffff008826e70: 3f0108eb  cmp	x9, x8
0xfffffff008826e74: 41010054  b.ne	#0xfffffff008826e9c
0xfffffff008826e78: 00008052  mov	w0, #0
0xfffffff008826e7c: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff008826e80: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff008826e84: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff008826e88: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff008826e8c: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff008826e90: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff008826e94: ffc30391  add	sp, sp, #0xf0
0xfffffff008826e98: ff0f5fd6  retab	
0xfffffff008826e9c: ecdbd497  bl	#0xfffffff007d5de4c
0xfffffff008826ea0: 7f2303d5  pacibsp	
0xfffffff008826ea4: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008826ea8: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff008826eac: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff008826eb0: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008826eb4: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008826eb8: fd430391  add	x29, sp, #0xd0
0xfffffff008826ebc: f50302aa  mov	x21, x2
