; Candidate 4568
; ADRP+ADD at VM 0xfffffff0087bbac4 (fileoff 0x17b7ac4): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bba44: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff0087bba48: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff0087bba4c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0087bba50: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff0087bba54: 1cf17dd3  lsl	x28, x8, #3
0xfffffff0087bba58: f51300f9  str	x21, [sp, #0x20]
0xfffffff0087bba5c: a806158b  add	x8, x21, x21, lsl #1
0xfffffff0087bba60: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff0087bba64: 08f17dd3  lsl	x8, x8, #3
0xfffffff0087bba68: e8ff04a9  stp	x8, xzr, [sp, #0x48]
0xfffffff0087bba6c: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff0087bba70: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff0087bba74: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0087bba78: ff6b00b9  str	wzr, [sp, #0x68]
0xfffffff0087bba7c: 19008012  mov	w25, #-1
0xfffffff0087bba80: 1a008012  mov	w26, #-1
0xfffffff0087bba84: fc4f03a9  stp	x28, x19, [sp, #0x30]
0xfffffff0087bba88: e8c30191  add	x8, sp, #0x70
0xfffffff0087bba8c: 1701168b  add	x23, x8, x22
0xfffffff0087bba90: f40200b9  str	w20, [x23]
0xfffffff0087bba94: 08008012  mov	w8, #-1
0xfffffff0087bba98: e81200b9  str	w8, [x23, #0x10]
0xfffffff0087bba9c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bbaa0: 080d148b  add	x8, x8, x20, lsl #3
0xfffffff0087bbaa4: 159d43f9  ldr	x21, [x8, #0x738]
0xfffffff0087bbaa8: f50600f9  str	x21, [x23, #8]
0xfffffff0087bbaac: 150d00b4  cbz	x21, #0xfffffff0087bbc4c
0xfffffff0087bbab0: a80240b9  ldr	w8, [x21]
0xfffffff0087bbab4: 1f010071  cmp	w8, #0
0xfffffff0087bbab8: 6c010054  b.gt	#0xfffffff0087bbae4
0xfffffff0087bbabc: a8748252  mov	w8, #0x13a5
0xfffffff0087bbac0: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bbac4: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbac8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbacc: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbad0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbad4: 02008052  mov	w2, #0
0xfffffff0087bbad8: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbadc: 63fc3b91  add	x3, x3, #0xeff
0xfffffff0087bbae0: 94dded97  bl	#0xfffffff008333130
0xfffffff0087bbae4: b50640b9  ldr	w21, [x21, #4]
0xfffffff0087bbae8: bf060031  cmn	w21, #1
0xfffffff0087bbaec: 40080054  b.eq	#0xfffffff0087bbbf4
0xfffffff0087bbaf0: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bbaf4: 092940b9  ldr	w9, [x8, #0x28]
0xfffffff0087bbaf8: 29080034  cbz	w9, #0xfffffff0087bbbfc
0xfffffff0087bbafc: f30318aa  mov	x19, x24
0xfffffff0087bbb00: fc031baa  mov	x28, x27
0xfffffff0087bbb04: 182d40b9  ldr	w24, [x8, #0x2c]
0xfffffff0087bbb08: b801f836  tbz	w24, #0x1f, #0xfffffff0087bbb3c
0xfffffff0087bbb0c: 09a48152  mov	w9, #0xd20
0xfffffff0087bbb10: 084dfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bbb14: 08292d91  add	x8, x8, #0xb4a
0xfffffff0087bbb18: e82700a9  stp	x8, x9, [sp]
0xfffffff0087bbb1c: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbb20: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbb24: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbb28: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbb2c: 02008052  mov	w2, #0
0xfffffff0087bbb30: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbb34: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087bbb38: 7edded97  bl	#0xfffffff008333130
0xfffffff0087bbb3c: 08070011  add	w8, w24, #1
0xfffffff0087bbb40: 29008052  mov	w9, #1
