; Candidate 12761
; ADRP+ADD at VM 0xfffffff009154148 (fileoff 0x2150148): page=0x1fe334000 add_imm=0xd01

0xfffffff0091540c8: e903142a  mov	w9, w20
0xfffffff0091540cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0091540d0: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff0091540d4: 00483391  add	x0, x0, #0xcd2
0xfffffff0091540d8: d20bc897  bl	#0xfffffff008357020
0xfffffff0091540dc: f4060034  cbz	w20, #0xfffffff0091541b8
0xfffffff0091540e0: b6000034  cbz	w22, #0xfffffff0091540f4
0xfffffff0091540e4: e1a30091  add	x1, sp, #0x28
0xfffffff0091540e8: e00316aa  mov	x0, x22
0xfffffff0091540ec: 80560094  bl	#0xfffffff009169aec
0xfffffff0091540f0: 07000014  b	#0xfffffff00915410c
0xfffffff0091540f4: f50300f9  str	x21, [sp]
0xfffffff0091540f8: a219ff90  adrp	x2, #0xfffffff007488000
0xfffffff0091540fc: 42f83391  add	x2, x2, #0xcfe
0xfffffff009154100: e0a30091  add	x0, sp, #0x28
0xfffffff009154104: a1008052  mov	w1, #5
0xfffffff009154108: 159bc297  bl	#0xfffffff0081fad5c
0xfffffff00915410c: e8d25f39  ldrb	w8, [x23, #0x7f4]
0xfffffff009154110: 68030036  tbz	w8, #0, #0xfffffff00915417c
0xfffffff009154114: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009154118: 08611e91  add	x8, x8, #0x798
0xfffffff00915411c: 15014039  ldrb	w21, [x8]
0xfffffff009154120: e00314aa  mov	x0, x20
0xfffffff009154124: b4550094  bl	#0xfffffff0091697f4
0xfffffff009154128: e80314aa  mov	x8, x20
0xfffffff00915412c: 75010034  cbz	w21, #0xfffffff009154158
0xfffffff009154130: e0a301a9  stp	x0, x8, [sp, #0x18]
0xfffffff009154134: e8a30091  add	x8, sp, #0x28
0xfffffff009154138: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff00915413c: 29b93391  add	x9, x9, #0xcee
0xfffffff009154140: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009154144: e90300f9  str	x9, [sp]
0xfffffff009154148: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff00915414c: 00043491  add	x0, x0, #0xd01
0xfffffff009154150: c48cb197  bl	#0xfffffff007db7460
0xfffffff009154154: 0a000014  b	#0xfffffff00915417c
0xfffffff009154158: e0a301a9  stp	x0, x8, [sp, #0x18]
0xfffffff00915415c: e8a30091  add	x8, sp, #0x28
0xfffffff009154160: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff009154164: 29b93391  add	x9, x9, #0xcee
0xfffffff009154168: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff00915416c: e90300f9  str	x9, [sp]
0xfffffff009154170: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154174: 00043491  add	x0, x0, #0xd01
0xfffffff009154178: f66ccc97  bl	#0xfffffff00846f550
0xfffffff00915417c: e8d25f39  ldrb	w8, [x23, #0x7f4]
0xfffffff009154180: c8010836  tbz	w8, #1, #0xfffffff0091541b8
0xfffffff009154184: 46e7b597  bl	#0xfffffff007ecde9c
0xfffffff009154188: 80010034  cbz	w0, #0xfffffff0091541b8
0xfffffff00915418c: e00314aa  mov	x0, x20
0xfffffff009154190: 99550094  bl	#0xfffffff0091697f4
0xfffffff009154194: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff009154198: e8a30091  add	x8, sp, #0x28
0xfffffff00915419c: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff0091541a0: 29b93391  add	x9, x9, #0xcee
0xfffffff0091541a4: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0091541a8: e90300f9  str	x9, [sp]
0xfffffff0091541ac: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff0091541b0: 00043491  add	x0, x0, #0xd01
0xfffffff0091541b4: 9b0bc897  bl	#0xfffffff008357020
0xfffffff0091541b8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0091541bc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0091541c0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0091541c4: f85f43a9  ldp	x24, x23, [sp, #0x30]
