; Candidate 2720
; ADRP+ADD at VM 0xfffffff0086e4ec8 (fileoff 0x16e0ec8): page=0x1fea4d000 add_imm=0xd90

0xfffffff0086e4e48: 460d0094  bl	#0xfffffff0086e8360
0xfffffff0086e4e4c: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e4e50: e91f8052  mov	w9, #0xff
0xfffffff0086e4e54: 09110039  strb	w9, [x8, #4]
0xfffffff0086e4e58: 29008052  mov	w9, #1
0xfffffff0086e4e5c: 09290139  strb	w9, [x8, #0x4a]
0xfffffff0086e4e60: d6010014  b	#0xfffffff0086e55b8
0xfffffff0086e4e64: 080240b9  ldr	w8, [x16]
0xfffffff0086e4e68: 68000034  cbz	w8, #0xfffffff0086e4e74
0xfffffff0086e4e6c: 340240b9  ldr	w20, [x17]
0xfffffff0086e4e70: 20000014  b	#0xfffffff0086e4ef0
0xfffffff0086e4e74: 14008052  mov	w20, #0
0xfffffff0086e4e78: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e4e7c: 89008052  mov	w9, #4
0xfffffff0086e4e80: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e4e84: 945e1853  lsl	w20, w20, #8
0xfffffff0086e4e88: 7f010aeb  cmp	x11, x10
0xfffffff0086e4e8c: 02010054  b.hs	#0xfffffff0086e4eac
0xfffffff0086e4e90: 08210011  add	w8, w8, #8
0xfffffff0086e4e94: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e4e98: 6c050091  add	x12, x11, #1
0xfffffff0086e4e9c: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e4ea0: 6b014039  ldrb	w11, [x11]
0xfffffff0086e4ea4: 94020b2a  orr	w20, w20, w11
0xfffffff0086e4ea8: eb030caa  mov	x11, x12
0xfffffff0086e4eac: 29050071  subs	w9, w9, #1
0xfffffff0086e4eb0: a1feff54  b.ne	#0xfffffff0086e4e84
0xfffffff0086e4eb4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4eb8: 290140b9  ldr	w9, [x9]
0xfffffff0086e4ebc: 3f011a6a  tst	w9, w26
0xfffffff0086e4ec0: 80010054  b.eq	#0xfffffff0086e4ef0
0xfffffff0086e4ec4: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e4ec8: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e4ecc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4ed0: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4ed4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4ed8: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e4edc: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e4ee0: 02008052  mov	w2, #0
0xfffffff0086e4ee4: 9338f197  bl	#0xfffffff008333130
0xfffffff0086e4ee8: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e4eec: 080240b9  ldr	w8, [x16]
0xfffffff0086e4ef0: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e4ef4: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e4ef8: 290200b9  str	w9, [x17]
0xfffffff0086e4efc: 08050051  sub	w8, w8, #1
0xfffffff0086e4f00: 080200b9  str	w8, [x16]
0xfffffff0086e4f04: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4f08: 290140b9  ldr	w9, [x9]
0xfffffff0086e4f0c: 3f011a6a  tst	w9, w26
0xfffffff0086e4f10: e0010054  b.eq	#0xfffffff0086e4f4c
0xfffffff0086e4f14: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e4f18: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e4f1c: 08350891  add	x8, x8, #0x20d
0xfffffff0086e4f20: 29008052  mov	w9, #1
0xfffffff0086e4f24: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e4f28: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e4f2c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4f30: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4f34: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4f38: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e4f3c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e4f40: 02008052  mov	w2, #0
0xfffffff0086e4f44: 7b38f197  bl	#0xfffffff008333130
