; Candidate 6762
; ADRP+ADD at VM 0xfffffff00883fe54 (fileoff 0x183be54): page=0x1fe9aa000 add_imm=0xe80

0xfffffff00883fdd4: 400a8052  mov	w0, #0x52
0xfffffff00883fdd8: 90ee0094  bl	#0xfffffff00887b818
0xfffffff00883fddc: f50300aa  mov	x21, x0
0xfffffff00883fde0: f3d00194  bl	#0xfffffff0088b41ac
0xfffffff00883fde4: f40300aa  mov	x20, x0
0xfffffff00883fde8: e0008052  mov	w0, #7
0xfffffff00883fdec: 99ee0094  bl	#0xfffffff00887b850
0xfffffff00883fdf0: b5010034  cbz	w21, #0xfffffff00883fe24
0xfffffff00883fdf4: 284fffb0  adrp	x8, #0xfffffff007224000
0xfffffff00883fdf8: 08b11791  add	x8, x8, #0x5ec
0xfffffff00883fdfc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883fe00: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883fe04: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883fe08: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883fe0c: 480a8052  mov	w8, #0x52
0xfffffff00883fe10: f42300a9  stp	x20, x8, [sp]
0xfffffff00883fe14: 804effb0  adrp	x0, #0xfffffff007210000
0xfffffff00883fe18: 008c2c91  add	x0, x0, #0xb23
0xfffffff00883fe1c: 91ddd597  bl	#0xfffffff007db7460
0xfffffff00883fe20: 15000014  b	#0xfffffff00883fe74
0xfffffff00883fe24: e2d00194  bl	#0xfffffff0088b41ac
0xfffffff00883fe28: f40300aa  mov	x20, x0
0xfffffff00883fe2c: e0008052  mov	w0, #7
0xfffffff00883fe30: 88ee0094  bl	#0xfffffff00887b850
0xfffffff00883fe34: 284fffb0  adrp	x8, #0xfffffff007224000
0xfffffff00883fe38: 08b11791  add	x8, x8, #0x5ec
0xfffffff00883fe3c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883fe40: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883fe44: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883fe48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883fe4c: 480a8052  mov	w8, #0x52
0xfffffff00883fe50: f42300a9  stp	x20, x8, [sp]
0xfffffff00883fe54: 404dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883fe58: 00003a91  add	x0, x0, #0xe80
0xfffffff00883fe5c: 418effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883fe60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883fe64: 8350ff90  adrp	x3, #0xfffffff00724f000
0xfffffff00883fe68: 63403e91  add	x3, x3, #0xf90
0xfffffff00883fe6c: 02008052  mov	w2, #0
0xfffffff00883fe70: b0cceb97  bl	#0xfffffff008333130
0xfffffff00883fe74: ced00194  bl	#0xfffffff0088b41ac
0xfffffff00883fe78: e8f99ed2  mov	x8, #0xf7cf
0xfffffff00883fe7c: 686abcf2  movk	x8, #0xe353, lsl #16
0xfffffff00883fe80: a874d3f2  movk	x8, #0x9ba5, lsl #32
0xfffffff00883fe84: 8818e4f2  movk	x8, #0x20c4, lsl #48
0xfffffff00883fe88: 087c489b  smulh	x8, x0, x8
0xfffffff00883fe8c: 09fd4793  asr	x9, x8, #7
0xfffffff00883fe90: 28fd488b  add	x8, x9, x8, lsr #63
0xfffffff00883fe94: e82700f9  str	x8, [sp, #0x48]
0xfffffff00883fe98: 74220291  add	x20, x19, #0x88
0xfffffff00883fe9c: e00314aa  mov	x0, x20
0xfffffff00883fea0: 3ac0ff97  bl	#0xfffffff00882ff88
0xfffffff00883fea4: f50300aa  mov	x21, x0
0xfffffff00883fea8: e00314aa  mov	x0, x20
0xfffffff00883feac: 4cc0ff97  bl	#0xfffffff00882ffdc
0xfffffff00883feb0: bf0200eb  cmp	x21, x0
0xfffffff00883feb4: 20070054  b.eq	#0xfffffff00883ff98
0xfffffff00883feb8: 1b008052  mov	w27, #0
0xfffffff00883febc: 36018452  mov	w22, #0x2009
0xfffffff00883fec0: f601a072  movk	w22, #0xf, lsl #16
0xfffffff00883fec4: 184b8052  mov	w24, #0x258
0xfffffff00883fec8: 19778152  mov	w25, #0xbb8
0xfffffff00883fecc: 3a008052  mov	w26, #1
0xfffffff00883fed0: a802168b  add	x8, x21, x22
