; Candidate 1423
; ADRP+ADD at VM 0xfffffff0083dd6c0 (fileoff 0x13d96c0): page=0x1ff5a2000 add_imm=0xd30

0xfffffff0083dd640: bdffff17  b	#0xfffffff0083dd534
0xfffffff0083dd644: 5f2403d5  bti	c
0xfffffff0083dd648: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff0083dd64c: c0035fd6  ret	
0xfffffff0083dd650: 5f2403d5  bti	c
0xfffffff0083dd654: edfbfd17  b	#0xfffffff00835c608
0xfffffff0083dd658: 5f2403d5  bti	c
0xfffffff0083dd65c: e0588052  mov	w0, #0x2c7
0xfffffff0083dd660: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0083dd664: c0035fd6  ret	
0xfffffff0083dd668: 5f2403d5  bti	c
0xfffffff0083dd66c: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff0083dd670: 600100b4  cbz	x0, #0xfffffff0083dd69c
0xfffffff0083dd674: 100040f9  ldr	x16, [x0]
0xfffffff0083dd678: f10300aa  mov	x17, x0
0xfffffff0083dd67c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083dd680: 301ac1da  autda	x16, x17
0xfffffff0083dd684: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0083dd688: e10310aa  mov	x1, x16
0xfffffff0083dd68c: f00308aa  mov	x16, x8
0xfffffff0083dd690: f10301aa  mov	x17, x1
0xfffffff0083dd694: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0083dd698: 110a1fd7  braa	x16, x17
0xfffffff0083dd69c: c0035fd6  ret	
0xfffffff0083dd6a0: 5f2403d5  bti	c
0xfffffff0083dd6a4: e0f10090  adrp	x0, #0xfffffff00a219000
0xfffffff0083dd6a8: 00801091  add	x0, x0, #0x420
0xfffffff0083dd6ac: c0035fd6  ret	
0xfffffff0083dd6b0: 5f2403d5  bti	c
0xfffffff0083dd6b4: e10300aa  mov	x1, x0
0xfffffff0083dd6b8: 08008092  mov	x8, #-1
0xfffffff0083dd6bc: 080000f9  str	x8, [x0]
0xfffffff0083dd6c0: 00adffd0  adrp	x0, #0xfffffff00797f000
0xfffffff0083dd6c4: 00c03491  add	x0, x0, #0xd30
0xfffffff0083dd6c8: 02138052  mov	w2, #0x98
0xfffffff0083dd6cc: f427fc17  b	#0xfffffff0082e769c
0xfffffff0083dd6d0: 5f2403d5  bti	c
0xfffffff0083dd6d4: 08008092  mov	x8, #-1
0xfffffff0083dd6d8: 080000f9  str	x8, [x0]
0xfffffff0083dd6dc: c0035fd6  ret	
0xfffffff0083dd6e0: 7f2303d5  pacibsp	
0xfffffff0083dd6e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083dd6e8: fd030091  mov	x29, sp
0xfffffff0083dd6ec: 08adffd0  adrp	x8, #0xfffffff00797f000
0xfffffff0083dd6f0: 085d4db9  ldr	w8, [x8, #0xd5c]
0xfffffff0083dd6f4: 08511d12  and	w8, w8, #0xfffff8
0xfffffff0083dd6f8: 1f610271  cmp	w8, #0x98
0xfffffff0083dd6fc: 22010054  b.hs	#0xfffffff0083dd720
0xfffffff0083dd700: 80aaff90  adrp	x0, #0xfffffff00792d000
0xfffffff0083dd704: 00c01c91  add	x0, x0, #0x730
0xfffffff0083dd708: 01138052  mov	w1, #0x98
0xfffffff0083dd70c: 82008252  mov	w2, #0x1004
0xfffffff0083dd710: 8200a072  movk	w2, #4, lsl #16
0xfffffff0083dd714: 030080d2  mov	x3, #0
0xfffffff0083dd718: 7a23e797  bl	#0xfffffff007da6500
0xfffffff0083dd71c: 05000014  b	#0xfffffff0083dd730
0xfffffff0083dd720: 00adffd0  adrp	x0, #0xfffffff00797f000
0xfffffff0083dd724: 00c03491  add	x0, x0, #0xd30
0xfffffff0083dd728: 81008052  mov	w1, #4
0xfffffff0083dd72c: a524e797  bl	#0xfffffff007da69c0
0xfffffff0083dd730: e8f100b0  adrp	x8, #0xfffffff00a21a000
0xfffffff0083dd734: 08c10191  add	x8, x8, #0x70
0xfffffff0083dd738: 09138052  mov	w9, #0x98
0xfffffff0083dd73c: 080129f8  ldadd	x9, x8, [x8]
