; Candidate 10126
; ADRP+ADD at VM 0xfffffff008cae920 (fileoff 0x1caa920): page=0x1fe6a3000 add_imm=0xe60

0xfffffff008cae8a0: d01ac1da  autda	x16, x22
0xfffffff008cae8a4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008cae8a8: e90310aa  mov	x9, x16
0xfffffff008cae8ac: e00314aa  mov	x0, x20
0xfffffff008cae8b0: f10309aa  mov	x17, x9
0xfffffff008cae8b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008cae8b8: 11093fd7  blraa	x8, x17
0xfffffff008cae8bc: 730100b4  cbz	x19, #0xfffffff008cae8e8
0xfffffff008cae8c0: 700240f9  ldr	x16, [x19]
0xfffffff008cae8c4: f10313aa  mov	x17, x19
0xfffffff008cae8c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cae8cc: 301ac1da  autda	x16, x17
0xfffffff008cae8d0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008cae8d4: e90310aa  mov	x9, x16
0xfffffff008cae8d8: e00313aa  mov	x0, x19
0xfffffff008cae8dc: f10309aa  mov	x17, x9
0xfffffff008cae8e0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008cae8e4: 11093fd7  blraa	x8, x17
0xfffffff008cae8e8: e00315aa  mov	x0, x21
0xfffffff008cae8ec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008cae8f0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008cae8f4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008cae8f8: ff0f5fd6  retab	
0xfffffff008cae8fc: 7f2303d5  pacibsp	
0xfffffff008cae900: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008cae904: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008cae908: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008cae90c: fd830091  add	x29, sp, #0x20
0xfffffff008cae910: f50300aa  mov	x21, x0
0xfffffff008cae914: 20008052  mov	w0, #1
0xfffffff008cae918: 8adbd997  bl	#0xfffffff008325740
0xfffffff008cae91c: f40300aa  mov	x20, x0
0xfffffff008cae920: 0035fff0  adrp	x0, #0xfffffff007351000
0xfffffff008cae924: 00803991  add	x0, x0, #0xe60
0xfffffff008cae928: aee1d997  bl	#0xfffffff008326fe0
0xfffffff008cae92c: f30300aa  mov	x19, x0
0xfffffff008cae930: f40300b4  cbz	x20, #0xfffffff008cae9ac
0xfffffff008cae934: d30300b4  cbz	x19, #0xfffffff008cae9ac
0xfffffff008cae938: 900240f9  ldr	x16, [x20]
0xfffffff008cae93c: f60314aa  mov	x22, x20
0xfffffff008cae940: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff008cae944: f10314aa  mov	x17, x20
0xfffffff008cae948: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cae94c: 301ac1da  autda	x16, x17
0xfffffff008cae950: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008cae954: e90310aa  mov	x9, x16
0xfffffff008cae958: e00314aa  mov	x0, x20
0xfffffff008cae95c: e10313aa  mov	x1, x19
0xfffffff008cae960: f10309aa  mov	x17, x9
0xfffffff008cae964: f18ceaf2  movk	x17, #0x5467, lsl #48
0xfffffff008cae968: 11093fd7  blraa	x8, x17
0xfffffff008cae96c: a0d647f9  ldr	x0, [x21, #0xfa8]
0xfffffff008cae970: a00200b4  cbz	x0, #0xfffffff008cae9c4
0xfffffff008cae974: 100040f9  ldr	x16, [x0]
0xfffffff008cae978: f10300aa  mov	x17, x0
0xfffffff008cae97c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cae980: 301ac1da  autda	x16, x17
0xfffffff008cae984: 11ab80d2  mov	x17, #0x558
0xfffffff008cae988: 1002118b  add	x16, x16, x17
0xfffffff008cae98c: 080240f9  ldr	x8, [x16]
0xfffffff008cae990: e90310aa  mov	x9, x16
0xfffffff008cae994: e10314aa  mov	x1, x20
0xfffffff008cae998: f10309aa  mov	x17, x9
0xfffffff008cae99c: 3183ecf2  movk	x17, #0x6419, lsl #48
