; Candidate 5144
; ADRP+ADD at VM 0xfffffff0087db9a4 (fileoff 0x17d79a4): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087db924: 37020034  cbz	w23, #0xfffffff0087db968
0xfffffff0087db928: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087db92c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087db930: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087db934: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db938: 09952f91  add	x9, x8, #0xbe5
0xfffffff0087db93c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db940: 081d0291  add	x8, x8, #0x87
0xfffffff0087db944: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087db948: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087db94c: 280a8052  mov	w8, #0x51
0xfffffff0087db950: a051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087db954: 000c2191  add	x0, x0, #0x843
0xfffffff0087db958: f62300a9  stp	x22, x8, [sp]
0xfffffff0087db95c: c16ed797  bl	#0xfffffff007db7460
0xfffffff0087db960: 540300b5  cbnz	x20, #0xfffffff0087db9c8
0xfffffff0087db964: 23000014  b	#0xfffffff0087db9f0
0xfffffff0087db968: 11620394  bl	#0xfffffff0088b41ac
0xfffffff0087db96c: f60300aa  mov	x22, x0
0xfffffff0087db970: c0008052  mov	w0, #6
0xfffffff0087db974: b77f0294  bl	#0xfffffff00887b850
0xfffffff0087db978: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087db97c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087db980: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087db984: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db988: 09952f91  add	x9, x8, #0xbe5
0xfffffff0087db98c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db990: 081d0291  add	x8, x8, #0x87
0xfffffff0087db994: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087db998: 280a8052  mov	w8, #0x51
0xfffffff0087db99c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087db9a0: f60300f9  str	x22, [sp]
0xfffffff0087db9a4: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087db9a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087db9ac: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087db9b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087db9b4: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087db9b8: 63bc3191  add	x3, x3, #0xc6f
0xfffffff0087db9bc: 02008052  mov	w2, #0
0xfffffff0087db9c0: dc5ded97  bl	#0xfffffff008333130
0xfffffff0087db9c4: 740100b4  cbz	x20, #0xfffffff0087db9f0
0xfffffff0087db9c8: 550100b4  cbz	x21, #0xfffffff0087db9f0
0xfffffff0087db9cc: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087db9d0: e80400b4  cbz	x8, #0xfffffff0087dba6c
0xfffffff0087db9d4: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087db9d8: a00400b4  cbz	x0, #0xfffffff0087dba6c
0xfffffff0087db9dc: 821640b9  ldr	w2, [x20, #0x14]
0xfffffff0087db9e0: e10314aa  mov	x1, x20
0xfffffff0087db9e4: b4000194  bl	#0xfffffff00881bcb4
0xfffffff0087db9e8: f60300aa  mov	x22, x0
0xfffffff0087db9ec: 7c000014  b	#0xfffffff0087dbbdc
0xfffffff0087db9f0: 200a8052  mov	w0, #0x51
0xfffffff0087db9f4: 81008052  mov	w1, #4
0xfffffff0087db9f8: 767f0294  bl	#0xfffffff00887b7d0
0xfffffff0087db9fc: 000b0034  cbz	w0, #0xfffffff0087dbb5c
0xfffffff0087dba00: 200a8052  mov	w0, #0x51
0xfffffff0087dba04: 857f0294  bl	#0xfffffff00887b818
0xfffffff0087dba08: f70300aa  mov	x23, x0
0xfffffff0087dba0c: e8610394  bl	#0xfffffff0088b41ac
0xfffffff0087dba10: f60300aa  mov	x22, x0
0xfffffff0087dba14: 80008052  mov	w0, #4
0xfffffff0087dba18: 8e7f0294  bl	#0xfffffff00887b850
0xfffffff0087dba1c: b7060034  cbz	w23, #0xfffffff0087dbaf0
0xfffffff0087dba20: 68ee40b9  ldr	w8, [x19, #0xec]
