; Candidate 4101
; ADRP+ADD at VM 0xfffffff008792198 (fileoff 0x178e198): page=0x1fe99f000 add_imm=0xd90

0xfffffff008792118: 480c0051  sub	w8, w2, #3
0xfffffff00879211c: 1f050071  cmp	w8, #1
0xfffffff008792120: 28090054  b.hi	#0xfffffff008792244
0xfffffff008792124: 98578052  mov	w24, #0x2bc
0xfffffff008792128: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff00879212c: 4315ef97  bl	#0xfffffff008357638
0xfffffff008792130: 603a18f9  str	x0, [x19, #0x3070]
0xfffffff008792134: 601600b4  cbz	x0, #0xfffffff008792400
0xfffffff008792138: 8093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff00879213c: 00a02c91  add	x0, x0, #0xb28
0xfffffff008792140: ed10ef97  bl	#0xfffffff0083564f4
0xfffffff008792144: 2208ff97  bl	#0xfffffff0087541cc
0xfffffff008792148: 603218f9  str	x0, [x19, #0x3060]
0xfffffff00879214c: 000200b4  cbz	x0, #0xfffffff00879218c
0xfffffff008792150: 81008052  mov	w1, #4
0xfffffff008792154: 2608ff97  bl	#0xfffffff0087541ec
0xfffffff008792158: 20030034  cbz	w0, #0xfffffff0087921bc
0xfffffff00879215c: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792160: 088d0491  add	x8, x8, #0x123
0xfffffff008792164: e80300f9  str	x8, [sp]
0xfffffff008792168: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879216c: 00403691  add	x0, x0, #0xd90
0xfffffff008792170: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792174: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792178: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff00879217c: 63a42491  add	x3, x3, #0x929
0xfffffff008792180: 02008052  mov	w2, #0
0xfffffff008792184: eb83ee97  bl	#0xfffffff008333130
0xfffffff008792188: 9e000014  b	#0xfffffff008792400
0xfffffff00879218c: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792190: 088d0491  add	x8, x8, #0x123
0xfffffff008792194: e80300f9  str	x8, [sp]
0xfffffff008792198: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879219c: 00403691  add	x0, x0, #0xd90
0xfffffff0087921a0: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087921a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087921a8: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff0087921ac: 63b82391  add	x3, x3, #0x8ee
0xfffffff0087921b0: 02008052  mov	w2, #0
0xfffffff0087921b4: df83ee97  bl	#0xfffffff008333130
0xfffffff0087921b8: 92000014  b	#0xfffffff008792400
0xfffffff0087921bc: 8093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff0087921c0: 00a02c91  add	x0, x0, #0xb28
0xfffffff0087921c4: cc10ef97  bl	#0xfffffff0083564f4
0xfffffff0087921c8: 0108ff97  bl	#0xfffffff0087541cc
0xfffffff0087921cc: 603618f9  str	x0, [x19, #0x3068]
0xfffffff0087921d0: 000200b4  cbz	x0, #0xfffffff008792210
0xfffffff0087921d4: 81008052  mov	w1, #4
0xfffffff0087921d8: 0508ff97  bl	#0xfffffff0087541ec
0xfffffff0087921dc: 20030034  cbz	w0, #0xfffffff008792240
0xfffffff0087921e0: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff0087921e4: 088d0491  add	x8, x8, #0x123
0xfffffff0087921e8: e80300f9  str	x8, [sp]
0xfffffff0087921ec: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087921f0: 00403691  add	x0, x0, #0xd90
0xfffffff0087921f4: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087921f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087921fc: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792200: 637c2691  add	x3, x3, #0x99f
0xfffffff008792204: 02008052  mov	w2, #0
0xfffffff008792208: ca83ee97  bl	#0xfffffff008333130
0xfffffff00879220c: 7d000014  b	#0xfffffff008792400
0xfffffff008792210: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792214: 088d0491  add	x8, x8, #0x123
