; Candidate 10717
; ADRP+ADD at VM 0xfffffff008de41d8 (fileoff 0x1de01d8): page=0x1fe5e0000 add_imm=0xd54

0xfffffff008de4158: 519081d2  mov	x17, #0xc82
0xfffffff008de415c: d10a3fd7  blraa	x22, x17
0xfffffff008de4160: d8a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de4164: 18432c91  add	x24, x24, #0xb10
0xfffffff008de4168: a00f0035  cbnz	w0, #0xfffffff008de435c
0xfffffff008de416c: f51f40f9  ldr	x21, [sp, #0x38]
0xfffffff008de4170: e02effb0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de4174: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de4178: e32effb0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de417c: 63480d91  add	x3, x3, #0x352
0xfffffff008de4180: e52effd0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de4184: a5080e91  add	x5, x5, #0x382
0xfffffff008de4188: e10314aa  mov	x1, x20
0xfffffff008de418c: e20315aa  mov	x2, x21
0xfffffff008de4190: 04cd8052  mov	w4, #0x668
0xfffffff008de4194: cd0a0094  bl	#0xfffffff008de6cc8
0xfffffff008de4198: e00314aa  mov	x0, x20
0xfffffff008de419c: e10315aa  mov	x1, x21
0xfffffff008de41a0: 730a0094  bl	#0xfffffff008de6b6c
0xfffffff008de41a4: 7f020071  cmp	w19, #0
0xfffffff008de41a8: c8088052  mov	w8, #0x46
0xfffffff008de41ac: 49018052  mov	w9, #0xa
0xfffffff008de41b0: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de41b4: f42effb0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de41b8: 949e0c91  add	x20, x20, #0x327
0xfffffff008de41bc: 09034039  ldrb	w9, [x24]
0xfffffff008de41c0: 1f01096b  cmp	w8, w9
0xfffffff008de41c4: 03010054  b.lo	#0xfffffff008de41e4
0xfffffff008de41c8: e80313aa  mov	x8, x19
0xfffffff008de41cc: 087d4093  sxtw	x8, w8
0xfffffff008de41d0: f45f00a9  stp	x20, x23, [sp]
0xfffffff008de41d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de41d8: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de41dc: 00503591  add	x0, x0, #0xd54
0xfffffff008de41e0: 90cbd597  bl	#0xfffffff008357020
0xfffffff008de41e4: e00313aa  mov	x0, x19
0xfffffff008de41e8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008de41ec: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008de41f0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008de41f4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008de41f8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008de41fc: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008de4200: ff830291  add	sp, sp, #0xa0
0xfffffff008de4204: ff0f5fd6  retab	
0xfffffff008de4208: 88ca8052  mov	w8, #0x654
0xfffffff008de420c: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4210: 29490d91  add	x9, x9, #0x352
0xfffffff008de4214: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4218: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de421c: 08493991  add	x8, x8, #0xe52
0xfffffff008de4220: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4224: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de4228: 09000014  b	#0xfffffff008de424c
0xfffffff008de422c: a8ca8052  mov	w8, #0x655
0xfffffff008de4230: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4234: 29490d91  add	x9, x9, #0x352
0xfffffff008de4238: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de423c: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4240: 08493991  add	x8, x8, #0xe52
0xfffffff008de4244: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4248: 4add1491  add	x10, x10, #0x537
0xfffffff008de424c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de4250: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de4254: 002fff90  adrp	x0, #0xfffffff0073c4000
