; Candidate 8413
; ADRP+ADD at VM 0xfffffff0088a9414 (fileoff 0x18a5414): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a9394: 00050034  cbz	w0, #0xfffffff0088a9434
0xfffffff0088a9398: c00f8052  mov	w0, #0x7e
0xfffffff0088a939c: 1f49ff97  bl	#0xfffffff00887b818
0xfffffff0088a93a0: f70300aa  mov	x23, x0
0xfffffff0088a93a4: 822b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a93a8: f60300aa  mov	x22, x0
0xfffffff0088a93ac: c0008052  mov	w0, #6
0xfffffff0088a93b0: 2849ff97  bl	#0xfffffff00887b850
0xfffffff0088a93b4: 97010034  cbz	w23, #0xfffffff0088a93e4
0xfffffff0088a93b8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088a93bc: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a93c0: 08c93d91  add	x8, x8, #0xf72
0xfffffff0088a93c4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a93c8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a93cc: c80f8052  mov	w8, #0x7e
0xfffffff0088a93d0: e04bff90  adrp	x0, #0xfffffff007225000
0xfffffff0088a93d4: 00042891  add	x0, x0, #0xa01
0xfffffff0088a93d8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088a93dc: 2138d497  bl	#0xfffffff007db7460
0xfffffff0088a93e0: 15000014  b	#0xfffffff0088a9434
0xfffffff0088a93e4: 722b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a93e8: f60300aa  mov	x22, x0
0xfffffff0088a93ec: c0008052  mov	w0, #6
0xfffffff0088a93f0: 1849ff97  bl	#0xfffffff00887b850
0xfffffff0088a93f4: e80315aa  mov	x8, x21
0xfffffff0088a93f8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088a93fc: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9400: 08c93d91  add	x8, x8, #0xf72
0xfffffff0088a9404: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a9408: c80f8052  mov	w8, #0x7e
0xfffffff0088a940c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a9410: f60300f9  str	x22, [sp]
0xfffffff0088a9414: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9418: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a941c: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9420: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9424: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9428: 63fc0091  add	x3, x3, #0x3f
0xfffffff0088a942c: 02008052  mov	w2, #0
0xfffffff0088a9430: 4027ea97  bl	#0xfffffff008333130
0xfffffff0088a9434: e00315aa  mov	x0, x21
0xfffffff0088a9438: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088a943c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088a9440: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088a9444: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088a9448: ff030291  add	sp, sp, #0x80
0xfffffff0088a944c: ff0f5fd6  retab	
0xfffffff0088a9450: 7f2303d5  pacibsp	
0xfffffff0088a9454: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088a9458: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088a945c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088a9460: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088a9464: fd830191  add	x29, sp, #0x60
0xfffffff0088a9468: f30300aa  mov	x19, x0
0xfffffff0088a946c: c00f8052  mov	w0, #0x7e
0xfffffff0088a9470: c1008052  mov	w1, #6
0xfffffff0088a9474: d748ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a9478: 40020034  cbz	w0, #0xfffffff0088a94c0
0xfffffff0088a947c: c00f8052  mov	w0, #0x7e
0xfffffff0088a9480: e648ff97  bl	#0xfffffff00887b818
0xfffffff0088a9484: f50300aa  mov	x21, x0
0xfffffff0088a9488: 492b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a948c: f40300aa  mov	x20, x0
0xfffffff0088a9490: c0008052  mov	w0, #6
