; Candidate 3509
; ADRP+ADD at VM 0xfffffff0087430c8 (fileoff 0x173f0c8): page=0x1fe9ee000 add_imm=0xd90

0xfffffff008743048: 0001c03d  ldr	q0, [x8]
0xfffffff00874304c: 0a2141a9  ldp	x10, x8, [x8, #0x10]
0xfffffff008743050: 8b4241b9  ldr	w11, [x20, #0x140]
0xfffffff008743054: eba703a9  stp	x11, x9, [sp, #0x38]
0xfffffff008743058: eaa302a9  stp	x10, x8, [sp, #0x28]
0xfffffff00874305c: e083813c  stur	q0, [sp, #0x18]
0xfffffff008743060: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff008743064: a850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008743068: 08852e91  add	x8, x8, #0xba1
0xfffffff00874306c: e80300f9  str	x8, [sp]
0xfffffff008743070: 604fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008743074: 00403691  add	x0, x0, #0xd90
0xfffffff008743078: c195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874307c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008743080: c34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff008743084: 63401291  add	x3, x3, #0x490
0xfffffff008743088: 02008052  mov	w2, #0
0xfffffff00874308c: 29c0ef97  bl	#0xfffffff008333130
0xfffffff008743090: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008743094: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008743098: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00874309c: ff030291  add	sp, sp, #0x80
0xfffffff0087430a0: ff0f5fd6  retab	
0xfffffff0087430a4: 7f2303d5  pacibsp	
0xfffffff0087430a8: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087430ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087430b0: fd430091  add	x29, sp, #0x10
0xfffffff0087430b4: 3f800071  cmp	w1, #0x20
0xfffffff0087430b8: e3010054  b.lo	#0xfffffff0087430f4
0xfffffff0087430bc: a850ff90  adrp	x8, #0xfffffff007157000
0xfffffff0087430c0: 08d13191  add	x8, x8, #0xc74
0xfffffff0087430c4: e80700a9  stp	x8, x1, [sp]
0xfffffff0087430c8: 604fffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087430cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087430d0: c195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087430d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087430d8: c34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff0087430dc: 63342791  add	x3, x3, #0x9cd
0xfffffff0087430e0: 02008052  mov	w2, #0
0xfffffff0087430e4: 13c0ef97  bl	#0xfffffff008333130
0xfffffff0087430e8: 80578052  mov	w0, #0x2bc
0xfffffff0087430ec: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0087430f0: 05000014  b	#0xfffffff008743104
0xfffffff0087430f4: e80300aa  mov	x8, x0
0xfffffff0087430f8: 00008052  mov	w0, #0
0xfffffff0087430fc: 0849218b  add	x8, x8, w1, uxtw #2
0xfffffff008743100: 1f0502b9  str	wzr, [x8, #0x204]
0xfffffff008743104: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008743108: ff830091  add	sp, sp, #0x20
0xfffffff00874310c: ff0f5fd6  retab	
0xfffffff008743110: 7f2303d5  pacibsp	
0xfffffff008743114: ff8301d1  sub	sp, sp, #0x60
0xfffffff008743118: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00874311c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008743120: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008743124: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008743128: fd430191  add	x29, sp, #0x50
0xfffffff00874312c: f40301aa  mov	x20, x1
0xfffffff008743130: f30300aa  mov	x19, x0
0xfffffff008743134: a850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008743138: 08052f91  add	x8, x8, #0xbc1
0xfffffff00874313c: a950ff90  adrp	x9, #0xfffffff007157000
0xfffffff008743140: 29112f91  add	x9, x9, #0xbc4
0xfffffff008743144: 3f0000f1  cmp	x1, #0
