; Candidate 14243
; ADRP+ADD at VM 0xfffffff0097588c4 (fileoff 0x27548c4): page=0xc33000 add_imm=0xea8

0xfffffff009758844: 80f1fef0  adrp	x0, #0xfffffff00758b000
0xfffffff009758848: 00802191  add	x0, x0, #0x860
0xfffffff00975884c: e125ffd0  adrp	x1, #0xfffffff007c16000
0xfffffff009758850: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009758854: 63f2fef0  adrp	x3, #0xfffffff0075a7000
0xfffffff009758858: 638c2591  add	x3, x3, #0x963
0xfffffff00975885c: 22008052  mov	w2, #1
0xfffffff009758860: 346aaf97  bl	#0xfffffff008333130
0xfffffff009758864: 68060051  sub	w8, w19, #1
0xfffffff009758868: 69960151  sub	w9, w19, #0x65
0xfffffff00975886c: 1f8d0171  cmp	w8, #0x63
0xfffffff009758870: e8318052  mov	w8, #0x18f
0xfffffff009758874: 2021487a  ccmp	w9, w8, #0, hs
0xfffffff009758878: e0279f1a  cset	w0, lo
0xfffffff00975887c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009758880: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009758884: ff030191  add	sp, sp, #0x40
0xfffffff009758888: ff0f5fd6  retab	
0xfffffff00975888c: 7f2303d5  pacibsp	
0xfffffff009758890: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009758894: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009758898: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00975889c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0097588a0: fdc30091  add	x29, sp, #0x30
0xfffffff0097588a4: 1f500071  cmp	w0, #0x14
0xfffffff0097588a8: 08110054  b.hi	#0xfffffff009758ac8
0xfffffff0097588ac: f50301aa  mov	x21, x1
0xfffffff0097588b0: f60300aa  mov	x22, x0
0xfffffff0097588b4: 81000034  cbz	w1, #0xfffffff0097588c4
0xfffffff0097588b8: e00315aa  mov	x0, x21
0xfffffff0097588bc: d2ffff97  bl	#0xfffffff009758804
0xfffffff0097588c0: 40100034  cbz	w0, #0xfffffff009758ac8
0xfffffff0097588c4: 806100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097588c8: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097588cc: 3130ae97  bl	#0xfffffff0082e4990
0xfffffff0097588d0: 010080d2  mov	x1, #0
0xfffffff0097588d4: 3cc5b097  bl	#0xfffffff008389dc4
0xfffffff0097588d8: f30300aa  mov	x19, x0
0xfffffff0097588dc: a00e00b4  cbz	x0, #0xfffffff009758ab0
0xfffffff0097588e0: a802162a  orr	w8, w21, w22
0xfffffff0097588e4: 680e0034  cbz	w8, #0xfffffff009758ab0
0xfffffff0097588e8: 40008052  mov	w0, #2
0xfffffff0097588ec: 1162ae97  bl	#0xfffffff0082f1130
0xfffffff0097588f0: 000f00b4  cbz	x0, #0xfffffff009758ad0
0xfffffff0097588f4: f40300aa  mov	x20, x0
0xfffffff0097588f8: 76050034  cbz	w22, #0xfffffff0097589a4
0xfffffff0097588fc: 00f2fe90  adrp	x0, #0xfffffff007598000
0xfffffff009758900: 00842e91  add	x0, x0, #0xba1
0xfffffff009758904: a342af97  bl	#0xfffffff008329390
0xfffffff009758908: f70300aa  mov	x23, x0
0xfffffff00975890c: e003162a  mov	w0, w22
0xfffffff009758910: 01048052  mov	w1, #0x20
0xfffffff009758914: 761aaf97  bl	#0xfffffff00831f2ec
0xfffffff009758918: f60300aa  mov	x22, x0
0xfffffff00975891c: 900240f9  ldr	x16, [x20]
0xfffffff009758920: f10314aa  mov	x17, x20
0xfffffff009758924: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009758928: 301ac1da  autda	x16, x17
0xfffffff00975892c: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff009758930: e90310aa  mov	x9, x16
0xfffffff009758934: e00314aa  mov	x0, x20
0xfffffff009758938: e10317aa  mov	x1, x23
0xfffffff00975893c: e20316aa  mov	x2, x22
0xfffffff009758940: f10309aa  mov	x17, x9
