; Candidate 629
; ADRP+ADD at VM 0xfffffff007fc7504 (fileoff 0xfc3504): page=0x1ff9b5000 add_imm=0xd70

0xfffffff007fc7484: 5f00086b  cmp	w2, w8
0xfffffff007fc7488: 811f0054  b.ne	#0xfffffff007fc7878
0xfffffff007fc748c: a00240f9  ldr	x0, [x21]
0xfffffff007fc7490: 01088052  mov	w1, #0x40
0xfffffff007fc7494: 02088052  mov	w2, #0x40
0xfffffff007fc7498: b7d9ff97  bl	#0xfffffff007fbdb74
0xfffffff007fc749c: 15008052  mov	w21, #0
0xfffffff007fc74a0: d4ffff17  b	#0xfffffff007fc73f0
0xfffffff007fc74a4: a0cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fc74a8: 00c03591  add	x0, x0, #0xd70
0xfffffff007fc74ac: e10316aa  mov	x1, x22
0xfffffff007fc74b0: d709f997  bl	#0xfffffff007e09c0c
0xfffffff007fc74b4: 88224639  ldrb	w8, [x20, #0x188]
0xfffffff007fc74b8: 881c0034  cbz	w8, #0xfffffff007fc7848
0xfffffff007fc74bc: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff007fc74c0: 181140f9  ldr	x24, [x8, #0x20]
0xfffffff007fc74c4: ff2701f9  str	xzr, [sp, #0x248]
0xfffffff007fc74c8: ff2301f9  str	xzr, [sp, #0x240]
0xfffffff007fc74cc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fc74d0: a0833aad  stp	q0, q0, [x29, #-0xb0]
0xfffffff007fc74d4: a08339ad  stp	q0, q0, [x29, #-0xd0]
0xfffffff007fc74d8: e0030991  add	x0, sp, #0x240
0xfffffff007fc74dc: 01008052  mov	w1, #0
0xfffffff007fc74e0: 02028052  mov	w2, #0x10
0xfffffff007fc74e4: b715f697  bl	#0xfffffff007d4cbc0
0xfffffff007fc74e8: 88120190  adrp	x8, #0xfffffff00a217000
0xfffffff007fc74ec: 082544f9  ldr	x8, [x8, #0x848]
0xfffffff007fc74f0: c80800b4  cbz	x8, #0xfffffff007fc7608
0xfffffff007fc74f4: 01410191  add	x1, x8, #0x50
0xfffffff007fc74f8: e0030991  add	x0, sp, #0x240
0xfffffff007fc74fc: 02028052  mov	w2, #0x10
0xfffffff007fc7500: 2415f697  bl	#0xfffffff007d4c990
0xfffffff007fc7504: a0cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fc7508: 00c03591  add	x0, x0, #0xd70
0xfffffff007fc750c: 81008052  mov	w1, #4
0xfffffff007fc7510: 717ef797  bl	#0xfffffff007da6ed4
0xfffffff007fc7514: 801d00b4  cbz	x0, #0xfffffff007fc78c4
0xfffffff007fc7518: f70300aa  mov	x23, x0
0xfffffff007fc751c: 96720391  add	x22, x20, #0xdc
0xfffffff007fc7520: 887a41b9  ldr	w8, [x20, #0x178]
0xfffffff007fc7524: 090040f9  ldr	x9, [x0]
0xfffffff007fc7528: 2a017cb2  orr	x10, x9, #0x10
0xfffffff007fc752c: 0a0000f9  str	x10, [x0]
0xfffffff007fc7530: 081400f9  str	x8, [x0, #0x28]
0xfffffff007fc7534: 888241b9  ldr	w8, [x20, #0x180]
0xfffffff007fc7538: 8a028052  mov	w10, #0x14
0xfffffff007fc753c: 2a010aaa  orr	x10, x9, x10
0xfffffff007fc7540: 0a0000f9  str	x10, [x0]
0xfffffff007fc7544: 080c00f9  str	x8, [x0, #0x18]
0xfffffff007fc7548: 888641b9  ldr	w8, [x20, #0x184]
0xfffffff007fc754c: 081000f9  str	x8, [x0, #0x20]
0xfffffff007fc7550: 680f01d0  adrp	x8, #0xfffffff00a1b5000
0xfffffff007fc7554: 08954eb9  ldr	w8, [x8, #0xe94]
0xfffffff007fc7558: 1f010071  cmp	w8, #0
0xfffffff007fc755c: 08088052  mov	w8, #0x40
0xfffffff007fc7560: 08159f9a  csinc	x8, x8, xzr, ne
0xfffffff007fc7564: 8a038052  mov	w10, #0x1c
0xfffffff007fc7568: 0a01a072  movk	w10, #8, lsl #16
0xfffffff007fc756c: 29010aaa  orr	x9, x9, x10
0xfffffff007fc7570: 090000f9  str	x9, [x0]
0xfffffff007fc7574: 084c00f9  str	x8, [x0, #0x98]
0xfffffff007fc7578: 5986fff0  adrp	x25, #0xfffffff007092000
0xfffffff007fc757c: 395f0891  add	x25, x25, #0x217
0xfffffff007fc7580: f96300a9  stp	x25, x24, [sp]
