; Candidate 7246
; ADRP+ADD at VM 0xfffffff0088627c0 (fileoff 0x185e7c0): page=0x1fe987000 add_imm=0xe80

0xfffffff008862740: 686603a9  stp	x8, x25, [x19, #0x30]
0xfffffff008862744: 7a4200b9  str	w26, [x19, #0x40]
0xfffffff008862748: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff00886274c: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008862750: 69a204a9  stp	x9, x8, [x19, #0x48]
0xfffffff008862754: 74a200b9  str	w20, [x19, #0xa0]
0xfffffff008862758: f40317aa  mov	x20, x23
0xfffffff00886275c: 7fba00b9  str	wzr, [x19, #0xb8]
0xfffffff008862760: 5df9ff17  b	#0xfffffff008860cd4
0xfffffff008862764: 92460194  bl	#0xfffffff0088b41ac
0xfffffff008862768: f60300aa  mov	x22, x0
0xfffffff00886276c: 80008052  mov	w0, #4
0xfffffff008862770: 38640094  bl	#0xfffffff00887b850
0xfffffff008862774: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008862778: e9031caa  mov	x9, x28
0xfffffff00886277c: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008862780: e9031aaa  mov	x9, x26
0xfffffff008862784: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff008862788: 684dffd0  adrp	x8, #0xfffffff007210000
0xfffffff00886278c: 0ab92791  add	x10, x8, #0x9ee
0xfffffff008862790: 48228052  mov	w8, #0x112
0xfffffff008862794: 694dfff0  adrp	x9, #0xfffffff007211000
0xfffffff008862798: 29892c91  add	x9, x9, #0xb22
0xfffffff00886279c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088627a0: 284effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088627a4: 08811191  add	x8, x8, #0x460
0xfffffff0088627a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088627ac: 680c8052  mov	w8, #0x63
0xfffffff0088627b0: a34fff90  adrp	x3, #0xfffffff007256000
0xfffffff0088627b4: 63e40d91  add	x3, x3, #0x379
0xfffffff0088627b8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088627bc: f60300f9  str	x22, [sp]
0xfffffff0088627c0: 204cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088627c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088627c8: 218dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088627cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088627d0: 02008052  mov	w2, #0
0xfffffff0088627d4: 5742eb97  bl	#0xfffffff008333130
0xfffffff0088627d8: 8cfaff17  b	#0xfffffff008861208
0xfffffff0088627dc: 74460194  bl	#0xfffffff0088b41ac
0xfffffff0088627e0: f60300aa  mov	x22, x0
0xfffffff0088627e4: 80008052  mov	w0, #4
0xfffffff0088627e8: 1a640094  bl	#0xfffffff00887b850
0xfffffff0088627ec: e8031caa  mov	x8, x28
0xfffffff0088627f0: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0088627f4: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088627f8: e8031aaa  mov	x8, x26
0xfffffff0088627fc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008862800: a80358f8  ldur	x8, [x29, #-0x80]
0xfffffff008862804: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008862808: 684dffd0  adrp	x8, #0xfffffff007210000
0xfffffff00886280c: 0ab92791  add	x10, x8, #0x9ee
0xfffffff008862810: 68238052  mov	w8, #0x11b
0xfffffff008862814: 694dfff0  adrp	x9, #0xfffffff007211000
0xfffffff008862818: 29892c91  add	x9, x9, #0xb22
0xfffffff00886281c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008862820: 284effb0  adrp	x8, #0xfffffff007227000
0xfffffff008862824: 08811191  add	x8, x8, #0x460
0xfffffff008862828: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886282c: 680c8052  mov	w8, #0x63
0xfffffff008862830: a34fff90  adrp	x3, #0xfffffff007256000
0xfffffff008862834: 63180f91  add	x3, x3, #0x3c6
0xfffffff008862838: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886283c: f60300f9  str	x22, [sp]
