; Candidate 7543
; ADRP+ADD at VM 0xfffffff008872088 (fileoff 0x186e088): page=0x1fe9a1000 add_imm=0xe0f

0xfffffff008872008: 00008052  mov	w0, #0
0xfffffff00887200c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008872010: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008872014: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008872018: ff830191  add	sp, sp, #0x60
0xfffffff00887201c: ff0f5fd6  retab	
0xfffffff008872020: 7f2303d5  pacibsp	
0xfffffff008872024: ff0302d1  sub	sp, sp, #0x80
0xfffffff008872028: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00887202c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008872030: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008872034: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008872038: fdc30191  add	x29, sp, #0x70
0xfffffff00887203c: f30300aa  mov	x19, x0
0xfffffff008872040: 600b8052  mov	w0, #0x5b
0xfffffff008872044: 01018052  mov	w1, #8
0xfffffff008872048: e2250094  bl	#0xfffffff00887b7d0
0xfffffff00887204c: a0040034  cbz	w0, #0xfffffff0088720e0
0xfffffff008872050: 600b8052  mov	w0, #0x5b
0xfffffff008872054: f1250094  bl	#0xfffffff00887b818
0xfffffff008872058: f50300aa  mov	x21, x0
0xfffffff00887205c: 54080194  bl	#0xfffffff0088b41ac
0xfffffff008872060: f40300aa  mov	x20, x0
0xfffffff008872064: 00018052  mov	w0, #8
0xfffffff008872068: fa250094  bl	#0xfffffff00887b850
0xfffffff00887206c: 75010034  cbz	w21, #0xfffffff008872098
0xfffffff008872070: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff008872074: 08292991  add	x8, x8, #0xa4a
0xfffffff008872078: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887207c: 680b8052  mov	w8, #0x5b
0xfffffff008872080: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008872084: f40300f9  str	x20, [sp]
0xfffffff008872088: 004dffb0  adrp	x0, #0xfffffff007213000
0xfffffff00887208c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008872090: f414d597  bl	#0xfffffff007db7460
0xfffffff008872094: 13000014  b	#0xfffffff0088720e0
0xfffffff008872098: 45080194  bl	#0xfffffff0088b41ac
0xfffffff00887209c: f40300aa  mov	x20, x0
0xfffffff0088720a0: 00018052  mov	w0, #8
0xfffffff0088720a4: eb250094  bl	#0xfffffff00887b850
0xfffffff0088720a8: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff0088720ac: 08292991  add	x8, x8, #0xa4a
0xfffffff0088720b0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088720b4: 680b8052  mov	w8, #0x5b
0xfffffff0088720b8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088720bc: f40300f9  str	x20, [sp]
0xfffffff0088720c0: a04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088720c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088720c8: a18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088720cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088720d0: 234ffff0  adrp	x3, #0xfffffff007259000
0xfffffff0088720d4: 631c0491  add	x3, x3, #0x107
0xfffffff0088720d8: 02008052  mov	w2, #0
0xfffffff0088720dc: 1504eb97  bl	#0xfffffff008333130
0xfffffff0088720e0: e00313aa  mov	x0, x19
0xfffffff0088720e4: 21008052  mov	w1, #1
0xfffffff0088720e8: 02098052  mov	w2, #0x48
0xfffffff0088720ec: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff0088720f0: 064c0094  bl	#0xfffffff008885108
0xfffffff0088720f4: f50300aa  mov	x21, x0
0xfffffff0088720f8: 1f040072  tst	w0, #3
0xfffffff0088720fc: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff008872100: 600b8052  mov	w0, #0x5b
0xfffffff008872104: 01018052  mov	w1, #8
