; Candidate 8285
; ADRP+ADD at VM 0xfffffff0088a0df0 (fileoff 0x189cdf0): page=0x1fe949000 add_imm=0xe80

0xfffffff0088a0d70: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a0d74: e7010014  b	#0xfffffff0088a1510
0xfffffff0088a0d78: 0d4d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a0d7c: f80300aa  mov	x24, x0
0xfffffff0088a0d80: 00018052  mov	w0, #8
0xfffffff0088a0d84: b36aff97  bl	#0xfffffff00887b850
0xfffffff0088a0d88: e81240f9  ldr	x8, [x23, #0x20]
0xfffffff0088a0d8c: 690240b9  ldr	w9, [x19]
0xfffffff0088a0d90: ea2e4229  ldp	w10, w11, [x23, #0x10]
0xfffffff0088a0d94: ec1a40b9  ldr	w12, [x23, #0x18]
0xfffffff0088a0d98: ed2e40b9  ldr	w13, [x23, #0x2c]
0xfffffff0088a0d9c: ee3a40b9  ldr	w14, [x23, #0x38]
0xfffffff0088a0da0: efc240b9  ldr	w15, [x23, #0xc0]
0xfffffff0088a0da4: f0b241b9  ldr	w16, [x23, #0x1b0]
0xfffffff0088a0da8: f1fa41b9  ldr	w17, [x23, #0x1f8]
0xfffffff0088a0dac: f04708a9  stp	x16, x17, [sp, #0x80]
0xfffffff0088a0db0: ee3f07a9  stp	x14, x15, [sp, #0x70]
0xfffffff0088a0db4: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0088a0db8: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff0088a0dbc: f72b04a9  stp	x23, x10, [sp, #0x40]
0xfffffff0088a0dc0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088a0dc4: c89c8052  mov	w8, #0x4e6
0xfffffff0088a0dc8: 894cffb0  adrp	x9, #0xfffffff007231000
0xfffffff0088a0dcc: 29311091  add	x9, x9, #0x40c
0xfffffff0088a0dd0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a0dd4: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0dd8: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0ddc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a0de0: a80f8052  mov	w8, #0x7d
0xfffffff0088a0de4: 034effb0  adrp	x3, #0xfffffff007261000
0xfffffff0088a0de8: 63201791  add	x3, x3, #0x5c8
0xfffffff0088a0dec: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a0df0: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a0df4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a0df8: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a0dfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a0e00: 02008052  mov	w2, #0
0xfffffff0088a0e04: cb48ea97  bl	#0xfffffff008333130
0xfffffff0088a0e08: e81a40f9  ldr	x8, [x23, #0x30]
0xfffffff0088a0e0c: 680b00b4  cbz	x8, #0xfffffff0088a0f78
0xfffffff0088a0e10: b4031af8  stur	x20, [x29, #-0x60]
0xfffffff0088a0e14: e83a40b9  ldr	w8, [x23, #0x38]
0xfffffff0088a0e18: 1f050071  cmp	w8, #1
0xfffffff0088a0e1c: 2b0f0054  b.lt	#0xfffffff0088a1000
0xfffffff0088a0e20: 1c0080d2  mov	x28, #0
0xfffffff0088a0e24: 180080d2  mov	x24, #0
0xfffffff0088a0e28: fb020191  add	x27, x23, #0x40
0xfffffff0088a0e2c: 74a08052  mov	w20, #0x503
0xfffffff0088a0e30: 681740b9  ldr	w8, [x27, #0x14]
0xfffffff0088a0e34: 68090034  cbz	w8, #0xfffffff0088a0f60
0xfffffff0088a0e38: 610340f9  ldr	x1, [x27]
0xfffffff0088a0e3c: e00313aa  mov	x0, x19
0xfffffff0088a0e40: 33f0ff97  bl	#0xfffffff00889cf0c
0xfffffff0088a0e44: 602100b4  cbz	x0, #0xfffffff0088a1270
0xfffffff0088a0e48: f80300aa  mov	x24, x0
0xfffffff0088a0e4c: 08404039  ldrb	w8, [x0, #0x10]
0xfffffff0088a0e50: 09ac41b9  ldr	w9, [x0, #0x1ac]
0xfffffff0088a0e54: 68a70129  stp	w8, w9, [x27, #0xc]
0xfffffff0088a0e58: a00f8052  mov	w0, #0x7d
0xfffffff0088a0e5c: 01018052  mov	w1, #8
0xfffffff0088a0e60: 5c6aff97  bl	#0xfffffff00887b7d0
0xfffffff0088a0e64: e0070034  cbz	w0, #0xfffffff0088a0f60
0xfffffff0088a0e68: a00f8052  mov	w0, #0x7d
0xfffffff0088a0e6c: 6b6aff97  bl	#0xfffffff00887b818
