; Candidate 13159
; ADRP+ADD at VM 0xfffffff0091fe494 (fileoff 0x21fa494): page=0x1fe2a4000 add_imm=0xe27

0xfffffff0091fe414: dc8800d0  adrp	x28, #0xfffffff00a318000
0xfffffff0091fe418: 807b07f9  str	x0, [x28, #0xef0]
0xfffffff0091fe41c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe420: 003c0791  add	x0, x0, #0x1cf
0xfffffff0091fe424: 85abc497  bl	#0xfffffff008329238
0xfffffff0091fe428: d68800d0  adrp	x22, #0xfffffff00a318000
0xfffffff0091fe42c: c07e07f9  str	x0, [x22, #0xef8]
0xfffffff0091fe430: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe434: 009c0491  add	x0, x0, #0x127
0xfffffff0091fe438: 80abc497  bl	#0xfffffff008329238
0xfffffff0091fe43c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe440: 008107f9  str	x0, [x8, #0xf00]
0xfffffff0091fe444: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe448: 00e00491  add	x0, x0, #0x138
0xfffffff0091fe44c: 7babc497  bl	#0xfffffff008329238
0xfffffff0091fe450: db8800d0  adrp	x27, #0xfffffff00a318000
0xfffffff0091fe454: 608707f9  str	x0, [x27, #0xf08]
0xfffffff0091fe458: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe45c: 00ec0791  add	x0, x0, #0x1fb
0xfffffff0091fe460: 76abc497  bl	#0xfffffff008329238
0xfffffff0091fe464: da8800d0  adrp	x26, #0xfffffff00a318000
0xfffffff0091fe468: 408b07f9  str	x0, [x26, #0xf10]
0xfffffff0091fe46c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe470: 00440891  add	x0, x0, #0x211
0xfffffff0091fe474: 71abc497  bl	#0xfffffff008329238
0xfffffff0091fe478: d58800d0  adrp	x21, #0xfffffff00a318000
0xfffffff0091fe47c: a08e07f9  str	x0, [x21, #0xf18]
0xfffffff0091fe480: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe484: 00a40891  add	x0, x0, #0x229
0xfffffff0091fe488: 6cabc497  bl	#0xfffffff008329238
0xfffffff0091fe48c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe490: 009107f9  str	x0, [x8, #0xf20]
0xfffffff0091fe494: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe498: 009c3891  add	x0, x0, #0xe27
0xfffffff0091fe49c: 67abc497  bl	#0xfffffff008329238
0xfffffff0091fe4a0: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe4a4: 009507f9  str	x0, [x8, #0xf28]
0xfffffff0091fe4a8: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe4ac: 00043991  add	x0, x0, #0xe41
0xfffffff0091fe4b0: 62abc497  bl	#0xfffffff008329238
0xfffffff0091fe4b4: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe4b8: 009907f9  str	x0, [x8, #0xf30]
0xfffffff0091fe4bc: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe4c0: 00703991  add	x0, x0, #0xe5c
0xfffffff0091fe4c4: 5dabc497  bl	#0xfffffff008329238
0xfffffff0091fe4c8: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe4cc: 009d07f9  str	x0, [x8, #0xf38]
0xfffffff0091fe4d0: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe4d4: 00f01591  add	x0, x0, #0x57c
0xfffffff0091fe4d8: 58abc497  bl	#0xfffffff008329238
0xfffffff0091fe4dc: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe4e0: 00a107f9  str	x0, [x8, #0xf40]
0xfffffff0091fe4e4: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe4e8: 00c41491  add	x0, x0, #0x531
0xfffffff0091fe4ec: 53abc497  bl	#0xfffffff008329238
0xfffffff0091fe4f0: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe4f4: 00a507f9  str	x0, [x8, #0xf48]
0xfffffff0091fe4f8: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe4fc: 00041f91  add	x0, x0, #0x7c1
0xfffffff0091fe500: 4eabc497  bl	#0xfffffff008329238
0xfffffff0091fe504: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe508: 00a907f9  str	x0, [x8, #0xf50]
0xfffffff0091fe50c: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe510: 008c0f91  add	x0, x0, #0x3e3
