; Candidate 7468
; ADRP+ADD at VM 0xfffffff00886f174 (fileoff 0x186b174): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886f0f4: 00008052  mov	w0, #0
0xfffffff00886f0f8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00886f0fc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00886f100: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00886f104: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00886f108: ff030291  add	sp, sp, #0x80
0xfffffff00886f10c: ff0f5fd6  retab	
0xfffffff00886f110: 7f2303d5  pacibsp	
0xfffffff00886f114: ff8301d1  sub	sp, sp, #0x60
0xfffffff00886f118: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00886f11c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00886f120: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00886f124: fd430191  add	x29, sp, #0x50
0xfffffff00886f128: f30300aa  mov	x19, x0
0xfffffff00886f12c: 600b8052  mov	w0, #0x5b
0xfffffff00886f130: e1008052  mov	w1, #7
0xfffffff00886f134: a7310094  bl	#0xfffffff00887b7d0
0xfffffff00886f138: a0040034  cbz	w0, #0xfffffff00886f1cc
0xfffffff00886f13c: 600b8052  mov	w0, #0x5b
0xfffffff00886f140: b6310094  bl	#0xfffffff00887b818
0xfffffff00886f144: f50300aa  mov	x21, x0
0xfffffff00886f148: 19140194  bl	#0xfffffff0088b41ac
0xfffffff00886f14c: f40300aa  mov	x20, x0
0xfffffff00886f150: e0008052  mov	w0, #7
0xfffffff00886f154: bf310094  bl	#0xfffffff00887b850
0xfffffff00886f158: 75010034  cbz	w21, #0xfffffff00886f184
0xfffffff00886f15c: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f160: 08412091  add	x8, x8, #0x810
0xfffffff00886f164: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f168: 680b8052  mov	w8, #0x5b
0xfffffff00886f16c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f170: f40300f9  str	x20, [sp]
0xfffffff00886f174: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886f178: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886f17c: b920d597  bl	#0xfffffff007db7460
0xfffffff00886f180: 13000014  b	#0xfffffff00886f1cc
0xfffffff00886f184: 0a140194  bl	#0xfffffff0088b41ac
0xfffffff00886f188: f40300aa  mov	x20, x0
0xfffffff00886f18c: e0008052  mov	w0, #7
0xfffffff00886f190: b0310094  bl	#0xfffffff00887b850
0xfffffff00886f194: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f198: 08412091  add	x8, x8, #0x810
0xfffffff00886f19c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f1a0: 680b8052  mov	w8, #0x5b
0xfffffff00886f1a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f1a8: f40300f9  str	x20, [sp]
0xfffffff00886f1ac: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886f1b0: 00003a91  add	x0, x0, #0xe80
0xfffffff00886f1b4: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886f1b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886f1bc: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886f1c0: 63a42791  add	x3, x3, #0x9e9
0xfffffff00886f1c4: 02008052  mov	w2, #0
0xfffffff00886f1c8: da0feb97  bl	#0xfffffff008333130
0xfffffff00886f1cc: 94088052  mov	w20, #0x44
0xfffffff00886f1d0: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff00886f1d4: 82121f11  add	w2, w20, #0x7c4
0xfffffff00886f1d8: e00313aa  mov	x0, x19
0xfffffff00886f1dc: 21008052  mov	w1, #1
0xfffffff00886f1e0: 23008052  mov	w3, #1
0xfffffff00886f1e4: e3570094  bl	#0xfffffff008885170
0xfffffff00886f1e8: e00313aa  mov	x0, x19
0xfffffff00886f1ec: 21008052  mov	w1, #1
0xfffffff00886f1f0: 82088052  mov	w2, #0x44
