; Candidate 9778
; ADRP+ADD at VM 0xfffffff008b0fe90 (fileoff 0x1b0be90): page=0x1fe7dc000 add_imm=0xe15

0xfffffff008b0fe10: 010080d2  mov	x1, #0
0xfffffff008b0fe14: 9fe8e197  bl	#0xfffffff00838a090
0xfffffff008b0fe18: e10300aa  mov	x1, x0
0xfffffff008b0fe1c: 687bfff0  adrp	x8, #0xfffffff007a7e000
0xfffffff008b0fe20: 081d46f9  ldr	x8, [x8, #0xc38]
0xfffffff008b0fe24: 000140f9  ldr	x0, [x8]
0xfffffff008b0fe28: 300000b0  adrp	x16, #0xfffffff008b14000
0xfffffff008b0fe2c: 10121891  add	x16, x16, #0x604
0xfffffff008b0fe30: d13b8cd2  mov	x17, #0x61de
0xfffffff008b0fe34: 3002c1da  pacia	x16, x17
0xfffffff008b0fe38: e20310aa  mov	x2, x16
0xfffffff008b0fe3c: e13f00f9  str	x1, [sp, #0x78]
0xfffffff008b0fe40: e30313aa  mov	x3, x19
0xfffffff008b0fe44: 040080d2  mov	x4, #0
0xfffffff008b0fe48: 05008052  mov	w5, #0
0xfffffff008b0fe4c: 42e7e197  bl	#0xfffffff008389b54
0xfffffff008b0fe50: 68364239  ldrb	w8, [x19, #0x8d]
0xfffffff008b0fe54: 88010034  cbz	w8, #0xfffffff008b0fe84
0xfffffff008b0fe58: 7f1e0339  strb	wzr, [x19, #0xc7]
0xfffffff008b0fe5c: f90300f9  str	x25, [sp]
0xfffffff008b0fe60: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fe64: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fe68: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fe6c: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0fe70: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0fe74: 63643a91  add	x3, x3, #0xe99
0xfffffff008b0fe78: 02008052  mov	w2, #0
0xfffffff008b0fe7c: ad8ce097  bl	#0xfffffff008333130
0xfffffff008b0fe80: 17000014  b	#0xfffffff008b0fedc
0xfffffff008b0fe84: 28008052  mov	w8, #1
0xfffffff008b0fe88: 681e0339  strb	w8, [x19, #0xc7]
0xfffffff008b0fe8c: bf8310b8  stur	wzr, [x29, #-0xf8]
0xfffffff008b0fe90: e03eff90  adrp	x0, #0xfffffff0072eb000
0xfffffff008b0fe94: 00543891  add	x0, x0, #0xe15
0xfffffff008b0fe98: a1e303d1  sub	x1, x29, #0xf8
0xfffffff008b0fe9c: 82008052  mov	w2, #4
0xfffffff008b0fea0: 4674e597  bl	#0xfffffff00846cfb8
0xfffffff008b0fea4: c0010034  cbz	w0, #0xfffffff008b0fedc
0xfffffff008b0fea8: a88350b8  ldur	w8, [x29, #-0xf8]
0xfffffff008b0feac: 1f010071  cmp	w8, #0
0xfffffff008b0feb0: e9079f1a  cset	w9, ne
0xfffffff008b0feb4: 691e0339  strb	w9, [x19, #0xc7]
0xfffffff008b0feb8: f92300a9  stp	x25, x8, [sp]
0xfffffff008b0febc: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fec0: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fec4: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fec8: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0fecc: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0fed0: 63443b91  add	x3, x3, #0xed1
0xfffffff008b0fed4: 02008052  mov	w2, #0
0xfffffff008b0fed8: 968ce097  bl	#0xfffffff008333130
0xfffffff008b0fedc: 28008052  mov	w8, #1
0xfffffff008b0fee0: 681a0339  strb	w8, [x19, #0xc6]
0xfffffff008b0fee4: 7f660af9  str	xzr, [x19, #0x14c8]
0xfffffff008b0fee8: 68364239  ldrb	w8, [x19, #0x8d]
0xfffffff008b0feec: 88010034  cbz	w8, #0xfffffff008b0ff1c
0xfffffff008b0fef0: 7f1a0339  strb	wzr, [x19, #0xc6]
0xfffffff008b0fef4: f90300f9  str	x25, [sp]
0xfffffff008b0fef8: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fefc: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0ff00: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0ff04: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0ff08: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0ff0c: 63c03c91  add	x3, x3, #0xf30
