; Candidate 12416
; ADRP+ADD at VM 0xfffffff00909db1c (fileoff 0x2099b1c): page=0x1fe3c4000 add_imm=0xdc1

0xfffffff00909da9c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00909daa0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00909daa4: a10240f9  ldr	x1, [x21]
0xfffffff00909daa8: f7430191  add	x23, sp, #0x50
0xfffffff00909daac: e2430191  add	x2, sp, #0x50
0xfffffff00909dab0: e00316aa  mov	x0, x22
0xfffffff00909dab4: 03048052  mov	w3, #0x20
0xfffffff00909dab8: 2f330094  bl	#0xfffffff0090aa774
0xfffffff00909dabc: 08034039  ldrb	w8, [x24]
0xfffffff00909dac0: 1f790071  cmp	w8, #0x1e
0xfffffff00909dac4: 28030054  b.hi	#0xfffffff00909db28
0xfffffff00909dac8: a80240f9  ldr	x8, [x21]
0xfffffff00909dacc: e8df01a9  stp	x8, x23, [sp, #0x18]
0xfffffff00909dad0: e90314aa  mov	x9, x20
0xfffffff00909dad4: 2a1eff90  adrp	x10, #0xfffffff007461000
0xfffffff00909dad8: 4a053691  add	x10, x10, #0xd81
0xfffffff00909dadc: 0b1eff90  adrp	x11, #0xfffffff00745d000
0xfffffff00909dae0: 6b413c91  add	x11, x11, #0xf10
0xfffffff00909dae4: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff00909dae8: eb0300f9  str	x11, [sp]
0xfffffff00909daec: 201eff90  adrp	x0, #0xfffffff007461000
0xfffffff00909daf0: 008c3791  add	x0, x0, #0xde3
0xfffffff00909daf4: 0c000014  b	#0xfffffff00909db24
0xfffffff00909daf8: 08034039  ldrb	w8, [x24]
0xfffffff00909dafc: 1f790071  cmp	w8, #0x1e
0xfffffff00909db00: 48010054  b.hi	#0xfffffff00909db28
0xfffffff00909db04: 281eff90  adrp	x8, #0xfffffff007461000
0xfffffff00909db08: 08053691  add	x8, x8, #0xd81
0xfffffff00909db0c: 091eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00909db10: 29413c91  add	x9, x9, #0xf10
0xfffffff00909db14: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00909db18: e90300f9  str	x9, [sp]
0xfffffff00909db1c: 201eff90  adrp	x0, #0xfffffff007461000
0xfffffff00909db20: 00043791  add	x0, x0, #0xdc1
0xfffffff00909db24: 3fe5ca97  bl	#0xfffffff008357020
0xfffffff00909db28: 68224039  ldrb	w8, [x19, #8]
0xfffffff00909db2c: 08023036  tbz	w8, #6, #0xfffffff00909db6c
0xfffffff00909db30: 08034039  ldrb	w8, [x24]
0xfffffff00909db34: 1fa10071  cmp	w8, #0x28
0xfffffff00909db38: 48010054  b.hi	#0xfffffff00909db60
0xfffffff00909db3c: 281eff90  adrp	x8, #0xfffffff007461000
0xfffffff00909db40: 08053691  add	x8, x8, #0xd81
0xfffffff00909db44: 091eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00909db48: 29413c91  add	x9, x9, #0xf10
0xfffffff00909db4c: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00909db50: e90300f9  str	x9, [sp]
0xfffffff00909db54: 201eff90  adrp	x0, #0xfffffff007461000
0xfffffff00909db58: 00143891  add	x0, x0, #0xe05
0xfffffff00909db5c: 31e5ca97  bl	#0xfffffff008357020
0xfffffff00909db60: e00313aa  mov	x0, x19
0xfffffff00909db64: cc010094  bl	#0xfffffff00909e294
0xfffffff00909db68: e0120035  cbnz	w0, #0xfffffff00909ddc4
0xfffffff00909db6c: 17008052  mov	w23, #0
0xfffffff00909db70: 48018052  mov	w8, #0xa
0xfffffff00909db74: 09034039  ldrb	w9, [x24]
0xfffffff00909db78: 1f01096b  cmp	w8, w9
0xfffffff00909db7c: 83010054  b.lo	#0xfffffff00909dbac
0xfffffff00909db80: e80317aa  mov	x8, x23
0xfffffff00909db84: 087d4093  sxtw	x8, w8
0xfffffff00909db88: 291eff90  adrp	x9, #0xfffffff007461000
0xfffffff00909db8c: 29053691  add	x9, x9, #0xd81
0xfffffff00909db90: 0a1eff90  adrp	x10, #0xfffffff00745d000
0xfffffff00909db94: 4a413c91  add	x10, x10, #0xf10
0xfffffff00909db98: ea2700a9  stp	x10, x9, [sp]
