; Candidate 7079
; ADRP+ADD at VM 0xfffffff008855d9c (fileoff 0x1851d9c): page=0x1fe994000 add_imm=0xe80

0xfffffff008855d1c: f60300f9  str	x22, [sp]
0xfffffff008855d20: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008855d24: 00003a91  add	x0, x0, #0xe80
0xfffffff008855d28: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008855d2c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855d30: 02008052  mov	w2, #0
0xfffffff008855d34: ff74eb97  bl	#0xfffffff008333130
0xfffffff008855d38: 167d8012  mov	w22, #-0x3e9
0xfffffff008855d3c: 23000014  b	#0xfffffff008855dc8
0xfffffff008855d40: 1b790194  bl	#0xfffffff0088b41ac
0xfffffff008855d44: f70300aa  mov	x23, x0
0xfffffff008855d48: 80008052  mov	w0, #4
0xfffffff008855d4c: c1960094  bl	#0xfffffff00887b850
0xfffffff008855d50: e80316aa  mov	x8, x22
0xfffffff008855d54: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008855d58: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008855d5c: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008855d60: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008855d64: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008855d68: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008855d6c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008855d70: a8df8052  mov	w8, #0x6fd
0xfffffff008855d74: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855d78: 29492791  add	x9, x9, #0x9d2
0xfffffff008855d7c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008855d80: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855d84: 08811191  add	x8, x8, #0x460
0xfffffff008855d88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008855d8c: 880c8052  mov	w8, #0x64
0xfffffff008855d90: e34fffd0  adrp	x3, #0xfffffff007253000
0xfffffff008855d94: 63202e91  add	x3, x3, #0xb88
0xfffffff008855d98: f72300a9  stp	x23, x8, [sp]
0xfffffff008855d9c: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008855da0: 00003a91  add	x0, x0, #0xe80
0xfffffff008855da4: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008855da8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855dac: 02008052  mov	w2, #0
0xfffffff008855db0: e074eb97  bl	#0xfffffff008333130
0xfffffff008855db4: df020071  cmp	w22, #0
0xfffffff008855db8: e2039f5a  csetm	w2, ne
0xfffffff008855dbc: e00314aa  mov	x0, x20
0xfffffff008855dc0: e10315aa  mov	x1, x21
0xfffffff008855dc4: be8cfe97  bl	#0xfffffff0087f90bc
0xfffffff008855dc8: 800c8052  mov	w0, #0x64
0xfffffff008855dcc: e1008052  mov	w1, #7
0xfffffff008855dd0: 80960094  bl	#0xfffffff00887b7d0
0xfffffff008855dd4: 20060034  cbz	w0, #0xfffffff008855e98
0xfffffff008855dd8: 800c8052  mov	w0, #0x64
0xfffffff008855ddc: 8f960094  bl	#0xfffffff00887b818
0xfffffff008855de0: f80300aa  mov	x24, x0
0xfffffff008855de4: f2780194  bl	#0xfffffff0088b41ac
0xfffffff008855de8: f70300aa  mov	x23, x0
0xfffffff008855dec: e0008052  mov	w0, #7
0xfffffff008855df0: 98960094  bl	#0xfffffff00887b850
0xfffffff008855df4: 38020034  cbz	w24, #0xfffffff008855e38
0xfffffff008855df8: e80316aa  mov	x8, x22
0xfffffff008855dfc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008855e00: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008855e04: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008855e08: 884effb0  adrp	x8, #0xfffffff007226000
0xfffffff008855e0c: 08492791  add	x8, x8, #0x9d2
0xfffffff008855e10: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008855e14: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855e18: 08811191  add	x8, x8, #0x460
