; Candidate 4771
; ADRP+ADD at VM 0xfffffff0087c5288 (fileoff 0x17c1288): page=0x1fea24000 add_imm=0xe80

0xfffffff0087c5208: e30319aa  mov	x3, x25
0xfffffff0087c520c: 08d40394  bl	#0xfffffff0088ba22c
0xfffffff0087c5210: 800200b9  str	w0, [x20]
0xfffffff0087c5214: a00f8052  mov	w0, #0x7d
0xfffffff0087c5218: e1008052  mov	w1, #7
0xfffffff0087c521c: 6dd90294  bl	#0xfffffff00887b7d0
0xfffffff0087c5220: 40040034  cbz	w0, #0xfffffff0087c52a8
0xfffffff0087c5224: a00f8052  mov	w0, #0x7d
0xfffffff0087c5228: 7cd90294  bl	#0xfffffff00887b818
0xfffffff0087c522c: fb0300aa  mov	x27, x0
0xfffffff0087c5230: dfbb0394  bl	#0xfffffff0088b41ac
0xfffffff0087c5234: fa0300aa  mov	x26, x0
0xfffffff0087c5238: e0008052  mov	w0, #7
0xfffffff0087c523c: 85d90294  bl	#0xfffffff00887b850
0xfffffff0087c5240: 3b010034  cbz	w27, #0xfffffff0087c5264
0xfffffff0087c5244: f6e701a9  stp	x22, x25, [sp, #0x18]
0xfffffff0087c5248: a80f8052  mov	w8, #0x7d
0xfffffff0087c524c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c5250: fa0300f9  str	x26, [sp]
0xfffffff0087c5254: 4052ff90  adrp	x0, #0xfffffff00720d000
0xfffffff0087c5258: 00641091  add	x0, x0, #0x419
0xfffffff0087c525c: 81c8d797  bl	#0xfffffff007db7460
0xfffffff0087c5260: 12000014  b	#0xfffffff0087c52a8
0xfffffff0087c5264: d2bb0394  bl	#0xfffffff0088b41ac
0xfffffff0087c5268: fa0300aa  mov	x26, x0
0xfffffff0087c526c: e0008052  mov	w0, #7
0xfffffff0087c5270: 78d90294  bl	#0xfffffff00887b850
0xfffffff0087c5274: e80316aa  mov	x8, x22
0xfffffff0087c5278: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff0087c527c: a80f8052  mov	w8, #0x7d
0xfffffff0087c5280: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c5284: fa0300f9  str	x26, [sp]
0xfffffff0087c5288: 2051ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c528c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c5290: 0192fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c5294: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c5298: 8353ffb0  adrp	x3, #0xfffffff007236000
0xfffffff0087c529c: 633c3991  add	x3, x3, #0xe4f
0xfffffff0087c52a0: 02008052  mov	w2, #0
0xfffffff0087c52a4: a3b7ed97  bl	#0xfffffff008333130
0xfffffff0087c52a8: bb1340b9  ldr	w27, [x29, #0x10]
0xfffffff0087c52ac: a00f8052  mov	w0, #0x7d
0xfffffff0087c52b0: e1008052  mov	w1, #7
0xfffffff0087c52b4: 47d90294  bl	#0xfffffff00887b7d0
0xfffffff0087c52b8: a0040034  cbz	w0, #0xfffffff0087c534c
0xfffffff0087c52bc: a00f8052  mov	w0, #0x7d
0xfffffff0087c52c0: 56d90294  bl	#0xfffffff00887b818
0xfffffff0087c52c4: fa0300aa  mov	x26, x0
0xfffffff0087c52c8: b9bb0394  bl	#0xfffffff0088b41ac
0xfffffff0087c52cc: f90300aa  mov	x25, x0
0xfffffff0087c52d0: e0008052  mov	w0, #7
0xfffffff0087c52d4: 5fd90294  bl	#0xfffffff00887b850
0xfffffff0087c52d8: 7a010034  cbz	w26, #0xfffffff0087c5304
0xfffffff0087c52dc: 890240b9  ldr	w9, [x20]
0xfffffff0087c52e0: e80316aa  mov	x8, x22
0xfffffff0087c52e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c52e8: a80f8052  mov	w8, #0x7d
0xfffffff0087c52ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c52f0: f90300f9  str	x25, [sp]
0xfffffff0087c52f4: 4052ff90  adrp	x0, #0xfffffff00720d000
0xfffffff0087c52f8: 00800e91  add	x0, x0, #0x3a0
0xfffffff0087c52fc: 59c8d797  bl	#0xfffffff007db7460
0xfffffff0087c5300: 13000014  b	#0xfffffff0087c534c
0xfffffff0087c5304: aabb0394  bl	#0xfffffff0088b41ac
