; Candidate 4444
; ADRP+ADD at VM 0xfffffff0087b24c4 (fileoff 0x17ae4c4): page=0x1fe97f000 add_imm=0xd90

0xfffffff0087b2444: 00603c91  add	x0, x0, #0xf18
0xfffffff0087b2448: 01c08252  mov	w1, #0x1600
0xfffffff0087b244c: 2100a072  movk	w1, #1, lsl #16
0xfffffff0087b2450: 6092ee97  bl	#0xfffffff008356dd0
0xfffffff0087b2454: 60b606f9  str	x0, [x19, #0xd68]
0xfffffff0087b2458: 000300b4  cbz	x0, #0xfffffff0087b24b8
0xfffffff0087b245c: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b2460: 00a03d91  add	x0, x0, #0xf68
0xfffffff0087b2464: 01808b52  mov	w1, #0x5c00
0xfffffff0087b2468: 4100a072  movk	w1, #2, lsl #16
0xfffffff0087b246c: 5992ee97  bl	#0xfffffff008356dd0
0xfffffff0087b2470: 60ba06f9  str	x0, [x19, #0xd70]
0xfffffff0087b2474: a00300b4  cbz	x0, #0xfffffff0087b24e8
0xfffffff0087b2478: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b247c: 00e03e91  add	x0, x0, #0xfb8
0xfffffff0087b2480: 01588452  mov	w1, #0x22c0
0xfffffff0087b2484: c101a072  movk	w1, #0xe, lsl #16
0xfffffff0087b2488: 5292ee97  bl	#0xfffffff008356dd0
0xfffffff0087b248c: 60be06f9  str	x0, [x19, #0xd78]
0xfffffff0087b2490: 400400b4  cbz	x0, #0xfffffff0087b2518
0xfffffff0087b2494: a092ffd0  adrp	x0, #0xfffffff007a08000
0xfffffff0087b2498: 00200091  add	x0, x0, #8
0xfffffff0087b249c: 01a08852  mov	w1, #0x4500
0xfffffff0087b24a0: c10fa072  movk	w1, #0x7e, lsl #16
0xfffffff0087b24a4: 4b92ee97  bl	#0xfffffff008356dd0
0xfffffff0087b24a8: 60c206f9  str	x0, [x19, #0xd80]
0xfffffff0087b24ac: e00400b4  cbz	x0, #0xfffffff0087b2548
0xfffffff0087b24b0: 00008052  mov	w0, #0
0xfffffff0087b24b4: 31000014  b	#0xfffffff0087b2578
0xfffffff0087b24b8: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b24bc: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b24c0: e80300f9  str	x8, [sp]
0xfffffff0087b24c4: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b24c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b24cc: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b24d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b24d4: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b24d8: 63803091  add	x3, x3, #0xc20
0xfffffff0087b24dc: 02008052  mov	w2, #0
0xfffffff0087b24e0: 1403ee97  bl	#0xfffffff008333130
0xfffffff0087b24e4: 24000014  b	#0xfffffff0087b2574
0xfffffff0087b24e8: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b24ec: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b24f0: e80300f9  str	x8, [sp]
0xfffffff0087b24f4: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b24f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b24fc: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2500: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2504: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2508: 63883191  add	x3, x3, #0xc62
0xfffffff0087b250c: 02008052  mov	w2, #0
0xfffffff0087b2510: 0803ee97  bl	#0xfffffff008333130
0xfffffff0087b2514: 18000014  b	#0xfffffff0087b2574
0xfffffff0087b2518: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b251c: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b2520: e80300f9  str	x8, [sp]
0xfffffff0087b2524: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2528: 00403691  add	x0, x0, #0xd90
0xfffffff0087b252c: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2530: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2534: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2538: 63903291  add	x3, x3, #0xca4
0xfffffff0087b253c: 02008052  mov	w2, #0
0xfffffff0087b2540: fc02ee97  bl	#0xfffffff008333130
