; Candidate 5359
; ADRP+ADD at VM 0xfffffff0087eb270 (fileoff 0x17e7270): page=0x1fe9fe000 add_imm=0xe80

0xfffffff0087eb1f0: 001c0d91  add	x0, x0, #0x347
0xfffffff0087eb1f4: 09000014  b	#0xfffffff0087eb218
0xfffffff0087eb1f8: 60030034  cbz	w0, #0xfffffff0087eb264
0xfffffff0087eb1fc: e8031b4b  neg	w8, w27
0xfffffff0087eb200: 28032837  tbnz	w8, #5, #0xfffffff0087eb264
0xfffffff0087eb204: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eb208: 08b14db9  ldr	w8, [x8, #0xdb0]
0xfffffff0087eb20c: e80300f9  str	x8, [sp]
0xfffffff0087eb210: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087eb214: 00d00c91  add	x0, x0, #0x334
0xfffffff0087eb218: 9230d797  bl	#0xfffffff007db7460
0xfffffff0087eb21c: 1d000014  b	#0xfffffff0087eb290
0xfffffff0087eb220: e3230394  bl	#0xfffffff0088b41ac
0xfffffff0087eb224: f60300aa  mov	x22, x0
0xfffffff0087eb228: e00314aa  mov	x0, x20
0xfffffff0087eb22c: 89410294  bl	#0xfffffff00887b850
0xfffffff0087eb230: e8b24db9  ldr	w8, [x23, #0xdb0]
0xfffffff0087eb234: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eb238: e80313aa  mov	x8, x19
0xfffffff0087eb23c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087eb240: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eb244: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eb248: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eb24c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eb250: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eb254: 63302f91  add	x3, x3, #0xbcc
0xfffffff0087eb258: 02008052  mov	w2, #0
0xfffffff0087eb25c: b51fed97  bl	#0xfffffff008333130
0xfffffff0087eb260: 0c000014  b	#0xfffffff0087eb290
0xfffffff0087eb264: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eb268: 08b14db9  ldr	w8, [x8, #0xdb0]
0xfffffff0087eb26c: e80300f9  str	x8, [sp]
0xfffffff0087eb270: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eb274: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eb278: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eb27c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eb280: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eb284: 63e82e91  add	x3, x3, #0xbba
0xfffffff0087eb288: 02008052  mov	w2, #0
0xfffffff0087eb28c: a91fed97  bl	#0xfffffff008333130
0xfffffff0087eb290: e00313aa  mov	x0, x19
0xfffffff0087eb294: e10314aa  mov	x1, x20
0xfffffff0087eb298: 4e410294  bl	#0xfffffff00887b7d0
0xfffffff0087eb29c: 40070034  cbz	w0, #0xfffffff0087eb384
0xfffffff0087eb2a0: e00313aa  mov	x0, x19
0xfffffff0087eb2a4: 5d410294  bl	#0xfffffff00887b818
0xfffffff0087eb2a8: 3b02f837  tbnz	w27, #0x1f, #0xfffffff0087eb2ec
0xfffffff0087eb2ac: 77031b12  and	w23, w27, #0x20
0xfffffff0087eb2b0: 18000052  eor	w24, w0, #1
0xfffffff0087eb2b4: be230394  bl	#0xfffffff0088b41ac
0xfffffff0087eb2b8: f60300aa  mov	x22, x0
0xfffffff0087eb2bc: e00314aa  mov	x0, x20
0xfffffff0087eb2c0: 64410294  bl	#0xfffffff00887b850
0xfffffff0087eb2c4: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff0087eb2c8: 77d700f0  adrp	x23, #0xfffffff00a2da000
0xfffffff0087eb2cc: 48020037  tbnz	w8, #0, #0xfffffff0087eb314
0xfffffff0087eb2d0: e8b64db9  ldr	w8, [x23, #0xdb4]
0xfffffff0087eb2d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eb2d8: e80313aa  mov	x8, x19
0xfffffff0087eb2dc: f62300a9  stp	x22, x8, [sp]
0xfffffff0087eb2e0: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087eb2e4: 00e40d91  add	x0, x0, #0x379
0xfffffff0087eb2e8: 09000014  b	#0xfffffff0087eb30c
0xfffffff0087eb2ec: 60030034  cbz	w0, #0xfffffff0087eb358
