; Candidate 8586
; ADRP+ADD at VM 0xfffffff0088b37b4 (fileoff 0x18af7b4): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3734: c1008052  mov	w1, #6
0xfffffff0088b3738: 2620ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b373c: c0040034  cbz	w0, #0xfffffff0088b37d4
0xfffffff0088b3740: 800d8052  mov	w0, #0x6c
0xfffffff0088b3744: 3520ff97  bl	#0xfffffff00887b818
0xfffffff0088b3748: f50300aa  mov	x21, x0
0xfffffff0088b374c: 98020094  bl	#0xfffffff0088b41ac
0xfffffff0088b3750: f40300aa  mov	x20, x0
0xfffffff0088b3754: c0008052  mov	w0, #6
0xfffffff0088b3758: 3e20ff97  bl	#0xfffffff00887b850
0xfffffff0088b375c: 75010034  cbz	w21, #0xfffffff0088b3788
0xfffffff0088b3760: ff4f02a9  stp	xzr, x19, [sp, #0x20]
0xfffffff0088b3764: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3768: 08450891  add	x8, x8, #0x211
0xfffffff0088b376c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3770: 880d8052  mov	w8, #0x6c
0xfffffff0088b3774: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b3778: 004bffd0  adrp	x0, #0xfffffff007215000
0xfffffff0088b377c: 00a81591  add	x0, x0, #0x56a
0xfffffff0088b3780: 380fd497  bl	#0xfffffff007db7460
0xfffffff0088b3784: 14000014  b	#0xfffffff0088b37d4
0xfffffff0088b3788: 89020094  bl	#0xfffffff0088b41ac
0xfffffff0088b378c: f40300aa  mov	x20, x0
0xfffffff0088b3790: c0008052  mov	w0, #6
0xfffffff0088b3794: 2f20ff97  bl	#0xfffffff00887b850
0xfffffff0088b3798: e80313aa  mov	x8, x19
0xfffffff0088b379c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff0088b37a0: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b37a4: 08450891  add	x8, x8, #0x211
0xfffffff0088b37a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b37ac: 880d8052  mov	w8, #0x6c
0xfffffff0088b37b0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b37b4: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b37b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b37bc: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b37c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b37c4: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b37c8: 635c3c91  add	x3, x3, #0xf17
0xfffffff0088b37cc: 02008052  mov	w2, #0
0xfffffff0088b37d0: 58fee997  bl	#0xfffffff008333130
0xfffffff0088b37d4: e00313aa  mov	x0, x19
0xfffffff0088b37d8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088b37dc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088b37e0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088b37e4: ff830191  add	sp, sp, #0x60
0xfffffff0088b37e8: ff0f5fd6  retab	
0xfffffff0088b37ec: 7f2303d5  pacibsp	
0xfffffff0088b37f0: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088b37f4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088b37f8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088b37fc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088b3800: fd830191  add	x29, sp, #0x60
0xfffffff0088b3804: f40301aa  mov	x20, x1
0xfffffff0088b3808: f30300aa  mov	x19, x0
0xfffffff0088b380c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3810: e1008052  mov	w1, #7
0xfffffff0088b3814: ef1fff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3818: 40020034  cbz	w0, #0xfffffff0088b3860
0xfffffff0088b381c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3820: fe1fff97  bl	#0xfffffff00887b818
0xfffffff0088b3824: f60300aa  mov	x22, x0
0xfffffff0088b3828: 61020094  bl	#0xfffffff0088b41ac
0xfffffff0088b382c: f50300aa  mov	x21, x0
0xfffffff0088b3830: e0008052  mov	w0, #7
