; Candidate 2773
; ADRP+ADD at VM 0xfffffff0086e7860 (fileoff 0x16e3860): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e77e0: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e77e4: 02008052  mov	w2, #0
0xfffffff0086e77e8: 522ef197  bl	#0xfffffff008333130
0xfffffff0086e77ec: 69224529  ldp	w9, w8, [x19, #0x28]
0xfffffff0086e77f0: 1f1d0071  cmp	w8, #7
0xfffffff0086e77f4: a8040054  b.hi	#0xfffffff0086e7888
0xfffffff0086e77f8: 0a008052  mov	w10, #0
0xfffffff0086e77fc: 17008052  mov	w23, #0
0xfffffff0086e7800: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e7804: 8b008052  mov	w11, #4
0xfffffff0086e7808: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e780c: f75e1853  lsl	w23, w23, #8
0xfffffff0086e7810: bf010ceb  cmp	x13, x12
0xfffffff0086e7814: 02010054  b.hs	#0xfffffff0086e7834
0xfffffff0086e7818: 4a210011  add	w10, w10, #8
0xfffffff0086e781c: 6a2e00b9  str	w10, [x19, #0x2c]
0xfffffff0086e7820: ae050091  add	x14, x13, #1
0xfffffff0086e7824: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e7828: ad014039  ldrb	w13, [x13]
0xfffffff0086e782c: f7020d2a  orr	w23, w23, w13
0xfffffff0086e7830: ed030eaa  mov	x13, x14
0xfffffff0086e7834: 6b050071  subs	w11, w11, #1
0xfffffff0086e7838: a1feff54  b.ne	#0xfffffff0086e780c
0xfffffff0086e783c: 0b018052  mov	w11, #8
0xfffffff0086e7840: 7801084b  sub	w24, w11, w8
0xfffffff0086e7844: e803084b  neg	w8, w8
0xfffffff0086e7848: 2825c81a  lsr	w8, w9, w8
0xfffffff0086e784c: 1921d81a  lsl	w25, w8, w24
0xfffffff0086e7850: 68ce5eb9  ldr	w8, [x19, #0x1ecc]
0xfffffff0086e7854: 1f01146a  tst	w8, w20
0xfffffff0086e7858: e0010054  b.eq	#0xfffffff0086e7894
0xfffffff0086e785c: f72b00a9  stp	x23, x10, [sp]
0xfffffff0086e7860: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7864: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7868: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e786c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7870: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7874: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7878: 02008052  mov	w2, #0
0xfffffff0086e787c: 2d2ef197  bl	#0xfffffff008333130
0xfffffff0086e7880: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7884: 05000014  b	#0xfffffff0086e7898
0xfffffff0086e7888: 19008052  mov	w25, #0
0xfffffff0086e788c: 18018052  mov	w24, #8
0xfffffff0086e7890: 03000014  b	#0xfffffff0086e789c
0xfffffff0086e7894: e8030aaa  mov	x8, x10
0xfffffff0086e7898: e90317aa  mov	x9, x23
0xfffffff0086e789c: ea03184b  neg	w10, w24
0xfffffff0086e78a0: 2a25ca1a  lsr	w10, w9, w10
0xfffffff0086e78a4: 5701192a  orr	w23, w10, w25
0xfffffff0086e78a8: 2921d81a  lsl	w9, w9, w24
0xfffffff0086e78ac: 0801184b  sub	w8, w8, w24
0xfffffff0086e78b0: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e78b4: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e78b8: 3f01146a  tst	w9, w20
0xfffffff0086e78bc: c0010054  b.eq	#0xfffffff0086e78f4
0xfffffff0086e78c0: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086e78c4: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e78c8: 08c50c91  add	x8, x8, #0x331
0xfffffff0086e78cc: 09018052  mov	w9, #8
0xfffffff0086e78d0: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e78d4: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e78d8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e78dc: a198ffd0  adrp	x1, #0xfffffff0079fd000
