; Candidate 12808
; ADRP+ADD at VM 0xfffffff00915df54 (fileoff 0x2159f54): page=0x1fe32d000 add_imm=0xdd4

0xfffffff00915ded4: e00313aa  mov	x0, x19
0xfffffff00915ded8: e10314aa  mov	x1, x20
0xfffffff00915dedc: e20316aa  mov	x2, x22
0xfffffff00915dee0: e30315aa  mov	x3, x21
0xfffffff00915dee4: f10309aa  mov	x17, x9
0xfffffff00915dee8: b19eebf2  movk	x17, #0x5cf5, lsl #48
0xfffffff00915deec: 11093fd7  blraa	x8, x17
0xfffffff00915def0: 80000036  tbz	w0, #0, #0xfffffff00915df00
0xfffffff00915def4: 7fd20da9  stp	xzr, x20, [x19, #0xd8]
0xfffffff00915def8: 20008052  mov	w0, #1
0xfffffff00915defc: 3b000014  b	#0xfffffff00915dfe8
0xfffffff00915df00: 607a40f9  ldr	x0, [x19, #0xf0]
0xfffffff00915df04: 600100b4  cbz	x0, #0xfffffff00915df30
0xfffffff00915df08: 100040f9  ldr	x16, [x0]
0xfffffff00915df0c: f10300aa  mov	x17, x0
0xfffffff00915df10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915df14: 301ac1da  autda	x16, x17
0xfffffff00915df18: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00915df1c: e90310aa  mov	x9, x16
0xfffffff00915df20: f10309aa  mov	x17, x9
0xfffffff00915df24: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00915df28: 11093fd7  blraa	x8, x17
0xfffffff00915df2c: 7f7a00f9  str	xzr, [x19, #0xf0]
0xfffffff00915df30: 28034039  ldrb	w8, [x25]
0xfffffff00915df34: 48040036  tbz	w8, #0, #0xfffffff00915dfbc
0xfffffff00915df38: c88d0090  adrp	x8, #0xfffffff00a315000
0xfffffff00915df3c: 08611e91  add	x8, x8, #0x798
0xfffffff00915df40: 08014039  ldrb	w8, [x8]
0xfffffff00915df44: 08030034  cbz	w8, #0xfffffff00915dfa4
0xfffffff00915df48: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df4c: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df50: e80300f9  str	x8, [sp]
0xfffffff00915df54: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df58: 00503791  add	x0, x0, #0xdd4
0xfffffff00915df5c: 4165b197  bl	#0xfffffff007db7460
0xfffffff00915df60: 17000014  b	#0xfffffff00915dfbc
0xfffffff00915df64: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df68: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df6c: e80300f9  str	x8, [sp]
0xfffffff00915df70: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df74: 00703491  add	x0, x0, #0xd1c
0xfffffff00915df78: 7645cc97  bl	#0xfffffff00846f550
0xfffffff00915df7c: 68024039  ldrb	w8, [x19]
0xfffffff00915df80: 28030836  tbz	w8, #1, #0xfffffff00915dfe4
0xfffffff00915df84: c6bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915df88: 00030034  cbz	w0, #0xfffffff00915dfe8
0xfffffff00915df8c: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df90: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df94: e80300f9  str	x8, [sp]
0xfffffff00915df98: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df9c: 00703491  add	x0, x0, #0xd1c
0xfffffff00915dfa0: 10000014  b	#0xfffffff00915dfe0
0xfffffff00915dfa4: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915dfa8: 085d3591  add	x8, x8, #0xd57
0xfffffff00915dfac: e80300f9  str	x8, [sp]
0xfffffff00915dfb0: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915dfb4: 00503791  add	x0, x0, #0xdd4
0xfffffff00915dfb8: 6645cc97  bl	#0xfffffff00846f550
0xfffffff00915dfbc: 28034039  ldrb	w8, [x25]
0xfffffff00915dfc0: 28010836  tbz	w8, #1, #0xfffffff00915dfe4
0xfffffff00915dfc4: b6bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915dfc8: 00010034  cbz	w0, #0xfffffff00915dfe8
0xfffffff00915dfcc: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915dfd0: 085d3591  add	x8, x8, #0xd57
