; Candidate 3778
; ADRP+ADD at VM 0xfffffff00875ba78 (fileoff 0x1757a78): page=0x1fe9d6000 add_imm=0xd90

0xfffffff00875b9f8: e85700a9  stp	x8, x21, [sp]
0xfffffff00875b9fc: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba00: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba04: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba0c: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba10: 63e83791  add	x3, x3, #0xdfa
0xfffffff00875ba14: 02008052  mov	w2, #0
0xfffffff00875ba18: c65def97  bl	#0xfffffff008333130
0xfffffff00875ba1c: 800240f9  ldr	x0, [x20]
0xfffffff00875ba20: e1730091  add	x1, sp, #0x1c
0xfffffff00875ba24: e20315aa  mov	x2, x21
0xfffffff00875ba28: fc6bfd97  bl	#0xfffffff0086b6a18
0xfffffff00875ba2c: 80030034  cbz	w0, #0xfffffff00875ba9c
0xfffffff00875ba30: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875ba34: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875ba38: e80300f9  str	x8, [sp]
0xfffffff00875ba3c: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba40: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba44: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba4c: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba50: 63003991  add	x3, x3, #0xe40
0xfffffff00875ba54: 02008052  mov	w2, #0
0xfffffff00875ba58: b65def97  bl	#0xfffffff008333130
0xfffffff00875ba5c: 14008052  mov	w20, #0
0xfffffff00875ba60: 87ffff17  b	#0xfffffff00875b87c
0xfffffff00875ba64: 94578052  mov	w20, #0x2bc
0xfffffff00875ba68: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00875ba6c: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875ba70: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875ba74: e80300f9  str	x8, [sp]
0xfffffff00875ba78: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba7c: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba80: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba88: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba8c: 633c3791  add	x3, x3, #0xdcf
0xfffffff00875ba90: 02008052  mov	w2, #0
0xfffffff00875ba94: a75def97  bl	#0xfffffff008333130
0xfffffff00875ba98: c7ffff17  b	#0xfffffff00875b9b4
0xfffffff00875ba9c: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00875baa0: 684a00b9  str	w8, [x19, #0x48]
0xfffffff00875baa4: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875baa8: 776bfd97  bl	#0xfffffff0086b6884
0xfffffff00875baac: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875bab0: b06bfd97  bl	#0xfffffff0086b6970
0xfffffff00875bab4: f40300aa  mov	x20, x0
0xfffffff00875bab8: bfffff17  b	#0xfffffff00875b9b4
0xfffffff00875babc: 7f2303d5  pacibsp	
0xfffffff00875bac0: ffc300d1  sub	sp, sp, #0x30
0xfffffff00875bac4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00875bac8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00875bacc: fd830091  add	x29, sp, #0x20
0xfffffff00875bad0: 93578052  mov	w19, #0x2bc
0xfffffff00875bad4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00875bad8: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff00875badc: e80400b4  cbz	x8, #0xfffffff00875bb78
0xfffffff00875bae0: f40300aa  mov	x20, x0
0xfffffff00875bae4: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff00875bae8: 800400b4  cbz	x0, #0xfffffff00875bb78
0xfffffff00875baec: 88324139  ldrb	w8, [x20, #0x4c]
0xfffffff00875baf0: 48040034  cbz	w8, #0xfffffff00875bb78
0xfffffff00875baf4: 21008052  mov	w1, #1
