; Candidate 13842
; ADRP+ADD at VM 0xfffffff0095af2c4 (fileoff 0x25ab2c4): page=0x1fe64e000 add_imm=0xd10

0xfffffff0095af244: a2fdfeb0  adrp	x2, #0xfffffff007564000
0xfffffff0095af248: 42d01391  add	x2, x2, #0x4f4
0xfffffff0095af24c: e0430091  add	x0, sp, #0x10
0xfffffff0095af250: 21028052  mov	w1, #0x11
0xfffffff0095af254: c22eb197  bl	#0xfffffff0081fad5c
0xfffffff0095af258: 700240f9  ldr	x16, [x19]
0xfffffff0095af25c: f10313aa  mov	x17, x19
0xfffffff0095af260: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095af264: 301ac1da  autda	x16, x17
0xfffffff0095af268: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff0095af26c: e90310aa  mov	x9, x16
0xfffffff0095af270: a1fdfeb0  adrp	x1, #0xfffffff007564000
0xfffffff0095af274: 21241491  add	x1, x1, #0x509
0xfffffff0095af278: e2430091  add	x2, sp, #0x10
0xfffffff0095af27c: e00313aa  mov	x0, x19
0xfffffff0095af280: f10309aa  mov	x17, x9
0xfffffff0095af284: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff0095af288: 11093fd7  blraa	x8, x17
0xfffffff0095af28c: 28008052  mov	w8, #1
0xfffffff0095af290: 68ba01b9  str	w8, [x19, #0x1b8]
0xfffffff0095af294: 6032ffd0  adrp	x0, #0xfffffff007bfd000
0xfffffff0095af298: 00003391  add	x0, x0, #0xcc0
0xfffffff0095af29c: 01018052  mov	w1, #8
0xfffffff0095af2a0: cc9eb697  bl	#0xfffffff008356dd0
0xfffffff0095af2a4: 608e00f9  str	x0, [x19, #0x118]
0xfffffff0095af2a8: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af2ac: 00f57ed3  lsl	x0, x8, #2
0xfffffff0095af2b0: a19eb697  bl	#0xfffffff008356d34
0xfffffff0095af2b4: 609200f9  str	x0, [x19, #0x120]
0xfffffff0095af2b8: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af2bc: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff0095af2c0: 01f17dd3  lsl	x1, x8, #3
0xfffffff0095af2c4: 6032ffd0  adrp	x0, #0xfffffff007bfd000
0xfffffff0095af2c8: 00403491  add	x0, x0, #0xd10
0xfffffff0095af2cc: c19eb697  bl	#0xfffffff008356dd0
0xfffffff0095af2d0: 609a00f9  str	x0, [x19, #0x130]
0xfffffff0095af2d4: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af2d8: 00f97fd3  lsl	x0, x8, #1
0xfffffff0095af2dc: 969eb697  bl	#0xfffffff008356d34
0xfffffff0095af2e0: 609e00f9  str	x0, [x19, #0x138]
0xfffffff0095af2e4: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af2e8: 00f17dd3  lsl	x0, x8, #3
0xfffffff0095af2ec: 929eb697  bl	#0xfffffff008356d34
0xfffffff0095af2f0: 60b600f9  str	x0, [x19, #0x168]
0xfffffff0095af2f4: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af2f8: 00f57ed3  lsl	x0, x8, #2
0xfffffff0095af2fc: 8e9eb697  bl	#0xfffffff008356d34
0xfffffff0095af300: 607e00f9  str	x0, [x19, #0xf8]
0xfffffff0095af304: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af308: 00f57ed3  lsl	x0, x8, #2
0xfffffff0095af30c: 8a9eb697  bl	#0xfffffff008356d34
0xfffffff0095af310: 608200f9  str	x0, [x19, #0x100]
0xfffffff0095af314: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af318: 01e57ad3  lsl	x1, x8, #6
0xfffffff0095af31c: 6032ffd0  adrp	x0, #0xfffffff007bfd000
0xfffffff0095af320: 00803591  add	x0, x0, #0xd60
0xfffffff0095af324: ab9eb697  bl	#0xfffffff008356dd0
0xfffffff0095af328: 60ba00f9  str	x0, [x19, #0x170]
0xfffffff0095af32c: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af330: 00f57ed3  lsl	x0, x8, #2
0xfffffff0095af334: 809eb697  bl	#0xfffffff008356d34
0xfffffff0095af338: 60be00f9  str	x0, [x19, #0x178]
0xfffffff0095af33c: 68ba41b9  ldr	w8, [x19, #0x1b8]
0xfffffff0095af340: 01ed7cd3  lsl	x1, x8, #4
