; Candidate 4580
; ADRP+ADD at VM 0xfffffff0087bc570 (fileoff 0x17b8570): page=0x1fe975000 add_imm=0xd90

0xfffffff0087bc4f0: 28910591  add	x8, x9, #0x164
0xfffffff0087bc4f4: 000140fd  ldr	d0, [x8]
0xfffffff0087bc4f8: 600d00fd  str	d0, [x11, #0x18]
0xfffffff0087bc4fc: 56ffff17  b	#0xfffffff0087bc254
0xfffffff0087bc500: 7f2303d5  pacibsp	
0xfffffff0087bc504: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087bc508: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087bc50c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087bc510: fd830091  add	x29, sp, #0x20
0xfffffff0087bc514: f30300aa  mov	x19, x0
0xfffffff0087bc518: a14cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087bc51c: 21201091  add	x1, x1, #0x408
0xfffffff0087bc520: 22008052  mov	w2, #1
0xfffffff0087bc524: 67fbff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc528: a0000034  cbz	w0, #0xfffffff0087bc53c
0xfffffff0087bc52c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bc530: 89008052  mov	w9, #4
0xfffffff0087bc534: 09210639  strb	w9, [x8, #0x188]
0xfffffff0087bc538: 16000014  b	#0xfffffff0087bc590
0xfffffff0087bc53c: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc540: 21143091  add	x1, x1, #0xc05
0xfffffff0087bc544: e00313aa  mov	x0, x19
0xfffffff0087bc548: 42008052  mov	w2, #2
0xfffffff0087bc54c: 5dfbff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc550: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bc554: 00210639  strb	w0, [x8, #0x188]
0xfffffff0087bc558: 1f141e72  tst	w0, #0xfc
0xfffffff0087bc55c: a0010054  b.eq	#0xfffffff0087bc590
0xfffffff0087bc560: 081c0012  and	w8, w0, #0xff
0xfffffff0087bc564: 094dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bc568: 29693091  add	x9, x9, #0xc1a
0xfffffff0087bc56c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bc570: a04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087bc574: 00403691  add	x0, x0, #0xd90
0xfffffff0087bc578: 0192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bc57c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bc580: 834cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bc584: 630c1991  add	x3, x3, #0x643
0xfffffff0087bc588: 02008052  mov	w2, #0
0xfffffff0087bc58c: e9daed97  bl	#0xfffffff008333130
0xfffffff0087bc590: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087bc594: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087bc598: ffc30091  add	sp, sp, #0x30
0xfffffff0087bc59c: ff0f5fd6  retab	
0xfffffff0087bc5a0: 5f2403d5  bti	c
0xfffffff0087bc5a4: 083040f9  ldr	x8, [x0, #0x60]
0xfffffff0087bc5a8: 09fd42b9  ldr	w9, [x8, #0x2fc]
0xfffffff0087bc5ac: 3f050071  cmp	w9, #1
0xfffffff0087bc5b0: 61000054  b.ne	#0xfffffff0087bc5bc
0xfffffff0087bc5b4: 20008052  mov	w0, #1
0xfffffff0087bc5b8: c0035fd6  ret	
0xfffffff0087bc5bc: 090d43b9  ldr	w9, [x8, #0x30c]
0xfffffff0087bc5c0: 0a7941b9  ldr	w10, [x8, #0x178]
0xfffffff0087bc5c4: 086d41b9  ldr	w8, [x8, #0x16c]
0xfffffff0087bc5c8: 5f01086b  cmp	w10, w8
0xfffffff0087bc5cc: e8079f1a  cset	w8, ne
0xfffffff0087bc5d0: 0a088052  mov	w10, #0x40
0xfffffff0087bc5d4: 4821c81a  lsl	w8, w10, w8
0xfffffff0087bc5d8: 1f09096b  cmp	w8, w9, lsl #2
0xfffffff0087bc5dc: e0c79f1a  cset	w0, le
0xfffffff0087bc5e0: c0035fd6  ret	
0xfffffff0087bc5e4: 7f2303d5  pacibsp	
0xfffffff0087bc5e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087bc5ec: f44f01a9  stp	x20, x19, [sp, #0x10]
