; Candidate 9411
; ADRP+ADD at VM 0xfffffff008a3f720 (fileoff 0x1a3b720): page=0x1fe85c000 add_imm=0xd89

0xfffffff008a3f6a0: 29512791  add	x9, x9, #0x9d4
0xfffffff008a3f6a4: ea42ff90  adrp	x10, #0xfffffff00729b000
0xfffffff008a3f6a8: 4add3591  add	x10, x10, #0xd77
0xfffffff008a3f6ac: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008a3f6b0: e02b00a9  stp	x0, x10, [sp]
0xfffffff008a3f6b4: e042ff90  adrp	x0, #0xfffffff00729b000
0xfffffff008a3f6b8: 00b43691  add	x0, x0, #0xdad
0xfffffff008a3f6bc: 9453e997  bl	#0xfffffff00849450c
0xfffffff008a3f6c0: 7f2303d5  pacibsp	
0xfffffff008a3f6c4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008a3f6c8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008a3f6cc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008a3f6d0: fdc30091  add	x29, sp, #0x30
0xfffffff008a3f6d4: f30301aa  mov	x19, x1
0xfffffff008a3f6d8: 100040f9  ldr	x16, [x0]
0xfffffff008a3f6dc: f10300aa  mov	x17, x0
0xfffffff008a3f6e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3f6e4: 301ac1da  autda	x16, x17
0xfffffff008a3f6e8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3f6ec: 1002118b  add	x16, x16, x17
0xfffffff008a3f6f0: 080240f9  ldr	x8, [x16]
0xfffffff008a3f6f4: e90310aa  mov	x9, x16
0xfffffff008a3f6f8: 010080d2  mov	x1, #0
0xfffffff008a3f6fc: f10309aa  mov	x17, x9
0xfffffff008a3f700: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3f704: 11093fd7  blraa	x8, x17
0xfffffff008a3f708: 680240b9  ldr	w8, [x19]
0xfffffff008a3f70c: 69958052  mov	w9, #0x4ab
0xfffffff008a3f710: ea42ff90  adrp	x10, #0xfffffff00729b000
0xfffffff008a3f714: 4a512791  add	x10, x10, #0x9d4
0xfffffff008a3f718: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008a3f71c: e02300a9  stp	x0, x8, [sp]
0xfffffff008a3f720: e042ff90  adrp	x0, #0xfffffff00729b000
0xfffffff008a3f724: 00243691  add	x0, x0, #0xd89
0xfffffff008a3f728: 7953e997  bl	#0xfffffff00849450c
0xfffffff008a3f72c: 7f2303d5  pacibsp	
0xfffffff008a3f730: ff4301d1  sub	sp, sp, #0x50
0xfffffff008a3f734: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008a3f738: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008a3f73c: fd030191  add	x29, sp, #0x40
0xfffffff008a3f740: f30302aa  mov	x19, x2
0xfffffff008a3f744: f40301aa  mov	x20, x1
0xfffffff008a3f748: 100040f9  ldr	x16, [x0]
0xfffffff008a3f74c: f10300aa  mov	x17, x0
0xfffffff008a3f750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3f754: 301ac1da  autda	x16, x17
0xfffffff008a3f758: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3f75c: 1002118b  add	x16, x16, x17
0xfffffff008a3f760: 080240f9  ldr	x8, [x16]
0xfffffff008a3f764: e90310aa  mov	x9, x16
0xfffffff008a3f768: 010080d2  mov	x1, #0
0xfffffff008a3f76c: f10309aa  mov	x17, x9
0xfffffff008a3f770: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3f774: 11093fd7  blraa	x8, x17
0xfffffff008a3f778: 49f78052  mov	w9, #0x7ba
0xfffffff008a3f77c: e842ff90  adrp	x8, #0xfffffff00729b000
0xfffffff008a3f780: 08512791  add	x8, x8, #0x9d4
0xfffffff008a3f784: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008a3f788: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff008a3f78c: e00300f9  str	x0, [sp]
0xfffffff008a3f790: e042ff90  adrp	x0, #0xfffffff00729b000
0xfffffff008a3f794: 00d03e91  add	x0, x0, #0xfb4
0xfffffff008a3f798: 5d53e997  bl	#0xfffffff00849450c
0xfffffff008a3f79c: 7f2303d5  pacibsp	
