; Candidate 2169
; ADRP+ADD at VM 0xfffffff008594b00 (fileoff 0x1590b00): page=0x1d42000 add_imm=0xe18

0xfffffff008594a80: 28000039  strb	w8, [x1]
0xfffffff008594a84: 00008052  mov	w0, #0
0xfffffff008594a88: c0035fd6  ret	
0xfffffff008594a8c: 5f2403d5  bti	c
0xfffffff008594a90: 1f040139  strb	wzr, [x0, #0x41]
0xfffffff008594a94: c0035fd6  ret	
0xfffffff008594a98: 5f2403d5  bti	c
0xfffffff008594a9c: 00008052  mov	w0, #0
0xfffffff008594aa0: c0035fd6  ret	
0xfffffff008594aa4: 5f2403d5  bti	c
0xfffffff008594aa8: 133ff517  b	#0xfffffff0082e46f4
0xfffffff008594aac: 7f2303d5  pacibsp	
0xfffffff008594ab0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008594ab4: fd030091  mov	x29, sp
0xfffffff008594ab8: 00ea00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008594abc: 00603891  add	x0, x0, #0xe18
0xfffffff008594ac0: c15aff90  adrp	x1, #0xfffffff0070ec000
0xfffffff008594ac4: 21d00791  add	x1, x1, #0x1f4
0xfffffff008594ac8: a2a0ff90  adrp	x2, #0xfffffff0079a8000
0xfffffff008594acc: 42d445f9  ldr	x2, [x2, #0xba8]
0xfffffff008594ad0: 030e8052  mov	w3, #0x70
0xfffffff008594ad4: 193cf597  bl	#0xfffffff0082e3b38
0xfffffff008594ad8: b0a0ffb0  adrp	x16, #0xfffffff0079a9000
0xfffffff008594adc: 10622d91  add	x16, x16, #0xb58
0xfffffff008594ae0: 10420091  add	x16, x16, #0x10
0xfffffff008594ae4: f10300aa  mov	x17, x0
0xfffffff008594ae8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008594aec: 300ac1da  pacda	x16, x17
0xfffffff008594af0: 100000f9  str	x16, [x0]
0xfffffff008594af4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008594af8: ff0f5fd6  retab	
0xfffffff008594afc: 5f2403d5  bti	c
0xfffffff008594b00: 00ea00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008594b04: 00603891  add	x0, x0, #0xe18
0xfffffff008594b08: fb3ef517  b	#0xfffffff0082e46f4
0xfffffff008594b0c: 5f2403d5  bti	c
0xfffffff008594b10: 08ea00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008594b14: 08413691  add	x8, x8, #0xd90
0xfffffff008594b18: 100140f9  ldr	x16, [x8]
0xfffffff008594b1c: 700000b4  cbz	x16, #0xfffffff008594b28
0xfffffff008594b20: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008594b24: 110a1fd7  braa	x16, x17
0xfffffff008594b28: 00008052  mov	w0, #0
0xfffffff008594b2c: c0035fd6  ret	
0xfffffff008594b30: 5f2403d5  bti	c
0xfffffff008594b34: 08ea00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008594b38: 08613691  add	x8, x8, #0xd98
0xfffffff008594b3c: 100140f9  ldr	x16, [x8]
0xfffffff008594b40: 700000b4  cbz	x16, #0xfffffff008594b4c
0xfffffff008594b44: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008594b48: 110a1fd7  braa	x16, x17
0xfffffff008594b4c: 00008052  mov	w0, #0
0xfffffff008594b50: c0035fd6  ret	
0xfffffff008594b54: 00000000  udf	#0
0xfffffff008594b58: 00000000  udf	#0
0xfffffff008594b5c: 00000000  udf	#0
0xfffffff008594b60: 7f2303d5  pacibsp	
0xfffffff008594b64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008594b68: fd030091  mov	x29, sp
0xfffffff008594b6c: c15aff90  adrp	x1, #0xfffffff0070ec000
0xfffffff008594b70: 211c2d91  add	x1, x1, #0xb47
0xfffffff008594b74: a2a0ffd0  adrp	x2, #0xfffffff0079aa000
0xfffffff008594b78: 42cc40f9  ldr	x2, [x2, #0x198]
0xfffffff008594b7c: 032c8052  mov	w3, #0x160
