; Candidate 8855
; ADRP+ADD at VM 0xfffffff0088df5c8 (fileoff 0x18db5c8): page=0x1fe98c000 add_imm=0xdf2

0xfffffff0088df548: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0088df54c: 31093fd7  blraa	x9, x17
0xfffffff0088df550: 00008052  mov	w0, #0
0xfffffff0088df554: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088df558: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088df55c: ff030191  add	sp, sp, #0x40
0xfffffff0088df560: ff0f5fd6  retab	
0xfffffff0088df564: 7f2303d5  pacibsp	
0xfffffff0088df568: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df56c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df570: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df574: fdc30091  add	x29, sp, #0x30
0xfffffff0088df578: f40301aa  mov	x20, x1
0xfffffff0088df57c: f30300aa  mov	x19, x0
0xfffffff0088df580: a1f31e38  sturb	w1, [x29, #-0x11]
0xfffffff0088df584: 100040f9  ldr	x16, [x0]
0xfffffff0088df588: f10300aa  mov	x17, x0
0xfffffff0088df58c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df590: 301ac1da  autda	x16, x17
0xfffffff0088df594: 113d80d2  mov	x17, #0x1e8
0xfffffff0088df598: 1002118b  add	x16, x16, x17
0xfffffff0088df59c: 080240f9  ldr	x8, [x16]
0xfffffff0088df5a0: e90310aa  mov	x9, x16
0xfffffff0088df5a4: 010080d2  mov	x1, #0
0xfffffff0088df5a8: f10309aa  mov	x17, x9
0xfffffff0088df5ac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088df5b0: 11093fd7  blraa	x8, x17
0xfffffff0088df5b4: e803142a  mov	w8, w20
0xfffffff0088df5b8: 694cff90  adrp	x9, #0xfffffff00726b000
0xfffffff0088df5bc: 29593891  add	x9, x9, #0xe16
0xfffffff0088df5c0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0088df5c4: e00300f9  str	x0, [sp]
0xfffffff0088df5c8: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df5cc: 00c83791  add	x0, x0, #0xdf2
0xfffffff0088df5d0: 94dee997  bl	#0xfffffff008357020
0xfffffff0088df5d4: 700240f9  ldr	x16, [x19]
0xfffffff0088df5d8: f10313aa  mov	x17, x19
0xfffffff0088df5dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df5e0: 301ac1da  autda	x16, x17
0xfffffff0088df5e4: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0088df5e8: e90310aa  mov	x9, x16
0xfffffff0088df5ec: 614cff90  adrp	x1, #0xfffffff00726b000
0xfffffff0088df5f0: 21a83891  add	x1, x1, #0xe2a
0xfffffff0088df5f4: e00313aa  mov	x0, x19
0xfffffff0088df5f8: e20314aa  mov	x2, x20
0xfffffff0088df5fc: f10309aa  mov	x17, x9
0xfffffff0088df600: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0088df604: 11093fd7  blraa	x8, x17
0xfffffff0088df608: 700240f9  ldr	x16, [x19]
0xfffffff0088df60c: f10313aa  mov	x17, x19
0xfffffff0088df610: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df614: 301ac1da  autda	x16, x17
0xfffffff0088df618: f10310aa  mov	x17, x16
0xfffffff0088df61c: f147c1da  xpacd	x17
0xfffffff0088df620: 1f0211eb  cmp	x16, x17
0xfffffff0088df624: 40000054  b.eq	#0xfffffff0088df62c
0xfffffff0088df628: 408e38d4  brk	#0xc472
0xfffffff0088df62c: 08c21091  add	x8, x16, #0x430
0xfffffff0088df630: 091a42f9  ldr	x9, [x16, #0x430]
0xfffffff0088df634: a24700d1  sub	x2, x29, #0x11
0xfffffff0088df638: e00313aa  mov	x0, x19
0xfffffff0088df63c: a1009052  mov	w1, #0x8005
0xfffffff0088df640: e17fbc72  movk	w1, #0xe3ff, lsl #16
0xfffffff0088df644: 23008052  mov	w3, #1
